str_yes|Oui.
; str_changed_my_mind_goodnatured|However, you make a good case, so I'll try to keep an open mind.
str_changed_my_mind_upstanding|Mais vous faites preuve d'éloquence. Je vous écoute.
; str_swadian_rebellion_pretender_intro|I am Thorgil of Ribe. I should be konungr of Danmark.
; str_vaegir_rebellion_pretender_intro|I am Dungal, son of Fergusa, of the Cenel nLoairn. I should be Ard Ri of Eriu!
; str_khergit_rebellion_pretender_intro|I'm Oswine, the exiled ealdorman of Northhymbre.
; str_nord_rebellion_pretender_intro|I'm Ceorl. I will soon rule over West Seaxe.
; str_rhodok_rebellion_pretender_intro|I am Bili, son of Brude and the next king of Alban!
; str_sarranid_rebellion_pretender_intro|Hello, foreigner. I am Cadwallon. I stand before you as the last heir of the kings of Gwynedd.
; str_swadian_rebellion_pretender_story_1|My father saved our people while that bastard, King Horik, was raiding abroad. He didn't think about what would happen if he left this land without any soldiers to protect it! My father was the one who did it!
; str_vaegir_rebellion_pretender_story_1|I had been the heir to my father's crown for 30 years, but last year that old mummy decided he wanted a new young lady to 'refresh' his life, if you know what I mean.
; str_khergit_rebellion_pretender_story_1|The Danish razed my lands. Supplied by that coward of a king of East Engle, they rode up from the south. Figuring that they were bent on revenge against King Aelle, each lord protected only his fief rather than heed the king's summons. But the Danes wanted everything. With only my own retainers, I knew I could not prevent them from taking my inheritance.
; str_nord_rebellion_pretender_story_1|My father was the king of Cent, the current king's brother. He honored his father, Aethelwulf, unlike his next brother, Aethelbald, who stole the throne and married his father's wife.
; str_rhodok_rebellion_pretender_story_1|For the last fifteen years, I rode through this land with my boys giving protection to the villages just for a couple of coins and food. Just what we deserve.
; str_sarranid_rebellion_pretender_story_1|I am the namesake of my ancestor, who defeated Eadwine of Deria in the battle of Haethfelth Chase. After that, we were kicked from the throne, and my family had to live far from the crown... until now.
; str_swadian_rebellion_pretender_story_2|When the king came back from his adventure with tons of silver and those odd crosses, he was afraid of us. My father had inspired much loyalty among those who were here when the bandits attacked. That coward kicked us out of our own homes! Just a few months later my father committed suicide, unable to live with the dishonor. Since then, I have been living with people loyal to our cause, those who knew that the real leader of our people was my father.
; str_vaegir_rebellion_pretender_story_2|Unfortunately for me, that little Queen is really fertile, and they have had a child, with the king being 62 years old... After so many years of poisoning his wives in order to abort their legitimate heirs... now this! It appears that my father would rather have a child heir than a bastard adult heir.
; str_khergit_rebellion_pretender_story_2|All who had not openly joined them, they kicked off their ancestral lands. Just like that, the kingdom that had lasted centuries disappeared. Our forefathers would be ashamed.
; str_nord_rebellion_pretender_story_2|Before all that, unfortunately, my father died defending the kingdom from the first invasion of the Danish under Ragnar Lodbrok sixteen years ago. The incestuous Aethelbald then enjoyed the fruits of my father's sacrifice, dying in peace nine years later. I was still considered too young to assume a throne, and my uncles Aethelbehrt and Aethelred ascended through the kingships of Cent and Wessex in turn.
; str_rhodok_rebellion_pretender_story_2|Only the big cities have turned us down. They said the real danger was us, that we didn't give them protection, and that we were extortionists. But these are all lies, damned lies! The actual thieves are those who call themselves tiarna and the worst one is that son-of-a-usurper king.
; str_sarranid_rebellion_pretender_story_2|The kingdom has suffered greatly the last few years with the usurpers at its helm. I think the masses have had enough. They would support me in a fight for the throne.
; str_swadian_rebellion_pretender_story_3|The whole kingdom owes its existence to my father and those who fought next to him, people like my men and I. I have enough men to take the capital and defend it while another brave man like you can conquer and defend the other strongholds. Together, we can take back what King Horik owes me.
; str_vaegir_rebellion_pretender_story_3|But his new dynasty is not going to survive long. The other members of our clan are already jostling for power. A strong king would keep them united against our enemies! I need your help to support my rights to the crown, for my father will never accept me over his last son. We need to fight for the future of the kingdom.
; str_khergit_rebellion_pretender_story_3|However, I have since united all my people under my banner again. I have gathered even more men that any of my ancestors, but I'm afraid I need more good leaders. Some of the best commanders died in futile resistance to the Danes. I can offer you to lead one of my armies, and, if we achieve our goal, you might have your own city to rule.
; str_nord_rebellion_pretender_story_3|It is clear to me that my grandfather's line weakened successively after my father. Aethelred is too pious and Aelfred too bookish; together they have been unsuccessful resisting the Danish. I am more like my father. I can vigorously defend this land. With your help, we will bring peace and prosperity back to our kingdom, and perhaps all Britain.
; str_rhodok_rebellion_pretender_story_3|We are planning to assault the thief's main castle and end his reign of fear. The people of this land will pay only us for protection; I will not tolerate any competition. Join me and my band, and I will bury you in so much silver that you will be able to swim in it. I will give you a collection commission!
; str_sarranid_rebellion_pretender_story_3|I just need good captains for my armies and, if possible, good soldiers under them. Together we will revive my family's honor and obtain the position that I deserve. Come with me, gather your soldiers, and our names will never be forgotten. Swear by me, and you will never regret it.
; str_swadian_rebellion_monarch_response_1|That child again is pretending to be the true king over my lands... I should have sent him farther away when I had a chance. Without all the silver we brought, this kingdom would be nothing. If I had any idea that my lands would be razed by bandits, I would have never taken so many soldiers with me.
; str_vaegir_rebellion_monarch_response_1|That young man will never understand his place in this world. He is a bastard. He will never have any rights except the ones he earns in service to his lord. He is my son, but he will never be king, not even if my little baby dies someday.
; str_khergit_rebellion_monarch_response_1|Who? I don't know that name. The Danish help me establish my claim, and there is nothing left for those who have lost their right to the land.
; str_nord_rebellion_monarch_response_1|My nephew was a good knight some years ago. Then he started to associate with certain of his father's retainers and now believes only what they say. They've put notions in his head, thinking to regain positions of influence.
; str_rhodok_rebellion_monarch_response_1|He is nothing but a bandit. For the last few years, he has been extorting silver from my villages. He pretends to be the protector of those villages from 'bandits,' when it is they who are the bandits!
; str_sarranid_rebellion_monarch_response_1|It is true that we are going through tough times, but the people know it is because our merchants have been suffering under constant raids. Now that I know he is in my kingdom, I can say he is the one responsible for those attacks.
; str_swadian_rebellion_monarch_response_2|They can try to attack us, but they don't have enough men to take even one of my villages, ha! Take my advice. Ignore him. He will never be anything but a chatterbox.
; str_vaegir_rebellion_monarch_response_2|Only if he came and knelt in front of me would I will be willing to forgive his faults and let him live somewhere far away from my legitimate son.
; str_khergit_rebellion_monarch_response_2|I will not tolerate any pretender to my crown. He and everyone who supports him will be arrested if they try anything unlawful. These are my people now, and I will protect them.
; str_nord_rebellion_monarch_response_2|I do not desire to bind his hands, but I have my mine full with the Danish and can't be on guard against a possible back stab. No one controls events, and the succession moves on. He never understood this.
; str_rhodok_rebellion_monarch_response_2|They are going to suffer for the pain they have caused my people. Not one of them will survive.
; str_sarranid_rebellion_monarch_response_2|It is my duty to protect all of my people from any danger in my kingdom. I will capture him and we will have a 'talk.' This situation can't stay like this any longer.
str_courtship_comment_conventional_generic|est très bien {élevé/élevée}
str_courtship_comment_adventurous_generic|semble tout à fait convenable
str_courtship_comment_otherworldly_generic|est très {poli/polie} et {attentif/attentive}
str_courtship_comment_ambitious_generic|manque de dynamisme, mais il est peut-être possible d'y remédier
str_courtship_comment_moralist_generic|semble être un homme honorable
str_feast_description|maigre
str_feast_description_2|insuffisante
str_feast_description_3|tout juste suffisante
str_feast_description_4|suffisante
str_feast_description_5|copieuse
str_feast_description_6|magnifique
str_feast_lengthy_description_1|La nourriture que vous avez fournie était insuffisante. Vos invités et leurs suites ont été contraints d'aller acheter de quoi se nourrir dans la campagne environnante, à des prix exorbitants. Les convives ont majoritairement considéré que vous avez manqué à votre devoir d'hôte, ce qui nuit à la fois à la confiance qu'ils vous portent et à votre réputation.
; str_feast_lengthy_description_2|The food and drink you provided eventually ran out, forcing some guests to either buy their own from passing peddlers, or send some of their retinue home early. The more charitable attributed the shortfall to poor planning rather than meanness, but either way, it did your reputation no good.
str_feast_lengthy_description_3|La nourriture et les boissons que vous avez fournies ont suffi à sustenter vos nobles convives, mais pas tous les roturiers de leurs suites. Vous vous forgez la réputation de quelqu'un qui sait au minimum respecter ses obligations sociales envers la noblesse.
; str_feast_lengthy_description_4|You have provided enough food and drink, and with sufficient varieties, to do yourself credit. The food, drink, and merriment have loosened your guests' tongues, allowing them to converse candidly about the matters of the realm, and deepening their trust in you.
; str_feast_lengthy_description_5|You have provided a bountiful table not just for your noble guests but also for their retinues, with food left over to be distributed to the poor. Your guests lavish praise upon you for your generosity, and for your understanding of the social obligations of your rank. The conversation, fueled by the food and drink, has been merry, strengthening the bonds between those who attended.
str_feast_lengthy_description_6|Tout le royaume parlera de la générosité de votre table pendant des mois et vous serez un exemple à suivre lors des futurs banquets. Vous avez rempli les estomacs de vos nobles convives et de leurs suites, mais aussi des miséreux qui se pressaient à vos portes. 
; str_credits_1|©2010 TaleWorlds Entertainment. Mount & Blade: Warband^©2014 Brytenwalda S.L. Viking Conquest
; str_credits_2|BRYTENWALDA S.L.^^Game Design^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter
; str_credits_3|Programming^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter^Slawomir Libura^Michael Lyubchenko^^Special thanks for the Battle GUI^Alexander Souslov (Snowbird Studios)
; str_credits_4|Scenes^Asbjorn Lindegaard Moller^^Models^Cesar Inarrea^Leyre Ramirez^Miguel Egana Silva^^2D Art^Yeyo Balbas^^Textures^Miguel Egana Silva^Sebastian Wunnicke
; str_credits_5|Shaders^Marc Natta^^Animations^Slawomir Libura^^Concept Artist^Yeyo Balbas
; str_credits_6|Script^Alberto Fuentevilla
; str_credits_7|Music^Marcus Bressler - Viking Raid^CrystalMoors - Antiqvam Exqvirite Matrem, Nabia Orebia, The Unconquered Land^Juha-Matti Koppelomaki - Viking War Horns^Symphony of Specters - Day of War^Mike Sea - Go Vikes.^KlepatoDesign - The Ancients^Darius Sobolewski - Nordic Orchestra^Logan Epic Canto - Celtic Spirit^Allegro120 - Celtic^Cinemonia - Celtic Legend^^Tim Donovan - Solemn Funeral Pyre, Fallen Warrior^MrHumble - Ballad of a Hero.^^External support^Yughues Nobiax^Stephen Pollington
; str_credits_8|Testers and contributions^^Kalarhan^Kraggrim^Hunta^Ragnarson^Takeda Shingen^YourStepDad^Nijis^Krisvk^Dowdpride^Arch3r^Kazzan^Rurin^Fredelios^Blivandefar^Cleric Johnson^AZAN^Mitchell^M^Ozan Celik^Reiksmarshal^Hrotha^^Very special thanks to the players and betatesters of the original Brytenwalda module for many years of valuable feedback, only a fraction of which we had time to implement.^^Marketing Assets^Miguel Egana Silva (KreativLandschaft)
; str_credits_10|TALEWORLDS ENTERTAINMENT^^Lead Programming^Cem Çimenbiçer^Şahin Serdar Koçdemir^^Programming^Mustafa Korkmaz^Gökhan Uras^Dündar Ünsal
; str_credits_11|Lead Artist^Özgür Saral^^Artists^Andaç Bingöl^Deniz Köklü^Fatma Nadide Öcba^Fırat Murat Çebi^Gökalp Doğan^Oğuz Tunceli^Sten Oom
; str_credits_12|TaleWorlds Management^^Founder/Chief Executive Officer^Armağan Yavuz^^Chief Operating Officer^Ali Erkin^^Producer/Business Development^Vishnu Vijayakumar^^PR/Community Manager^Frank Elliott
; str_credits_9|Live Action Video^^Daniel Renger^Martin Unglert^Josef Becker^Jan Jaegers^Markus Beck^Jurgen Bonisch^Chris Czichowsky^Florian Dosch^Michael Exner^Fryzel Hans-Jurgen^Alexandra Gorner^Alexander Gorner^Franz Hauser^Jenna Klein^Claudia Klingner^Marcus Langer^Hans Lendorf^Markus Mickel^Patrick Mouka^Corinna Oppitz^Sibylle Oppitz^Bernd Rohde^Volker Schlott^Benjamin Schuler^Michael Schuler^Rebekka Schuler^Julia Schuster^Alexander Seufert^Susan Sumer^Johannes Werth^Bernd Wolfsteiner^Sabine Wudy^Sebastian Wudy^Stefan Wudy^^Location^Geschichtspark Barnau^^Logotype^Jason Brown^^Cover Art^Piotr Fox Wysocki^^Layout^Christian Sabe^Melina Grundel^^Poster^Piotr Fox Wysocki^^Concept Art^Ganbat Badamkhand^^Manual Editing & Digital Wordsmithing^Ryan Newman^Nick Stewart^^Web^Martin Ericsson^^Marketing Assets^2Coats^^Localization^S&H Entertainment Localization
; str_multi_scene_1|Saxon Village
; str_multi_scene_2|Din Tagell
; str_multi_scene_3|Dun Taruo
; str_multi_scene_4|Hadrian's Wall
; str_multi_scene_5|Ad Candida Casam
; str_multi_scene_6|Hilltop Village
; str_multi_scene_7|Din Arth
; str_multi_scene_8|Duin Ollaigh
; str_multi_scene_9|Din Bych
; str_multi_scene_10|Roman Fort
; str_multi_scene_11|Into The Trees
; str_multi_scene_12|Crannog
; str_multi_scene_13|Saxon River Fort
; str_multi_scene_14|Seafarers
; str_multi_scene_15|Saxon Duelling Field
; str_multi_scene_16|Mynyw Fort
; str_multi_scene_17|Abbercurnig
; str_multi_scene_18|Rival Strongholds
; str_multi_scene_19|Broch
; str_multi_scene_inv_1|Hadrian's Wall
; str_multi_scene_inv_2|Saxon Fort
; str_multi_scene_inv_3|Din Bych
; str_multi_scene_inv_4|Mynyw Fort
; str_multi_scene_inv_5|Broch
; str_multi_scene_20|Random Plains
; str_multi_scene_21|Random Forest
; str_multi_scene_22|Random Snow
; str_multi_sea_1|Calm Sea
; str_multi_sea_2|Sea Storm
str_multi_coast_1|Assaut du port
; str_multi_coast_2|Port Assault (Thunderstorm)
str_multi_scene_end|multi scene end
str_multi_game_type_1|Combat à mort
str_multi_game_type_2|Combat à mort par équipe
str_multi_game_type_3|Bataille
str_multi_game_type_4|Siège
str_multi_game_type_5|Duel
; str_multi_game_type_6|Naval Battle
; str_multi_game_type_7|Thor's Champion
; str_multi_game_type_8|Viking Invasion
; str_multi_game_type_9|Warlords Battle
; str_multi_game_type_10|Raid
str_multi_game_types_end|multi game types end
; str_multi_game_type_desc_1|^Every man for himself!^^Earn silver and glory with every kill.^^
; str_multi_game_type_desc_2|^Two teams; endless respawns.^^Earn silver and a point for your faction with every kill.^
; str_multi_game_type_desc_3|^Two teams; no respawn.^^Here you must focus on keeping you and your teammates alive as well as on personal kills.
; str_multi_game_type_desc_4|^One team starts fortified, defending their flag against the clock and the other team. Respawns are slowed for the defender.^
; str_multi_game_type_desc_5|^Find another player.^^Introduce yourself.^^Kill or be killed.^
; str_multi_game_type_desc_6|^This is Battle mode, only afloat!^^^^
; str_multi_game_type_desc_7|^Find and kill the Champion to gain Thor's favour!^^You only gain point for killing Thor's Champions and for killing other players while being the Champion.^^^
; str_multi_game_type_desc_8|^Team up with other players and defend against the hordes of enemies!^^^
; str_multi_game_type_desc_9|^This variant of Battle mode allows the player to purchase and lead armies of bots.^^
; str_multi_game_type_descs_end|^^^              Specials^^- Banner: inspires nearby teammates 10%^^- Priest: heals nearby teammates^^- Horn (Attack Button): heals AND inspires teammates, at a distance^^- Berserk (Key B): temporarily increases melee capabilities^^- Shield Taunt (RMB + Key Q): displays your disdain for the enemy^^
str_poll_kick_player_s1_by_s0|{s0} a lancé un vote pour expulser le joueur {s1}.
str_poll_ban_player_s1_by_s0|{s0} a lancé un vote pour bannir le joueur {s1}.
str_poll_change_map_to_s1_by_s0|{s0} a lancé un vote pour remplacer la carte par {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} a lancé un vote pour remplacer la carte par {s1} et les factions par {s2} et {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} a lancé un vote pour remplacer le nombre de bots par {reg0} et {reg1}.
str_poll_kick_player|Votez pour ou contre l'expulsion du joueur {s0} : 1 = Pour, 2 = Contre
str_poll_ban_player|Votez pour ou contre le ban du joueur {s0} : 1 = Pour, 2 = Contre
str_poll_change_map|Votez pour ou contre le remplacement de la carte par {s0} : 1 = Pour, 2 = Contre
str_poll_change_map_with_faction|Votez pour ou contre le remplacement de la carte par {s0} et des factions par {s1} au lieu de {s2} : 1 = Pour, 2 = Contre
str_poll_change_number_of_bots|Votez pour ou contre le remplacement du nombre de bots par {reg0} pour {s0} et {reg1} pour {s1} : 1 = Pour, 2 = Contre
str_poll_time_left|({reg0} secondes restantes)
str_poll_result_yes|Le "pour" l'emporte à la majorité.
str_poll_result_no|Le "contre" l'emporte à la majorité.
str_total_item_cost_reg0|Coût total : {reg0}
str_server_name|Nom du serveur :
str_game_password|Mot de passe de la partie :
str_map|Carte :
str_game_type|Type de partie :
str_max_number_of_players|Nombre maximum de joueurs :
str_number_of_bots_in_team_reg1|Nombre de bots de l'équipe {reg1} :
str_team_reg1_faction|Faction équipe {reg1} :
str_enable_valve_anti_cheat|Activer le mode anti-triche de Valve (nécessite un compte Steam)
str_allow_friendly_fire|Permettre le tir ami à distance
str_allow_melee_friendly_fire|Permettre le tir ami au corps-à-corps
str_friendly_fire_damage_self_ratio|Dommages amis subis, Héros (%) :
str_friendly_fire_damage_friend_ratio|Dommages amis subis, Alliés (%) :
str_spectator_camera|Caméra des spectateurs :
str_control_block_direction|Direction des parades :
str_map_time_limit|Limite de temps (minutes) :
str_round_time_limit|Limite de temps (secondes) :
str_players_take_control_of_a_bot_after_death|Basculer en bot :
str_team_points_limit|Limite de points :
str_point_gained_from_flags|Points d'équipe gagnés pour la capture du drapeau (%) :
str_point_gained_from_capturing_flag|Points gagnés pour la capture du drapeau :
str_respawn_period|Délai de réapparition :
str_add_to_official_game_servers_list|Ajouter à la liste des serveurs officiels
str_combat_speed|Vitesse des combats :
str_combat_speed_0|Paramètre le plus lent
str_combat_speed_1|Paramètre lent
str_combat_speed_2|Intermédiaire
str_combat_speed_3|Paramètre rapide
str_combat_speed_4|Paramètre le plus rapide
str_off|Désactiver
str_on|Oui
str_defender_spawn_count_limit|Limite des réapparition des défenseurs :
str_unlimited|Illimité
str_automatic|Automatique (recommandé)
str_by_mouse_movement|Par mouvement de la souris
str_free|Libre
str_stick_to_any_player|Suivre un joueur
str_stick_to_team_members|Suivre les membres de l'équipe
str_stick_to_team_members_view|Suivre le point de vue des membres de l'équipe
str_make_factions_voteable|Permettre les votes pour changer les factions
str_make_kick_voteable|Permettre les votes pour expulser un joueur
str_make_ban_voteable|Permettre les votes pour bannir un joueur
str_bots_upper_limit_for_votes|Limite maximale de bots pour les votes :
str_make_maps_voteable|Limite de bots pour les votes :
str_valid_vote_ratio|Seuil d'acceptation du vote (%) :
str_auto_team_balance_limit|Seuil d'équilibrage automatique des équipes (diff.) :
str_welcome_message|Message de bienvenue :
; str_initial_gold_multiplier|Starting silver (%):
; str_battle_earnings_multiplier|Combat silver bonus (%):
; str_round_earnings_multiplier|Round silver bonus (%):
str_allow_player_banners|Permettre les bannières individuelles
str_force_default_armor|Armure par défaut
str_respawning_in_reg0_seconds|Réapparition dans {reg0} secondes...
str_no_more_respawns_remained_this_round|Aucune vie restante pour ce tour
str_reg0_respawns_remained|({reg0} vies restantes)
str_this_is_your_last_respawn|(C'est votre dernière vie)
str_wait_next_round|(Attendez le tour suivant)
str_yes_wo_dot|Oui
str_no_wo_dot|Non
str_we_resign|Il ne nous reste plus aucune force pour vous combattre. Nous nous rendons, {playername}.
str_i_resign|Je ne veux pas mourir aujourd'hui. Je me rends.
str_s1_returned_flag|{s1} a renvoyé son drapeau à sa base !
str_s1_auto_returned_flag|Drapeau {s1} automatiquement renvoyé à sa base !
str_s1_captured_flag|{s1} a capturé le drapeau adverse !
str_s1_taken_flag|{s1} s'est emparé du drapeau adverse !
str_s1_neutralized_flag_reg0|{s1} a neutralisé le drapeau {reg0}.
str_s1_captured_flag_reg0|{s1} a capturé le drapeau {reg0} !
str_s1_pulling_flag_reg0|{s1} a commencé à lever le drapeau {reg0}.
str_s1_destroyed_target_0|{s1} a détruit la cible A !
str_s1_destroyed_target_1|{s1} a détruit la cible B !
str_s1_destroyed_catapult|{s1} a détruit la catapulte !
str_s1_destroyed_trebuchet|{s1} a détruit le trébuchet !
str_s1_destroyed_all_targets|{s1} a détruit toutes les cibles !
str_s1_saved_1_target|{s1} a sauvé une cible.
str_s1_saved_2_targets|{s1} a sauvé toutes les cibles.
str_s1_defended_castle|{s1} a défendu son château !
str_s1_captured_castle|{s1} a capturé le château !
str_auto_team_balance_in_20_seconds|Équilibrage automatique dans 20 secondes.
str_auto_team_balance_next_round|Équilibrage automatique au prochain round.
str_auto_team_balance_done|Les équipes ont été équilibrées.
; str_s1_won_round|The {s1} team has won the round!
str_round_draw|Temps écoulé. Tour nul.
str_round_draw_no_one_remained|Il ne reste plus personne. Tour nul.
str_death_mode_started|Vite ! Rendez-vous maître de la carte !
str_reset_to_default|Rétablir les paramètres par défaut
str_player_name|Nom du joueur
str_kills|Tués
str_deaths|Morts
str_ping|Ping
str_dead|Morts
str_reg0_dead|{reg0} morts
str_bots_reg0_agents|Bots ({reg0})
str_bot_1_agent|Bot (un seul)
str_score_reg0|Score : {reg0}
str_flags_reg0|(Drapeaux : {reg0})
str_reg0_players|({reg0} joueurs)
str_reg0_player|({reg0} joueur)
str_open_gate|Ouvrir la porte
str_close_gate|Fermer la porte
str_open_door|Ouvrir la porte
str_close_door|Fermer la porte
str_raise_ladder|Lever l'échelle
str_drop_ladder|Baisser l'échelle
str_cancel|Annuler
; str_continue|Continue
str_done|Confirmer
str_back|Précédent
str_start_map|Lancer la carte
str_choose_an_option|Choisissez une option :
str_choose_a_poll_type|Choisissez un type de vote :
str_choose_faction|Choisir une faction
str_choose_a_faction|Choisissez une faction :
str_choose_troop|Choisir un type de soldat
str_choose_a_troop|Choisissez un type de soldat :
str_choose_items|Choisir un équipement
str_options|Options
str_redefine_keys|Redéfinir les touches
str_submit_a_poll|Voter
str_administrator_panel|Panneau d'administration
str_kick_player|Expulser un joueur
str_ban_player|Bannir un joueur
str_mute_player|Mettre un joueur en sourdine
str_unmute_player|Désactiver la mise en sourdine
str_quit|Quitter
str_poll_for_changing_the_map|Changer de carte
str_poll_for_changing_the_map_and_factions|Changer de carte et de factions
str_poll_for_changing_number_of_bots|Changer le nombre de bots par équipe
str_poll_for_kicking_a_player|Expulser un joueur
str_poll_for_banning_a_player|Bannir un joueur
str_choose_a_player|Choisissez un joueur :
str_choose_a_map|Choisissez une carte :
str_choose_a_faction_for_team_reg0|Choisissez une faction pour l'équipe {reg0} :
str_choose_number_of_bots_for_team_reg0|Choisissez le nombre de bots de l'équipe {reg0} :
str_spectator|Spectateur
str_spectators|Spectateurs
str_score|Score
str_command|Ordre :
str_profile_banner_selection_text|Choisissez une bannière pour votre profil :
str_use_default_banner|Utiliser la bannière de la faction
str_party_morale_is_low|Le moral de certaines troupes est faible !
; str_weekly_report|Report
str_has_deserted_the_party|a déserté.
str_have_deserted_the_party|ont déserté.
str_space| 
str_us_|Nous 
str_allies_|Alliés 
str_enemies_|Ennemis 
str_routed|En déroute
str_weekly_budget|Budget hebdomadaire
str_income_from_s0|Revenus {s0} :
; str_mercenary_payment_from_s0|Mercenary payment from the {s0}:
str_s0s_party|Groupe {s0}
str_loss_due_to_tax_inefficiency|Pertes dues à l'inefficacité des impôts :
str_wages_for_s0|Soldes troupes {s0} :
str_earlier_debts|Dettes antérieures :
str_net_change|Écart net :
str_earlier_wealth|Richesses antérieures :
str_new_wealth|Nouvelles richesses :
str_new_debts|Nouvelles dettes :
; str_team_reg0_bot_count_is_reg1|Team {reg0} bot count is {reg1}.
str_maximum_seconds_for_round_is_reg0|Le nombre maximum de secondes pour le tour s'élève à {reg0}.
str_respawn_period_is_reg0_seconds|La période de réapparition est de {reg0} secondes.
str_bots_upper_limit_for_votes_is_reg0|La limite maximum de bots des votes s'élève à {reg0}.
str_map_is_voteable|Les joueurs peuvent voter pour changer de carte.
str_map_is_not_voteable|Les joueurs ne peuvent pas voter pour changer de carte.
str_factions_are_voteable|Les joueurs peuvent voter pour changer les factions.
str_factions_are_not_voteable|Les joueurs ne peuvent pas voter pour changer les factions.
str_players_respawn_as_bot|Les joueurs réapparaissent sous forme de bot.
str_players_do_not_respawn_as_bot|Les joueurs ne réapparaissent pas sous forme de bot.
str_kicking_a_player_is_voteable|Les joueurs peuvent voter pour expulser un joueur.
str_kicking_a_player_is_not_voteable|Les joueurs ne peuvent pas voter pour expulser un joueur.
str_banning_a_player_is_voteable|Les joueurs peuvent voter pour bannir un joueur.
str_banning_a_player_is_not_voteable|Les joueurs ne peuvent pas voter pour bannir un joueur.
str_player_banners_are_allowed|Les bannières des joueurs sont permises.
str_player_banners_are_not_allowed|Les bannières des joueurs ne sont pas permises.
str_default_armor_is_forced|Armure par défaut obligatoire.
str_default_armor_is_not_forced|Armure par défaut non obligatoire.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Pourcentage de "pour" requis pour qu'un vote soit accepté : {reg0} %.
str_auto_team_balance_threshold_is_reg0|Le seuil d'équilibrage automatique des équipes est de {reg0}.
; str_starting_gold_ratio_is_reg0|Starting silver ratio is {reg0}%.
; str_combat_gold_bonus_ratio_is_reg0|Combat silver bonus ratio is {reg0}%.
; str_round_gold_bonus_ratio_is_reg0|Round silver bonus ratio is {reg0}%.
str_point_gained_from_flags_is_reg0|Le pourcentage de points d'équipe gagnés pour les drapeaux est de {reg0} %.
str_point_gained_from_capturing_flag_is_reg0|Le pourcentage de points gagnés pour la capture de drapeaux est de {reg0} %.
str_map_time_limit_is_reg0|La limite de temps de la carte est de {reg0} minutes.
str_team_points_limit_is_reg0|La limite de temps des équipes est de {reg0}.
str_defender_spawn_count_limit_is_s1|Le nombre de réapparitions des défenseurs est de {s1}.
str_system_error|ERREUR SYSTÈME !
str_prisoner_granted_parole|Parole accordée au prisonnier
str_prisoner_not_offered_parole|Parole non accordée au prisonnier
; str__age_reg1|^Age: {reg1}
str__family_|^Famille :
str_s49_s12_s11_end|{s49} {s12} ({s11}).
str_s49_s12_s11_rel_reg0|{s49} {s12} ({s11}, rel: {reg0}),
str_s49_s12_s11|{s49} {s12} ({s11}),
; str_lord_info_string|{reg6?:{reg4?{s54} is the ruler of the {s56}.^:{s54} is a vassal of {s55} of the {s56}.^}}Renown: {reg5}. Controversy: {reg15}.^Religion: {s29}^{reg9?{reg3?She:He} is the {reg3?lady:lord} of {s58}.:{reg3?She:He} has no fiefs.}{s59}^{s49}^Relation: {reg0}
str_foreign_relations__|Affaires étrangères : ^
; str_s21__the_s5_is_at_war_with_the_s14|{s21}^^* At war with the {s14}.
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21} {s5} a dominé les combats.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21} {s5} a subi les combats.
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21} Les combats se poursuivent encore un temps et une trêve mettra peut-être bientôt un terme à la guerre.
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21} Les combats ont commencé il y a peu et la guerre risque de se poursuivre quelque temps.
str__however_the_truce_is_no_longer_binding_on_the_s14| Mais la trêve n'entrave plus {s14}
; str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^^* Bound by truce not to attack the {s14}.{s18} The truce will expire in {reg1} days.
; str_s21__the_s5_is_bound_by_alliance_not_to_attack_the_s14s18_the_alliance_will_expire_in_reg1_days|{s21}^^* The {s5} has an alliance with {s14}.{s18} The alliance will expire in {reg1} days.
; str_alliance_durantion_days_expire|{s21}^^* The {s5} has formalized an alliance with the {s14}.{s18} The alliance will expire in {reg1} days.
; str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}^^* The {s5} has recently suffered provocation by subjects of the {s14}, and there is a risk of war.
; str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}^^* The {s5} has no outstanding issues with the {s14}.
; str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21}^^* The {s14} was recently provoked by subjects of the {s5}, and there is a risk of war.^
; str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|The {s5} is ruled by {s6}.^^It occupies:^{s8}.^^Its vassals are:^{s10}.^^{s21}
; str_assigned_lord_reputation_and_relations_cheat_mode_reg3|Assigned lord reputation and relations, cheat mode: {reg3}
