qstr_Breaking_camp...|Lager wird abgebrochen ...
qstr_{s1}^^Through_persis|{s1}^^Durch Beharrlichkeit und ein wenig Glück lerntet ihr den örtlichen Adeligen zu gefallen. Vielleicht sandte er euch zum König, der euch mit einem kleinen Lehen aus seinem eigenen Besitz belohnte. Nun müsst ihr euch des in euch gesetzten Vertrauens würdig erweisen.
qstr_{s1}^^Then_you_happe|{s1}^^Dann geschah es, das Ihr das Interesse eines Jungen Fürsten geweckt habt. Tradition und die schrillen Bitten seiner Berater ignorierend, hat er Euch geheiratet, aber hat kurz danach eine zufällige tödliche Wunde während eines Turniers erlitten. Dem Fürsten fehlte ein lebender Onkel, Bruder oder Sohn. Ihr übernehmt deshalb sein kleines, verwahrlostes Anwesen, gerade als die anderen Fürsten des Königreichs es als verfügbar geworden betrachten. 
qstr_{s1}^^Through_persist|{s1}^^Durch Beharrlichkeit und etwas Glück habt Ihr erfahren, wie die Gunst einer der lokalen Fürsten zu gewinnen ist. Eine Reihe von Ereignissen, die im Königreich ohne einen Herrscher geschehen, haben ihn veranlasst , Euch vorzuschlagen, das Königreich als einen Kompromiss zwischen kämpfenden Splittergruppen aufzuteilen. Ihr wurdet absichtlich gewählt, um der kleinere Partner zu sein, aber eine plötzliche tödliche Krankheit des anderen teilhabenden Königs hat Euch die alleinige Herrschaft übernehmen lassen. Nicht jeder ist glücklich über diese Wendung der Ereignisse, und die benachbarten Königreiche haben Kenntnis von der offensichtlichen Schwäche des Reiches genommen.  Nun müsst Ihr eure Herrschaft etablieren.
qstr_{s1}^^Then_you_happen|{s1}^^Dann geschah es, das Ihr das Interesse eines Jungen Königs geweckt habt. Tradition und die schrillen Bitten seiner Berater ignorierend, hat er Euch geheiratet, aber hat kurz danach eine zufällige tödliche Wunde während eines Turniers erlitten. Dem Fürsten fehlte ein lebender Onkel, Bruder oder Sohn. Da die Fürsten über die Nachfolge diskutieren, haben die benachbarten Königreiche die offenbare Schwäche Eures Reiches zur Kenntnis genommen. Nun müsst Ihr eure Herrschaft etablieren.
qstr_>_Viking_Conquest_Ma|> Viking Conquest Hauptkampagne
qstr_A_storyline_campaign|Eine erzählerische Kampagne mit einem großen Abenteuer im Mittelpunkt, sowie anderen speziellen Merkmalen.
qstr_>_Sandbox_Campaign|> Sandbox Kampagne
qstr_No_main_story_or_spe|Keine Hauptstory oder spezielle Funktionen. Ihr könnt frei nach eigenem Wunsch spielen.
qstr_>_Lordly_Sandbox_Cam| Fürstliche Sandbox-Kampagne
qstr_You_start_as_a_lord_|Sie starten als Herr oder Dame einer Fraktion.
qstr_>_Royal_Sandbox_Camp|> Königliche Sandbox-Kampagne
qstr_You_start_as_leader_|Sie starten als Anführer einer Fraktion. Lang lebe der König!
qstr_STAMINA_>_Realism_Fe|AUSDAUER > Realismus Funktion.
qstr_This_feature_affects|Diese Funktion betrifft den Spieler und alle anderen Spielcharakter.^Die Ausdauer wird berechnet aus der Lebensenergie und der Athletik Fähigkeit und bestimmt die physische Belastbarkeit in der Schlacht. Wenn die Ausdauer verbraucht ist, ist man nicht mehr in der Lage zu rennen und der Waffenschaden wird halbiert. 
qstr_ARMOR_PENALTY_>_Real|Rüstungsdurchdringung > Realismus Funktion
qstr_This_feature_affects_|Eure Fertigkeitspunkte werden verschlechtert, wenn Ihr schwere Rüstung tragt. Diese Fertigkeit bringt bessere balance ins Spiel, wie ,dass leichte Truppen wichtiger werden.
qstr_EASY_RECRUITMENT_>_B|EINFACHE REKRUTIERUNG > Beginner-Feature
qstr_When_you_ask_permiss|Wenn Sie in den Dörfern rekrutieren, ist dies immer Kostenlos. Nicht empfohlen für Spieler, die gerne in Rollenspiele eintauchen.
qstr_RESTING_MORALE_>_Rea|Erholende Moral > Realismus Funktion
qstr_INSANE_DIFFICULTY_>_|Irrsinnige Schwierigkeit > Erweiterte Spielerfunktion
qstr_Your_troops_need_thr|Eure Truppen brauchen dreimal mehr Erfahrung als normal um eine Stufe aufzusteigen. Eure Feinde werden doppelten Schaden zufügen, während der eure halbiert ist. Nur empfohlen für Hardcore-Spieler.
qstr_GORE_>_+18_Feature.|Blut > +18 Funktion
qstr_DISABLE_SCENIC_MENU_|Landschaftsmenü Deaktivieren > Leistungs Funktion
qstr_Disable_the_3D_view_i|Deaktiviert die 3D-Ansicht in den Menüs um die Ladezeiten für schwächere Computer zu verkürzen.
qstr_SHIELD_BASH_>_Realis|Schildschlag > Realismus Funktion
qstr_Player_and_AI_troops|Spieler und KI-Truppen werden in der Lage sein, Feinde mit ihren Schilden zu schlagen.
qstr_...Anno_Domini_868..|...Anno Domini 868...
qstr_My_name_is_Beda_the_|Mein Name ist Beda die Alte, und falls Ihr in diese Welt eintauchen wollt rate ich Euch gut zuzuhören...^^Britannien. Die Briten nennen es Ynys Prydein, die Gälen Alba und die Angeln und Sachsen gaben dem Land, dass sie eroberten den Namen Englaland. Diese Inseln sind reich und schön...und umstritten. Deshalb ist das Land zur Zeit im Krieg und respektiert nur das Gesetz der Schwerter und Speere. Reiche werden geboren und fallen, Könige sterben auf dem Schlachtfeld. Frauen verwitwen und Pferde tragen Männer anstatt Heu. Die Schreie der Krieger erfüllen die Luft und das Land liegt brach von den darüber hinweg rennenden Horden. Wie in vergangenen Zeiten des Streites erheben sich Feinde, tödlich und in Harnische gekleidet. Raben krächzen, Wölfe heulen, Speere klingen und Schilde antworten.^^Im Norden zerfällt das Reich der Angeln unter dem Ansturm der Dänen. Die Söhne des legendären Vikingerfürsts Ragnar, die neuen Herren dieses Landes, beherrschen nun Bernaccia, Deira und Elmet, ein Land, das als Northhymbre bekannt ist.^^Im Süden bereiten sich die Saxen von West Seaxe, angeführt von dem Brytenwalda Aethelred und seinem Bruder Aelfred auf den Krieg vor. Sie wissen genau, dass am anderen Ende des Meeres noch viele Weitere Dänen in den Vorbereitungen sind das Meer zu überqueren um Ruhm und Gold zu erlangen.^^ Die, durch jahrzehntelange Expansion an den entferntesten Rand ihres Gebiets gedrängten einheimischen Briten, werden nun von den Nordmännern an ihren Küsten bedroht. Sie kämpfen verzweifelt um nicht das Wenige zu verlieren, das ihnen geblieben ist und träumen von von einem König der sie vereint und die Invasoren aus dem Land jagt -- einem neuen König Arthur. Die Wirklichkeit ist, das ihre Erbfolgegesetze dafür sorgen, dass das Land der einzelnen Fürsten klein bleibt und es somit schwer ist sich zu vereinen. Nichtsdestotrotz hat Rhodri "der Große" von Gwynedd begonnen, seinen Anspruch auf den Rest von Wales zu erheben.^^In den Landen hoch im Norden haben norwegische Invasoren vor dreißig Jahren die alten gälischen und pictischen Adeligen in einem einzigen großen Kampf aus dem Land gejagt. Nach dieser Heimsuchung versuchte der Gäle Cinead McAlpin ein neues Königreich aus diesen zwei Völkern zu schmieden, doch sie hatten sich in die Berge zurückgezogen.^^Hinter dem Meer, in Irland, bezeichnet sich Aed "der fröhliche Krieger" mac Niall of Aileach als Großkönig in Temair, nachdem er seine Feinde überrannt hat. Sein Titel ist nie von der anderen Hälfte der Ui Neill akzeptiert worden, und die Kämpfe um das Land gehen munter weiter. Währenddessen haben sowohl dänische als auch norwegische Vikinger dutzende von Festungen entlang der Küsten erbaut. Sie nutzen die Flüsse um das gälische Hinterland zu plündern, doch sie sind viel zu unsicher, um sich dem Konflikt anzuschließen -- in jeder Hinsicht.^^^Die Welt ist im Chaos, und Chaos bedeutet Krieg.
qstr_BEDA_CHRONICLE^^{s2}|Beda Chronik^^{s2}^^ {s3}
qstr_{s1}On_head.___{reg2|{s1}Am Kopf. (-{reg2} Intelligenz)^{s2}^^
qstr_{s1}On_face.___{reg2|{s1}Im Gesicht. (-{reg2} Charisma)^{s2}^^
qstr_{s1}On_body.___{reg2|{s1}Am Körper. (-{reg2} Stärke)^{s2}^^
qstr_{s1}On_limbs.___{reg|{s1}An den Gliedmaßen. (-{reg2} Beweglichkeit)^{s2}^^
qstr_Accumulated_Injuries|Angesammelte Verletzungen:^^keine
qstr_Accumulated_Injuries:|Angesammelte Verletzungen:^^{s1}Ein Arzt in einer größeren Stadt, kann diese Verletzungen behandeln.
qstr_Healing_wounds:^^non|Heile Wunden: ^^ keine
qstr_Healing_wounds:^^{s1|Heilende Wunden:^^{s1}Diese Wunden wurden behandelt. Sie werden mit der Zeit heilen.
qstr_{s1}On_head.___{reg1|{s1}Am Kopf. (-{reg1} Intelligenz)^^
qstr_{s1}On_face.___{reg1|{s1}Im Gesicht. (-{reg1} Charisma)^^
qstr_{s1}On_body.___{reg1|{s1}Am Körper. (-{reg1} Stärke)^^
qstr_{s1}On_limbs.___{reg1|{s1}An den Gliedmaßen. (-{reg1} Beweglichkeit)^^
qstr_Scars:^^none|Narben:^^keine
qstr_Scars:^^{s1}These_in|Narben:^^{s1}Diese Verletzungen wurden permanent. Ihr könnt ab jetzt nicht mehr geheilt werden. 
qstr_Lifetime_wounds:_{re|Lebenslange Wunden: {reg1} bisher.
qstr_Current_party_size_l|Momentane Truppgrößenbegrenzung ist {reg5}.^Momentane Truppgröße Modifikatoren:^^Grundgröße: +10^Anführerschaft: {s2}{reg1}^Charisma: {s3}{reg2}^Ansehen: {s4}{reg3}^GESAMT: {reg5}
qstr_^Religious_Differenc|^religiöse Differenzen: -{reg7}
qstr_^No_food:___{reg7}|^Keine Lebensmittel: -{reg7}
qstr_^Wage_debt:___{reg7}|^Geschuldeter Sold: -{reg7}
; qstr_Currently_falling_fr|Currently falling from: +
; qstr_Currently_rising_fro|Currently rising from: 
qstr_{s11}{s10}{s12}|{s11}{s10}{s12}
; qstr_^^These_pagan_troops|^^These pagan troops cause trouble: {s11}
; qstr_^^These_Christian_tr|^^These Christian troops cause trouble: {s11}
; qstr_^^Player_currently_h|^^Player currently has more troops than can be completely managed.
qstr_Current_party_morale|Aktuelle Gruppenmoral: {reg5}.^^Basismoral: + {reg8}^Gruppengrößenmalus: {s2}{reg1}{s14}^Mangel an Ruhe: {s3} {reg2}^Essensvielfalt: {s4}{reg3}{s5}{s6}^{s7}{reg4} {s8}{s13}^^{s19}
qstr_{s18}^^_____________|{s18}^^----------------^^{s20}
qstr_{s17}_^_{s18}|{s17} ^ {s18}
qstr_{s15}_^_{s16}|{s15} ^ {s16}
qstr_{s22}^^Friends:_^{s8|{s22}^^Freunde: ^{s8} ^^Feinde: ^{s6}^{s19}
qstr_^^Your_estates_are:_|^^Ihre Ländereien sind: ^{s18}^{s19}
; qstr_Mercenary_employed_b|Mercenary employed by the {s18}.^{s19}
qstr_Report:_^^_{s19}|Bericht: ^^ {s19}
qstr_On_loan|Leihweise,
; qstr_is_{s16}_your_choice|is {s16} your choice of companions, {s17} your style of leadership, and {s18} the general state of affairs. Morale is {reg0}
qstr_Companions_Info:^^_{|Gefährten Info: ^^ {s19} ^^ ----------- ^^ Derzeit: ^^ {s7} {s1}
qstr_Loyal|Loyal
qstr_Devoted|Ergeben
qstr_Fond|Zugetan
qstr_Gracious|Gnädig
qstr_Friendly|Freundlich gesinnt
qstr_Supportive|Befürwortend
qstr_Favorable|Wohlwollend
qstr_Cooperative|Kooperativ
qstr_Accepting|Akzeptierend
qstr_Indifferent|Gleichgültig
qstr_Suspicious|Misstrauisch
qstr_Unhappy|Unglücklich
qstr_Resentful|Missgünstig
qstr_Angry|Ärgerlich
qstr_Hostile|Feindlich
qstr_Hateful|Hasserfüllt
qstr_Vengeful|Verzehrt von Rachsucht
qstr_Sworn_Enmity|Feindschaft geschworen
qstr_Your_relations_with_|Eure Beziehungen zu den Königreichen sind:^^{s2}
qstr_Build_your_personal_|Errichtet Euren eigenen Unterschlupf.
qstr_You_already_have_a_r|Ihr habt bereits einen Unterschlupf. Zerstört Euren momentanen Unterschlupf, wenn Ihr ihn hierher verlegen wollt.
qstr_You_don_t_have_enough|Ihr habt nicht genug Geld! Die Arbeiter die diesen Unterschlupf bauen würden, fordern 1000 Pfennige.
qstr_You_need_to_have_mor|Ihr braucht mehr als 30 Männer um diese Aufgabe zu beginnen.
qstr_Your_men_await_your_|Eure Männer erwarten Eure Befehle, um mit dem Bau des Unterschlupfs zu beginnen. Es wurde bisher genug Material gesammelt, und was noch fehlen könnte, kann in nahe gelegenen Dörfern gekauft werden.^^Gesamtkosten: 1000 Pfennige.^Dauer: 6 Stunden.
qstr_{s2}^^_{s3}|{s2}^^ {s3}
qstr_Camping_allows_your_|Lager aufstellen ermöglicht dass ihre Männer sich erholen können.\nAußerdem können sie nach Essen suchen, das erhöht ihr Essensvorrat im Inventar. Dies ist wichtig wenn sie im Feindesland sind, wo sie kein Essen herbekommen. 
qstr_Traveling_by_sea_exh|Das reisen über dem Meer erschöpft die Männer komplett. Erlaube Euren Männern etwas ruhe, damit die reise erträglicher wird.
qstr_You_are_in_the_kingd|Ihr seid in DANMARK.^^Danmark ist ein wichtiges Land im Zeitalter der nordischen Seefahrer. Die Dänen können nicht nur ihre Unabhängigkeit gegen das mächtige Frankenreich behaupten, sondern attackieren und plündern auch Städte, Klöster  und Kirchen in ganz Westeuropa. Dänische Seefahrer sind exzellente Händler die mit allen in der bekannten Welt Handel treiben. Eine starke Führung hat sich in Jütland etabliert und die Dänen schauen nun über ihre eigenen Landesgrenzen nach Land, Handel und Plündergut. So lange die Männer auf Kaperfahrt sind verwalten die Frauen die Höfe.
qstr_You_are_in_the_kingdo|Ihr seid im Königreich NORTHVEGR.^^ In Northvegr formen bergiges Gelände und die bekannten Fjorde starke, natürliche Grenzen. Gemeinschaften existieren unabhängig von einander und so halten sich über dreißig kleine Königreiche im ganzen Land. Die mächtigsten Anführer tragen einen fortwährenden Machtkampf um die Vorherrschaft aus. Der Seeweg ist der leichteste Weg um zwischen den norwegischen Königreichen und dem Rest der Welt zu kommunizieren und die Menschen sind größtenteils Händler und Entdecker sowie Plünderer. Der Mangel an fruchtbarem Land zwingt die Norweger spärlich besiedelte Inseln im Westen zu besetzen. Sie waren die Ersten, die zum Brandschatzen nach Britannien und Irland fuhren, später folgten ihnen die Dänen.
qstr_You_are_in_the_kingdom|Ihr seid im Königreich LAITHLIND.^^Laithlind ist der nordisch dominierte Teil von Scotland und den nördlichen Inseln, die von den Vikingern vor Jahrzehnten erobert wurden. Dieses Königreich wurde zu einer Startposition für alle norwegischen Expansionen in den britischen Inseln. Auf der anderen Seite sind interne Auseinandersetzungen zwischen den verschiedenen Anführern häufig.
qstr_You_are_in_the_kingdom_|Ihr seid im Königreich Friesland.^^Friesland ist eine Region entlang der südöstlichen Küste der Nordsee, Heimat der Friesen, die eng mit den Angelsaxen über ihre Sprache verbunden sind. Das friesische Gebiet ist wichtig für den Handel vom nördlichen Frankenreich bis an die Grenzen Danmarks. Die Friesen haben ihre Unabhängigkeit einst an die Franken verloren, doch nun wird ihr Land von den Dänen kontrolliert.
qstr_You_are_in_the_kingdom_o|Ihr seid im Königreich WEST SEAXE.^^West Seaxe ist das westlichste Königreich der Saxen in Britannien. Vor einigen Jahrzehnten eroberte König Egbert Mierce und sicherte sich damit seine Macht über das Königreich Northhymbre. Er wurde dadurch zum Brytenwalda, oder Hochkönig von Britannien. Diese Machtfülle war von kurzer Dauer, doch die Expansion von West Seaxe nach Südengland war von Dauer. Die folgenden Jahre erlebte Egbert den Ansturm der Dänen auf West Seaxe. Die Invasoren wurden vernichtend von Egberts Sohn und Thronfolger, König Aethelwulf, geschlagen. Dieser Sieg zögerte weitere Handlungen der Dänen fünfzehn Jahre heraus, doch die Überfälle auf West Seaxe gingen weiter. Aethelwulf wurde von jedem seiner vier Söhne beerbt, einer nach dem anderen: Aethelbald, Aethelbert, Aethelred, der jetzige König, und Aelfred, derzeit Kleinkönig.
qstr_You_are_in_the_kingdom_of|Ihr seid im Königreich EAST ENGLE.^^Das Königreich East Engle ist ein kleines, unabhängiges Reich im entferntesten Osten von Britannien und wurde früher als viele anderen Regionen von den Angeln besiedelt. Es wurde von der Dynastie der Wuffinger beherrscht, doch anschließend von denen von Mierce. Die Vikinger verwüsteten East Engle, wurden jedoch in späteren Jahren von den Saxen in zwei großen Schlachten besiegt. Danach folgte eine vergleichsweise friedliche Periode in der die Nordmänner nur ein einziges Mal angriffen.
qstr_You_are_in_the_kingdom_of_|Ihr seid im Königreich MIERCE.^^Mierce ist eines der stärksten Königreiche der Angelsaxen, um den Fluss Trent und seine Zuflüsse gelegen. Ursprünglich sollte die Grenzregione, Midlands genannt, zwischen dem Gebiet der Angelsaxen und dem der keltischen Stämme, die sie nach westen vertrieben hatten, verlaufen. Von der Hauptstadt Tomtun aus beherschten die Könige von Mierce drei Jahrzehnte die Angelsäxischen Reiche. Diese Zeit ist als Miercische Vorherschaft bekannt. Jedoch wurde, durch die Eroberung von Northhymbre durch die große Heiden-Armee, die Machtstellung von Mierce in Frage gestellt.
qstr_You_are_in_the_kingdom_of_N|Ihr seid im Königreich NORTHHYMBRE:^^Northhymbre ist das nördlichste angelsäxische Königreich. Es erstreckte sich einst vom Süden von Alban bis zum Norden des Flusses Humber. Ursprünglich war es ein Zusammenschluss der Königreiche Bernaccia und Deira, expandierte jedoch nach norden und westen und griff auf die Gebiete der keltischen Reiche über. Die Brüder Halfdan "Weißhemd" Ragnarsson und Ivar "der Knochenlose" eroberten Northhymbre und beriefen einen angelsäxischen Adeligen, Ecgberth, als Marionettenkönig.
qstr_You_are_in_the_kingdom_of_G|Ihr seid im Königreich GWYNEDD.^^Das Königreich Gwinedd ist einer der erfolgreichen Reiche das nach dem Fall des römischen Reiches und der Ankunft der Saxen entstanden ist. Im nordwesten von Wales gelegen wurden die Könige von Gwynedd als 'Könige der Briten' bezeichnet bevor sie ihre Macht in Bürgerkriegen und Invasionen verloren. Die Briten von Gwynedd sind sich noch immer ihrer römisch-britischen Minderheit bewusst und ihre Könige führen die alte römisch-imperiale Regel fort, das Christentum und Latein zu verbreiten. Römisches Wissen ist fast gänzlich vergessen und die Menschen aus Gwynedd tauschten es gegen eine militaristische Stämmegesellschaft. Das Königreich Gwynedd expandierte unter dem Streben Rhodri des Großen.
qstr_You_are_in_the_kingdom_of_B|Ihr seid im Königreich BRYCHEINIOG.^^Brycheiniog ist ein kleines, unabhängiges Königreich in Südwales. Meist fungiert es als Puffer zwischen England im Osten und den mächtigen britischen Reichen im Westen. Das Königreich wurde im Grunde von irischen Räubern, sehr wahrscheinlich den Ui Liathain deren Macht groß in Wales war, bis sie von den Söhnen Cuneddas reduziert wurde, gegründet. Derzeit wird das Reich von einer Fehde mit ihren Nachbarn Glywyssing, in Atem gehalten.
qstr_You_are_in_the_kingdom_of_A|Ihr seid im Königreich ALT CLUT.^^Alt Clut ist ein britisches Königreich nordwestlich der Angelsäxischen Reiche und südlich von Alban, entlang des Flusses Clyde. Es entstand nach dem Fall des Römischen Reiches um die Hauptstadt Alt Clut. Mit seinem hohen, befestigten Fels (Alt), wiederstand dieses Reich dem Angriff der Dal Riata und drei Angriffen der Picten. Ein Bündnis von Picten und Northumbriaern nahm Alt Clut schließlich nach mehrjähriger Belagerung ein. Trotzdem konnten die Männer von Alt Clut vor etwa 18 Jahren die pictische Stadt Dunblane niederbrennen.
qstr_You_are_in_the_kingdom_of_C|Ihr seid im Königreich CORNUMBRIA.^^Das Königreich Cornumbria besetzt die südöstliche Halbinsel von Großbritannien, im Nordwesten begrenzt von der Keltischen See und im Süden vom Englischen Kanal. Cornumbria war Heimat eines keltischen Stammes der als Cornovii bekannt war dessen Handel sich seit grauer Vorzeit sich auf Zinn geschränkte.. Von den Briten aus Wales nach der Schlacht von Deorham separiert wurden sie  von den Säxischen Königreichen von West Seaxe alles andere als belagert. Diese Menschen fuhren über den Kanal und flohen auf den Kontinent.
qstr_You_are_in_the_kingdom_of_GL|Ihr seid im Königreich GLYWYSSING.^^Das kleine keltische Königreich Glywyssing wurde von dem Sohn des Hochkönigs Magnus Maximus, Eugenius gegründet. Dies war der am meisten romanisierte Teil von Wales, auch wenn sie von Urzeitliches Stämmen der Eisenzeit abstammten. Man sagt, Glywyssing wurde nach Glywys, einem legendären Herrscher, benannt. Kürzlich verstrickte sich das Reich in eine erbitterte Fehde mit Brycheiniog.
qstr_You_are_in_the_kingdom_of_U|Ihr seid im Königreich ULADH.^^Uladh ist ein Königreich im Norden der Insel, Heimat der gälischen Ulaid, nach denen dieses Königreich auch benannt ist, und der Cruithnischen Stämme, ein altes Volk das mit den Picten aus dem nördlichen Britannien verwand ist. Die Ui Neill Dynastie, Nachkommen der Niall von den Neun Geiseln, absorbieren das Königreich und beherrschen es von ihrer Hauptstadt Tir Eoghain.
qstr_You_are_in_the_kingdom_of_L|Ihr seid in dem Königreich LEINSTER. ^ ^ liegt im Südosten von Irland, die Stämme der Leinster vereinte Ugaine Mor, der erste historische König, der das Kastell von Dun Ailinne gebaut hat. Als die römischen Legionen Britannien verließen, besiedelten die Leinster Nordwales. Für eine lange Zeit wurde die Herrschaft der Leinster von zwei Dynastien geführt, die Ui Dunlainge und die Ui Cheinnselaig umkämpft am Ende haben die ersten die Krone gewonnen. Es ist Neunzehn Jahre her, das während einem Generalangriffs der Nords auf die Britischen Inseln, die Nord Armee bei Sciath Nechtain besieg wurden. Sie wurden von Lorcan mac Cellaig von Leinster und Olchobar mac Cinaeda of Main besiegt. Trotzdem haben die Vikinger mehrere Kolonien bei den Küsten gegründet. 
qstr_You_are_in_the_kingdom_of_M|Sie befinden sich im Königreich MUMAIN. ^^ Im Süden Irlands liegt das Königreich Mumain unter der Herrschaft der Eoganachta-Dynastie. Vor 19 Jahren, nach mehrfachen Niederlagen durch die Invasion der Norsemen schloss sich Olchobar mit seinem östlichen Nachbarn Lorcan Mac Cellaig König von Laigin an, um sie bei Sciath Nechtain zu stoppen. Unter den Toten war ein Tomrair, Jarl des Königs von Laithlind.
qstr_You_are_in_the_kingdom_of_CO|Sie befinden sich im Königreich CONNACHTA. ^ ^ Connachta ist ein irisches Königreich im Nordwesten der Insel. Conn ist ein Legendärer König von Irland der in hundert Schlachten war, er war Stammvater des späteren Connachta Stämme und der Namensvetter für das Königreich Connachta. Einige Jahrhunderte später, wurde die alte Grenze der Könige von Connacht von Midland Herrscher abgelöst, deren Zentrum im Tara war. Zwei Mitglieder dieser Tara-Dynastie, Brion und Fiachra, gegründet-Clans, die Ui Briuin und die Ui Fiachrach, zu denen alle die aktuellen Machthaber von Connaught gehören. Conchobar Mac entstammt Ortsverbandes Ui Briuin Taidg Mor. Derzeit scheinen die Skandinavier Absicht über die Abrechnung von einer Insel in der Mitte des Flusses von Shannon.
qstr_You_are_in_the_terri|Sie sind auf dem Gebiet der Ui Neill von AILEACH. ^^Aileach ist ein irisches Königreich weit im nordwesten Irlands. Die Könige von Aileach gehören zu den nördlichen Ui Neill, sie sollen von Niall der neun Geiseln abstammen. Das Königreich hat seinen Namen von dem Hügelfort Grianan von Aileach. Dieses Königreich splitterte sich ab vom Königreich Uladh, bewohnt und unter der Herrschaft des Stammes Cenel Eogain.  Jetzt befindlich in einer Fehde mit den Ui Neill im Süden setzten die Herrscher den Brauch fort, die Krone des Hochkönigs von Irland zwischen ihnen zu wechseln.
qstr_You_are_in_the_kingdom_of_MI|Ihr seid im Königreich MIDE.^^Mide bedeutet 'Mitte', wegen seiner Position in der Mitte Irlands. Es wurde errichtet von Tuathal Teachtmhar, der nach der Unterwerfung der Herrscher der vier Königreiche Irlands sein eigenes Reich um den Hügel Tara gründete, das er von ihnen annektierte. Niall von den neun Geiseln machte sich später zum König von Tara. Für die folgenden sechs Jahrhunderte, nahezu ohne Unterbrechungen, galten seine Nachkommen als Hochkönige Irlands. Sein Sohn Loegaire beerbte ihn und begrüßte St. Patrick als Sitz seines Hofes.  Niall's Söhne und Enkel haben ihre Annektierungen von Teilen des nördlichen Laigin fortgesetzt um die Unterkönigreiche Mide und Brega für ihre Nachkommen herauszuarbeiten. Derzeit haben die Ui Neill von Mide ein Abkommen mit ihren Cousins von Aileach, die Krone des Hochkönigs zwischen ihnen abzuwechseln, auch wenn Sie ihre Fehde fortsetzen.
qstr_You_are_in_the_kingdom_of_AL|Ihr seid im Königreich ALBAN.^^Im Norden von Britannien waren Pikten und Schotten, mit ihren unterschiedlichen Sprachen, traditionelle Feinde. Beide Königsdynastien wurden in einer Schlacht mit den Wikingern nahezu ausgelöscht. Danach einte Kenneth MacAlpin von Dal Riata das Land indem er das piktische Königshaus vernichtete. Doch nach wie vor war er den Angriffen der nordischen Seefahrer ausgesetzt und verlegte daher seine Hauptstadt landeinwärts nach Forteviot, im alten piktischen Territorium und sein religiöses Zentrum nach Dunkeld. Dahin verbrachte er die Überreste der heiligen Columba von Iona.
qstr_You_are_in_territory|Ihr seid auf dem Territorium des Clans von OSRAIGE.^^Osraige ist einer der größten Clans in Irland. Es war die östlichste Region im Königreich Mumain, bis Osraiges Kriegsherr, Cerball mac Dunlainge geschickt Unabhängigkeit erlangte. Cerball kämpfte und allierte zu verschiedenen Gelegenheiten mit Waterford, Dublin und Aed Findliath aber verblieb hauptsächlich im Widerspruch mit den benachbarten, größeren Königreichen von Mumain und Laigin.
qstr_Plain.|Prärie.
qstr_Snow.|Schnee.
qstr_Forest.|Wald.
qstr_Snow_Forest.|schneebedeckter Wald.
qstr_Ocean.|Ozean.
qstr_Sea.|Meer.
qstr_Standard_Bearer:_{re|Standartenträger: {reg1}^Führungsbonus: {reg2} (max. 3)
qstr_Musician:_{reg1}^Tac|Musikant: {reg1}^Taktikbonus: {reg2} (max. 3)
qstr_Note:_You_re_close_t|Beachtet: Ihr seid in der Nähe einer feindlichen Siedlung, lasst Vorsicht walten.
qstr_{s16}^^_____________|{s16}^^-------------------^^Lager Info:^^^{s6}^^{s7}^^Umliegendes Gelände: {s2}^^Kundschafter: {s5}^^Plünderer: {s3}^^Befestigtes Lager: {s4}^^{s11}
qstr_Camp_Info:^^^^Positi|Lager-Info:^^^^Position: {s2}^^Ihr segelt auf eurem Boot.^^^^Schiffsmanagement:^^Wenn Ihr in der Nähe einer Küste seid, könnt Ihr die nächste Anlegestelle suchen, mit einem rechten Mausklick auf Eure Gruppe.
qstr_Camp_Info:^^^^Positio|Lagerinfo:^^^^Position: {s2}^^Ihr fahrt auf eurem Boot.^^^^^Schiffsmanagement:^^In einer Seeschlacht könnt ihr einen 'Haltet die Position'- oder 'Vorrücken'-Befehl an eure Schiffe geben, indem ihr Sie an die Truppklasse Neun gebt, wie ihr in einer Feldschlacht die Befehle an die Truppklasse gebt. Die ersten Truppen auf eurer Armeeliste werden zusammen mit euch auf dem Flaggschiff sein. Die übrigen Truppen sind in den folgenden Schiffen. Ihr könnt euer Flaggschiff in einem Hafen oder bei einer Rast auf See wechseln. Wenn Ihr in der Nähe einer Küste seid, könnt ihr auch eure Flotte aufteilen während einer Rast auf See oder einen Landeplatz suchen mit einem Rechtsklick auf eure Gruppe.
qstr_Priests_in_followers|Priester in Gefolgsleute Partei: {REG1} ^ Chirurgie Bonus: {reg 2} (max 3)
qstr_Women_in_followers__|Frauen im Tross: {reg1}^Wunden Behandlungs Bonus: {reg2} (max. 3)^^Hinweis: jeweils 10 Frauen (als Flüchtlinge, Lagerfrauen, Soldatenfrauen und Bauern) geben +1 Moral alle 72 Stunden. Maximal +10 Moral.
qstr_^^^^Followers:^^{s2}|^^^Anhänger:^^{s2}^^--------------^^{s3}
qstr_{s5}_has_been_defeat|{s5} wurde besiegt!
qstr_This_lord_is_a_priso|Dieser Lord ist ein Gefangener von {s10}
qstr_Christian_Lord|christlicher Herrscher
qstr_Pagan_Lord|heidnischer Herrscher
; qstr_{s37}__his_betrothed|{s37} (his betrothed)
qstr_{s40}._His_love_inte|{s40}. Seine Liebes Interessen sind Berichten zufolge {s37}.
; qstr_His_love_interests_a|His love interests are reported to be {s37}.
; qstr_{s40}._His_love_inter|{s40}. His love interest is reported to be {s37}.
; qstr_His_love_interest_is|His love interest is reported to be {s37}.
