str_yes|Ja.
str_round_gold_bonus_ratio_is_reg0|Runden Silberbonus {reg0}%.
str_point_gained_from_flags_is_reg0|Teampunkte für Flaggen {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Erhaltene Punkte für das Erobern von Flaggen {reg0}%.
str_map_time_limit_is_reg0|Karten Zeitgrenze {reg0} Minuten.
str_team_points_limit_is_reg0|Team Punktelimit {reg0}.
str_defender_spawn_count_limit_is_s1|Verteidiger-Spawnzahl ist {s1}.
str_system_error|System Fehler!
str_prisoner_granted_parole|Bewährung für Gefangenen gewährt
str_prisoner_not_offered_parole|Bewährung für Gefangenen nicht gewährt
str__age_reg1|^Alter: {reg1}
str__family_|^Familie:
str_s49_s12_s11_end|{s49} {s12} ({s11}).
str_s49_s12_s11_rel_reg0|{s49} {s12} ({s11}, rel: {reg0}),
str_s49_s12_s11|{s49} {s12} ({s11}),
str_lord_info_string|{reg6?:{reg4?{s54} ist Herrscher von {s56}.^:{s54} ist ein Vasall von {s55} von {s56}.^}}Ansehen: {reg5}. Kontroverse: {reg15}.^Religion: {s29}^{reg9?{reg3?Sie:Er} ist {reg3?Fürstin:Fürst} von {s58}.:{reg3?Sie:Er} hat keine Lehen.}{s59}^{s49}^Beziehung: {reg0}
str_foreign_relations__|Außenbeziehungen: ^
str_s21__the_s5_is_at_war_with_the_s14|{s21}^^* Im Krieg mit dem {s14}.
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21} {s5} behielten bei den Kampfhandlungen die Oberhand.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21} {s5} ist bei den Kampfhandlungen am schlechtesten weggekommen.
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21} Die Kämpfe toben schon eine Weile lang, und der Krieg könnte bald mit einem Waffenstillstand enden.
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21} Die Kämpfe begannen erst kürzlich, und der Krieg könnte noch eine Weile anhalten.
str__however_the_truce_is_no_longer_binding_on_the_s14|Doch der Waffenstillstand ist für {s14} nicht länger verbindlich
str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^^* Durch ein Waffenstillstandsabkommen verpflichtet, {s14} nicht anzugreifen.{s18} Der Waffenstillstand läuft in {reg1} Tagen aus.
str_s21__the_s5_is_bound_by_alliance_not_to_attack_the_s14s18_the_alliance_will_expire_in_reg1_days|{s21}^^* {s5} hat ein Bündnis mit {s14}.{s18} Das Bündnis wird in {reg1} Tagen auslaufen.
str_alliance_durantion_days_expire|{s21}^^* {s5} hat ein Bündnis mit {s14} formalisiert.{s18} Das Bündnis wird in {reg1} Tagen auslaufen.
str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21} {s14} wurde kürzlich durch Untertanen von {s5} provoziert, und es besteht Kriegsgefahr.^
str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|{s5} wird regiert von {s6}.^^Es kontrolliert:^{s8}.^^Die Vasallen sind:^{s10}.^^{s21}
str_reg4_killed_reg5_wounded_reg6_routed|{reg4} getötet, {reg5} verwundet, {reg6} geflohen
str_reg4_killed_reg5_routed|{reg4} getötet, {reg5} geflohen
str_reg4_killed_reg5_wounded|{reg4} getötet, {reg5} verwundet
str_reg4_wounded_reg5_routed|{reg4} verwundet, {reg5} geflohen
str_s4_awarded_to_s5|{s5} erhält {s4} 
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|Ausfall für {s4} wird berechnet, Stärke von {reg3} gegen {reg4} Feinde
str_current_wealth_reg1_taxes_last_collected_from_s4|Aktueller Reichtum: {reg1}. Zuletzt von {s4} eingenommene Steuern
str_no_relation|keine Verwandtschaft
str_wife|Gemahlin
str_husband|Gemahl
str_father|Vater
str_mother|Mutter
str_daughter|Tochter
str_son|Sohn
str_sister|Schwester
str_brother|Bruder
str_niece|Nichte
str_nephew|Neffe
str_aunt|Tante
str_uncle|Onkel
str_cousin|Cousin
str_daughterinlaw|Schwiegertochter
str_soninlaw|Schwiegersohn
str_motherinlaw|Schwiegermutter
str_fatherinlaw|Schwiegervater
str_sisterinlaw|Schwägerin
str_brotherinlaw|Schwager
str_print_party_members_entered|print Trupp members entered
str_num_companion_stacks_=_Anzahl der Begleitermasse = {reg10}"
str_someone|jemand
str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|Ich nehme jede Arbeit an, {reg59?meine Dame:Herr}. Ich schleppe Wasser oder helfe den Kaufleuten mit ihren Lasten oder helfe bei Bauarbeiten.
str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|Ich bin gerade nicht beschäftigt, {reg59?meine Dame:Herr}. Zurzeit gibt es hier keine Arbeit.
str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|Ich bin gerade nicht beschäftigt, {reg59?meine Dame:Herr}. Ich besitze kein Land, und zurzeit gibt es hier keine Arbeit.
str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|Nun, ich lebe immer noch von Eurer Freundlichkeit und Güte, {reg59?meine Dame:Herr}. Hoffentlich gibt es bald Arbeit.
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|Ich arbeite auf den Feldern außerhalb der Stadtmauern, wo man Getreide anbaut. Wir bauen alllerdings nicht genug für unsere Bedürfnisse an und müssen noch Getreide aus dem Umland ankaufen.
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|Ich arbeite hauptsächlich auf den Feldern, im Getreideanbau. In der Stadt mahlen sie es, um Brot oder Bier daraus zu machen, und wir können es auch als Brei kochen.
str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|Ich arbeite in den Brauereien, wo ich Bier mache. Die armen Leute trinken es viel, denn es ist billiger als Wein. Wir stellen es aus Getreide her, das wir auf dem Land kaufen.
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|Ich arbeite in einer Mühle, wo ich Mehl für Brot mahle. Brot ist billig, hält sich gut und füllt den Magen.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|Ich hüte Vieh. Wir trocknen und pökeln Fleisch, um es haltbar zu machen, und schicken die Häute in die Städte, wo aus ihnen Leder gefertigt wird. Außerdem machen wir aus der Milch  Käse.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|Ich hüte Vieh. Wir trocknen und pökeln Fleisch, um es haltbar zu machen, und schicken die Häute in die Städte, wo aus ihnen Leder gefertigt wird. Auch machen wir Käse aus der Milch.
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|Ich hüte Schafe. Wir schicken die Wolle in die Städte, wo sie zu Tuch gewoben wird, und machen Schafswurst, wenn wir die Herden ausdünnen.
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|Ich arbeite an einem Webstuhl, wo ich Tuch aus Wolle mache. Wolle ist eins der billigsten Tuche weit und breit, aber es hält einen trotzdem warm.
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|Ich arbeite auf einem Fischerboot. Wir salzen und räuchern die Fische und verkaufen sie bis weit ins Inland hinein.
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|Ich arbeite auf einem nahen Salzfeld. Salz wird überall gebraucht, um Fleisch und Fisch zu pökeln.
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|Ich schürfe Eisen aus einer Ader in einer nahen Klippe. Aus dem Eisen werden Werkzeuge, Waffen und andere Güter gemacht.
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|Ich mache Tongefäße, in denen man Getreide speichert und Wasser befördert.
str_trade_explanation_tools|Ich arbeite in einer Schmiede, {reg59?meine Dame:Herr}, wo ich allerlei Eisenwaren herstelle -- Messer, Äxte, Töpfe, Pflugscharen, Sicheln, Hämmer, Ambosse, Zangen, Hacken, Sägen, Nägel, Hufeisen, Feuerhaken, Kohlenbecken, und selbstverständlich Waffen und Rüstungen für Euer Hochwohlgeboren.
str_trade_explanation_tar|Ich arbeite in einem Teerbrennofen. Wir produzieren Teer aus dem Pinienholz, dass aus dem Landesinneren geliefert wird. Wenn ihr ihn bezahlen könnt, hat unser Teer hunderte Anwendungsmöglichkeiten - zum Beispiel Segelschiffe und Boote Wasserdicht zu machen oder Leder zu verstärken.
str_trade_explanation_linen|Ich webe Leinen aus Flachs, das ich vom umliegenden Land bekomme. Es ist ein haltbares, leichtes Tuch, {reg59?meine Dame:Herr} -- gut für Sommerkleidung, Schiffssegel und so weiter.
str_trade_explanation_silver|Ich arbeite in einer der Silberschmieden dieser Stadt und stelle behutsam den Schmuck her, für den diese Gegend bekannt ist. Wir verarbeiten das kostbare Metall aus den deutschen Silbermienen aus dem Harzgebirge zu dem feinsten und teuersten Geschmeide, dass in diesen Landen gefunden werden kann.
str_trade_explanation_mead|Ich arbeite in einer Metbrauerei, sammle Honig aus Bienenstöcken und fülle ihn in Fässer ab. Ich vermische ihn mit Wasser um es gären zu lassen. Met ist billiger als Wein und bekannter als Bier. Kein Fest kann ohne ihn begangen werden.
str_trade_explanation_apples|Ich komme gerade aus den Obstgärten, wo wir Äpfel anbauen. Wir trocknen sie für lange Haltbarkeit, aber man kann auch Apfelweil oder Essig daraus herstellen.
str_trade_explanation_barley|Ich arbeite in den Gerstenfeldern, pflanze Mais, um das Vieh zu füttern und um Bier zu brauen, damit der Durst nach Gemeingüter gestillt wird.
str_trade_explanation_ivory|Ich segle in den hohen Norden um die Walrösser an den fernen Stränden des eisigen Landes jenseits des Ozeans zu jagen. Diese Meeresbestien haben zwei berüchtigte Zähne aus edlem Elfenbein. In der Heimat stellen die Schnitzer viele Schöne und begehrte Dinge aus diesem harten, teuren und gänzlich weißen Material her.
str_trade_explanation_leatherwork|Ich arbeite in den Gerbereien außerhalb der Stadtmauern, wo wir Häute aus dem Umland in gutes, weiches Leder umarbeiten. Es ist eine widerliche Arbeit, und bei meiner Heimkehr stinke ich immer wie ein altes Klosett – aber dort kommen Eure Stiefel, Sättel und Zaumzeuge her, {reg59?meine Dame:Herr}.
str_trade_explanation_flax|Ich säe und ernte Leinsamen, aus dessen verrotteten Stengeln ich Flachs mache. Da kommen Eure feinen Leinenstoffe her, {reg59?meine Dame:Herr} – eine Faulgrube am Rande eines Ackers.
str_trade_explanation_soapstone|Ich arbeite in einer Specksteinmiene. Dieser Stein direkt aus dem Fels geschlagen und sofort verarbeitet, sowie verkauft werden. Speckstein ist vergleichsweise weich und kann leicht bearbeitet werden, was ihn ideal für Skulpturen und Gefäße macht.
str_trade_explanation_venison|Ich jage Wild in den Wäldern und arbeite in einer Räucherei in welcher der Rauch das Fleisch für lange Zeit konserviert. Im Winter und auch im Sommer ist Wild das beste Fleisch, dass man bekommen kann.
str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14}. Ich höre, man kann in {s15} wohlfeil veräußern.
str_s2s_rebellion|{s2}s Rebellion
str_political_suggestion|Politischer Vorschlag
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|Instabilität: {reg0}% der Fürsten sind missmutig, {reg1}% sind rastlos
str_reg1shehe_is_prisoner_of_s1|{reg1?Sie:Er} ist {reg1?Gefangene:Gefangener} der {s1}.
str_s39_rival|{s39} (Rivale)
str_s41_s39_rival|{s41}, {s39} (Rivale)
str_reputation_only_martial_|Soweit Ihr wisst, scheint er eine kriegerische Persönlichkeit zu haben^
str_reputation_only_debauched_|Soweit Ihr wisst, scheint er eine lasterhafte Persönlichkeit zu haben^
str_reputation_only_pitiless_|Soweit Ihr wisst, scheint er eine erbarmungslose Persönlichkeit zu haben^
str_reputation_only_calculating_|Soweit Ihr wisst, scheint er eine berechnende Persönlichkeit zu haben^
str_reputation_only_quarrelsome_|Soweit Ihr wisst, scheint er eine streitsüchtige Persönlichkeit zu haben^
str_reputation_only_goodnatured_|Soweit Ihr wisst, scheint er eine gutmütige Persönlichkeit zu haben^
str_reputation_only_upstanding_|Soweit Ihr wisst, scheint er eine aufrichtige Persönlichkeit zu haben^
str_reputation_only_conventional_|Soweit Ihr wisst, scheint er eine konservative Persönlichkeit zu haben^
str_reputation_only_adventurous_|Soweit Ihr wisst, scheint er eine abenteuerlustige Persönlichkeit zu haben^
str_reputation_only_romantic_|Soweit Ihr wisst, scheint er eine romantische Persönlichkeit zu haben^
str_reputation_only_moralist_|Soweit Ihr wisst, scheint er eine rechtschaffene Persönlichkeit zu haben^
str_reputation_only_ambitious_|Soweit Ihr wisst, scheint er eine ehrgeizige Persönlichkeit zu haben^
str_love_interest|Angebetete
str_betrothed|verlobt mit
str_other_relations_s40_|Andere Verhältnisse: {s40}^
str_relation_with_liege_reg0_|Verhältnis zum Lehnsherrn: {reg0}^
str_sense_of_security_military_reg1_court_position_reg3_|Sicherheitsgefühl: Militärisch {reg1}, Position am Hof {reg3}^
str_political_details_s47_|Politische Details:^{s47}^
str_the_s55|der/die {s55}
str_travellers_on_the_road|Reisende auf der Straße
str_a_short_while_ago|vor kurzem
str_one_day_ago|vor einem Tag
str_two_days_day_ago|vor zwei Tagen
str_earlier_this_week|anfang der Woche
str_about_a_week_ago|vor ungefähr einer Woche
str_about_two_weeks_ago|vor etwa zwei Wochen
str_several_weeks_ago|vor einigen Wochen 
str_unknown_assailants|unbekannte Angreifer
str_swadians|Briten
str_vaegirs|Wikinger 
str_khergits|Sachsen
str_nords|Angeln
str_rhodoks|Goidelen
str_sarranids|Pikten
str_bandits|Banditen
str_deserters|Deserteure
str_your_followers|Eure Gefolgschaft
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|Wir hörten, dass Reisende in Richtung {s40} auf der Straße {s46} von {s39} angegriffen wurden
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|Wir hörten, dass von {s40} kommende Reisende auf der Straße {s46} von {s39} angegriffen wurden
str_travellers_coming_from_s40_traded_here_s46|Aus {s40} kommende Reisende handelten hier {s46}
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|Es ist noch früh in der Karawanensaison, daher handeln wir wenig.{s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|In letzter Zeit wurde hier sehr wenig gehandelt.{s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|In letzter Zeit wurde hier etwas gehandelt, aber nicht genug.{s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|In letzter Zeit wurde hier etwas gehandelt, aber die Straßen sind gefährlich.{s42}
str_the_roads_around_here_are_very_dangerouss42|Die Straßen hier in der Gegend sind sehr gefährlich.{s42}
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|Wir haben viele Händler in der Stadt, obwohl die Straßen etwas gefährlich sind.{s42}
str_we_have_received_many_traders_in_town_heres42|Wir haben viele Händler in der Stadt.{s42}
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|Wir haben wenige Informationen über die Karawanenrouten zu den Städten von {s44} und der dortigen Gegend. Doch keine Nachricht ist gute Nachricht, und die Straßen werden daher als sicher angesehen.
str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|{s47} Auch die Straßen zu den Dörfern von {s44} und anderen draußen liegenden Weilern werden als sicher angesehen.
str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|Aber die Straßen zu den Dörfern von {s44} und anderen draußen liegenden Weilern werden als sicher angesehen.
str_we_have_shortages_of|Wir haben zu wenig
str_we_have_adequate_stores_of_all_commodities|Wir haben ausreichende Vorräte an allen Handelsgütern
str_s33_and_some_other_commodities|{s33} und einige andere Handelsgüter
str_the_roads_are_full_of_brigands_friend_but_that_name_in_particular_does_not_sound_familiar_good_hunting_to_you_nonetheless|Die Straßen sind voller Briganten, mein Freund, aber dieser Name klingt nicht vertraut. Aber ich wünsche Euch trotzdem Waidmannsheil.
str_less_than_an_hour_ago|vor nicht einmal einer Stunde
str_maybe_reg3_hours_ago|vor vielleicht {reg3} Stunden
str_reg3_days_ago|vor {reg3} Tagen
str_youre_in_luck_we_sighted_those_bastards_s16_near_s17_hurry_and_you_might_be_able_to_pick_up_their_trail_while_its_still_hot|Ihr habt Glück. Wir sahen diese Bastarde {s16} bei {s17}. Eilt Euch, und ihr findet ihre Spur vielleicht noch, bevor sie erkaltet.
str_you_speak_of_claims_to_the_throne_good_there_is_nothing_id_rather_do_than_fight_for_a_good_cause|Ihr sprecht von Ansprüchen auf den Thron. Gut. Nichts tue ich lieber, als für eine gute Sache zu kämpfen.
str_you_speak_of_claims_to_the_throne_well_there_is_nothing_id_rather_do_than_fight_for_a_good_cause_but_the_claim_you_make_seems_somewhat_weak|Ihr sprecht von Ansprüchen auf den Thron. Nun, ich tue nichts lieber, als für eine gute Sache zu kämpfen, aber Euer Anspruch scheint auf tönernen Füßen zu stehen.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_which_are_sometimes_trod_upon_in_these_sorry_days|Ich bin erfreut, dass Ihr von der Aufrechterhaltung meiner uralten Rechte sprecht, die in diesen traurigen Zeiten oftmals mit Füßen getreten werden.
str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_but_sometimes_men_make_pledges_before_they_are_king_which_they_cannot_keep_once_they_take_the_throne|Ich bin erfreut, dass Ihr von der Aufrechterhaltung meiner uralten Rechte sprecht. Doch manchmal geben Menschen Versprechen, die sie nach der Thronbesteigung nicht halten können.
str_you_speak_of_protecting_the_commons_well_i_supposed_thats_good_but_sometimes_the_commons_overstep_their_boundaries_im_more_concerned_that_your_claim_be_legal_so_i_can_swing_my_sword_with_a_good_conscience|Ihr sprecht davon, das gemeine Volk zu beschützen. Nun, ich denke, das ist eine gute Sache, aber manchmal nehmen sich die Gemeinen zuviel heraus. Ich bin eher besorgt darüber, ob Euer Anspruch legal ist, damit ich mein Schwert mit gutem Gewissen schwingen kann.
str_you_speak_of_giving_me_land_good_i_ask_for_no_more_than_my_due|Ihr sprecht davon, mir Land zu geben. Gut. Ich bitte um nicht mehr als das, was mir zusteht.
str_you_speak_of_giving_me_land_unfortunately_you_are_not_wellknown_for_rewarding_those_to_whom_you_have_made_such_offers|Ihr sprecht davon, mir Land zu geben. Leider seid Ihr nicht sehr dafür bekannt, diejenigen zu belohnen, denen Ihr solche Angebote gemacht habt.
str_you_speak_of_unifying_calradia_well_i_believe_that_well_always_be_fighting__its_important_that_we_fight_for_a_rightful_cause|Ihr sprecht von der Einigung dieses Landes. Nun, ich denke, dass wir immer kämpfen werden - es ist wichtig, dass wir für einen guten Zweck kämpfen.
str_you_talk_of_claims_to_the_throne_but_i_leave_bickering_about_legalities_to_the_lawyers_and_clerks|Ihr sprecht von Ansprüchen auf den Thron, aber ich überlasse das Gezeter über rechtliche Eınzelheiten den Advokaten und Buchhaltern.
str_you_speak_of_ruling_justly_hah_ill_believe_theres_such_a_thing_as_a_just_king_when_i_see_one|Ihr sprecht von gerechter Regierung. Hah! Wenn ich dereinst mal einen gerechten König sehe, dann werde ich erst glauben, dass es so etwas gibt.
str_you_spoke_of_protecting_the_rights_of_the_nobles_if_you_did_youd_be_the_first_king_to_do_so_in_a_very_long_time|Ihr spracht davon, die Rechte der Adligen zu schützen. Wenn Ihr das in der Tat fertigbringt, werdet Ihr seit langer Zeit der erste König sein, der das geschafft hat.
str_you_speak_of_giving_me_land_ay_well_lets_see_if_you_deliver|Ihr sprecht davon, mir Land zu geben. Nun, schauen wir mal, ob Ihr das durchzieht.
str_you_speak_of_giving_me_land_bah_youre_not_known_for_delivering_on_your_pledges|Ihr sprecht davon, mir Land zu geben. Pah. Ihr seid nicht dafür berühmt, Eure Versprechen zu halten.
str_you_speak_of_unifying_calradia_well_youve_done_a_good_job_at_making_calradia_bend_its_knee_to_you_so_maybe_thats_not_just_talk|Ihr sprecht von der Einigung dieses Landes. Nun, Ihr habt es in der Tat geschafft, Euch dieses Land untertan zu machen, also ist das vielleicht kein leeres Gerede.
str_you_speak_of_unifying_calradia_id_be_impressed_if_i_thought_you_could_do_it_but_unfortunately_you_dont|Ihr sprecht von der Einigung dieses Landes. Wenn ich Euch das zutraute, wäre ich beeindruckt. Doch leider ist das nicht der Fall.
str_you_speak_of_claims_to_the_throne_well_any_peasant_can_claim_to_be_a_kings_bastard|Ihr sprecht von Ansprüchen auf den Thron. Nun, jeder Bauer kann beanspruchen, unehelicher Spross eines Königs zu sein
str_well_its_a_fine_thing_to_court_the_commons_with_promises_but_what_do_you_have_to_offer_me|Nun, es ist schön, das gemeine Volk mit Versprechungen zu überschütten, doch was habt Ihr mir zu bieten?
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Es wäre ja mal nett, wenn zur Abwechslung meine Rechte als Fürst respektiert würden.
str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected_however_it_is_easy_for_you_to_make_promises_while_you_are_weak_that_you_have_no_intention_of_keeping_when_you_are_strong|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Es wäre ja mal nett, wenn zur Abwechslung meine Rechte als Fürst respektiert würden. Doch es ist natürlich einfach für Euch, jetzt als Schwacher Versprechungen zu machen, von denen Ihr gar nicht vorhabt, sie später als Starker zu halten.
str_you_speak_of_giving_me_land_well_my_family_is_of_ancient_and_noble_lineage_so_you_promise_me_no_more_than_my_due_still_your_gesture_is_appreciated|Ihr sprecht davon, mir Land zu geben. Nun, meine Familie ist von altem und noblem Geblüt, also versprecht Ihr mir nicht mehr, als was mir zusteht. Trotzdem schätze ich Eure Geste.
str_you_speak_of_giving_me_land_well_you_make_that_pledge_but_i_am_not_impressed|Ihr sprecht davon, mir Land zu geben. Nun, Ihr gebt dieses Versprechen, aber es beeindruckt mich nicht.
str_you_speak_of_unifying_calradia_well_much_of_this_land_now_bends_its_knee_to_you_so_perhaps_that_is_not_just_talk|Ihr sprecht von der Einigung dieses Landes. Nun, viele in diesem Land knien vor Euch, vielleicht ist es also nicht nur leeres Geschwätz.
str_you_speak_of_unifying_calradia_but_right_now_yours_is_just_one_squabbling_faction_among_many|Ihr sprecht von der Einigung dieses Landes, aber im Moment ist Eure Fraktion nur eine unter vielen Zankenden.
str_you_speak_of_claims_well_no_offense_but_a_claim_unsupported_by_might_rarely_prospers|Ihr sprecht von Ansprüchen. Nun, ich will Euch nicht zu nahe treten, aber aus Ansprüchen, die nicht durch echte Macht abgedeckt werden, wird meist nichts.
str_you_speak_of_protecting_the_commons_well_i_suppose_that_will_make_for_a_more_prosperous_realm_ive_always_tried_to_treat_my_peasants_decently_saves_going_to_bed_worrying_about_whether_youll_wake_up_with_the_roof_on_fire|Ihr sprecht davon, das gemeine Volk zu schützen. Nun, ich vermute, das wird dem Reich gut tun. Ich habe immer versucht, meine Bauern anständig zu behandeln. Besser, als jeden Abend mit der Furcht ins Bett zu gehen, am nächsten Morgen das Dach in Flammen vorzufinden.
str_you_speak_of_protecting_the_commons_very_well_but_remember_that_peasants_are_more_likely_to_cause_trouble_if_you_make_promises_then_dont_deliver_than_if_you_never_made_the_promise_in_the_first_place|Ihr sprecht davon, das gemeine Volk zu schützen. Nun gut. Doch denkt daran, dass die Bauern Euch mehr Ärger einbringen, wenn Ihr Versprechungen macht, die Ihr nicht halten könnt, als wenn Ihr ihnen von vornherein gar nichts versprecht.
str_you_speak_of_protecting_the_rights_of_lords_good_youd_be_well_advised_to_do_that__men_fight_better_for_a_king_wholl_respect_their_rights|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Gut. Das ist eine weise Idee  -- Männer kämpfen lieber für einen König, der ihre Rechte respektiert.
str_you_speak_of_protecting_the_rights_of_lords_very_well_but_remember__failing_to_keep_promises_which_you_made_while_scrambling_up_the_throne_is_the_quickest_way_to_topple_off_of_it_once_you_get_there|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Nun gut. Doch denkt daran – Versprechen nicht zu halten, die Ihr auf der Treppe zum Thron hastig um Euch warft, ist ein sicheres Rezept dafür, bald nach der Thronbesteigung wieder herunter zu fallen.
str_you_speak_of_giving_me_land_very_good_but_often_i_find_that_when_a_man_makes_too_many_promises_trying_to_get_to_the_top_he_has_trouble_keeping_them_once_he_reaches_it|Ihr sprecht davon, mir Land zu geben. Wohlan, doch oft sehe ich, dass Männer, die zu viele Versprechungen auf dem Weg nach oben machen, diese nicht halten können, wenn sie ihr Ziel erreicht haben.
str_you_speak_of_unifying_calradia_well_many_have_said_that_you_might_very_well_be_the_one_to_do_it|Ihr sprecht von der Einigung dieses Landes. Nun, viele sagen, dass Ihr vielleicht genau der Richtige dafür seid.
str_you_speak_of_unifying_calradia_well_all_the_kings_say_that_im_not_sure_that_you_will_succeed_while_they_fail|Ihr sprecht von der Einigung dieses Landes. Nun, alle Könige sagen das. Ich bin nicht sicher, dass Ihr Erfolg finden werden, wo sie scheiterten.
str_you_speak_of_claims_do_you_think_i_care_for_the_nattering_of_lawyers|Ihr sprecht von Ansprüchen. Glaubt Ihr, mich kümmert das Geschwätz von Advokaten?
str_you_speak_of_protecting_the_commons_how_kind_of_you_i_shall_tell_my_swineherd_all_about_your_sweet_promises_no_doubt_he_will_become_your_most_faithful_vassal|Ihr sprecht davon, das gemeine Volk zu schützen. Wie gnädig von Euch! Ich werde meinem Schweinehirten von Euren süßen Versprechungen erzählen. Zweifelsohne wird er Euer treuster Vasall werden.
str_you_speak_of_protecing_the_rights_of_lords_such_sweet_words_but_ill_tell_you_this__the_only_rights_that_are_respected_in_this_world_are_the_rights_to_dominate_whoever_is_weaker_and_to_submit_to_whoever_is_stronger|Ihr sprecht davon, die Rechte der Fürsten zu schützen. Solch süße Worte! Doch ich werde Euch das eine sagen – die einzigen Rechte, die in dieser Welt Respekt finden, sind das Recht, die Schwächeren zu dominieren, und das, sich dem Stärkeren zu unterwerfen.
str_you_speak_of_giving_me_land_yes_very_good__but_you_had_best_deliver|Ihr sprecht davon, mir Land zu geben. Sehr gut, sehr gut – aber das solltet Ihr auch wirklich wahr machen.
str_you_speak_of_giving_me_land_hah_perhaps_all_those_others_to_whom_you_promised_lands_will_simply_step_aside|Ihr sprecht davon, mir Land zu geben. Hah! Und all die anderen, denen Ihr Land verspracht, werden für mich zur Seite treten?
str_you_speak_of_unifying_calradia_you_may_indeed_humble_the_other_kings_of_this_land_and_in_that_case_i_would_hope_that_you_would_remember_me_as_your_faithful_servant|Ihr sprecht von der Einigung dieses Landes. Vielleicht stellt Ihr wahrlich die anderen Könige dieses Landes in den Schatten, und in diesem Falle würde ich hoffen, dass Ihr Euch an mich, Euren treuen Diener erinnert.
str_you_speak_of_unifying_calradia_but_you_are_weak_and_i_think_that_you_will_remain_weak|Ihr sprecht von der Einigung dieses Landes. Doch seid Ihr schwach, und ich denke, Ihr bleibt auch schwach.
