str_yes|Да.
; str_credits_8|Testers and contributions^^Kalarhan^Kraggrim^Hunta^Ragnarson^Takeda Shingen^YourStepDad^Nijis^Krisvk^Dowdpride^Arch3r^Kazzan^Rurin^Fredelios^Blivandefar^Cleric Johnson^AZAN^Mitchell^M^Ozan Celik^Reiksmarshal^Hrotha^^Very special thanks to the players and betatesters of the original Brytenwalda module for many years of valuable feedback, only a fraction of which we had time to implement.^^Marketing Assets^Miguel Egana Silva (KreativLandschaft)
; str_credits_10|TALEWORLDS ENTERTAINMENT^^Lead Programming^Cem Çimenbiçer^Şahin Serdar Koçdemir^^Programming^Mustafa Korkmaz^Gökhan Uras^Dündar Ünsal
; str_credits_11|Lead Artist^Özgür Saral^^Artists^Andaç Bingöl^Deniz Köklü^Fatma Nadide Öcba^Fırat Murat Çebi^Gökalp Doğan^Oğuz Tunceli^Sten Oom
; str_credits_12|TaleWorlds Management^^Founder/Chief Executive Officer^Armağan Yavuz^^Chief Operating Officer^Ali Erkin^^Producer/Business Development^Vishnu Vijayakumar^^PR/Community Manager^Frank Elliott
; str_credits_9|Live Action Video^^Daniel Renger^Martin Unglert^Josef Becker^Jan Jaegers^Markus Beck^Jurgen Bonisch^Chris Czichowsky^Florian Dosch^Michael Exner^Fryzel Hans-Jurgen^Alexandra Gorner^Alexander Gorner^Franz Hauser^Jenna Klein^Claudia Klingner^Marcus Langer^Hans Lendorf^Markus Mickel^Patrick Mouka^Corinna Oppitz^Sibylle Oppitz^Bernd Rohde^Volker Schlott^Benjamin Schuler^Michael Schuler^Rebekka Schuler^Julia Schuster^Alexander Seufert^Susan Sumer^Johannes Werth^Bernd Wolfsteiner^Sabine Wudy^Sebastian Wudy^Stefan Wudy^^Location^Geschichtspark Barnau^^Logotype^Jason Brown^^Cover Art^Piotr Fox Wysocki^^Layout^Christian Sabe^Melina Grundel^^Poster^Piotr Fox Wysocki^^Concept Art^Ganbat Badamkhand^^Manual Editing & Digital Wordsmithing^Ryan Newman^Nick Stewart^^Web^Martin Ericsson^^Marketing Assets^2Coats^^Localization^S&H Entertainment Localization
; str_multi_scene_1|Saxon Village
; str_multi_scene_2|Din Tagell
; str_multi_scene_3|Dun Taruo
; str_multi_scene_4|Hadrian's Wall
; str_multi_scene_5|Ad Candida Casam
; str_multi_scene_6|Hilltop Village
; str_multi_scene_7|Din Arth
; str_multi_scene_8|Duin Ollaigh
; str_multi_scene_9|Din Bych
; str_multi_scene_10|Roman Fort
; str_multi_scene_11|Into The Trees
; str_multi_scene_12|Crannog
; str_multi_scene_13|Saxon River Fort
; str_multi_scene_14|Seafarers
; str_multi_scene_15|Saxon Duelling Field
; str_multi_scene_16|Mynyw Fort
; str_multi_scene_17|Abbercurnig
; str_multi_scene_18|Rival Strongholds
; str_multi_scene_19|Broch
; str_multi_scene_inv_1|Hadrian's Wall
; str_multi_scene_inv_2|Saxon Fort
; str_multi_scene_inv_3|Din Bych
; str_multi_scene_inv_4|Mynyw Fort
; str_multi_scene_inv_5|Broch
; str_multi_scene_20|Random Plains
; str_multi_scene_21|Random Forest
; str_multi_scene_22|Random Snow
; str_multi_sea_1|Calm Sea
; str_multi_sea_2|Sea Storm
str_multi_coast_1|Нападение на порт
; str_multi_coast_2|Port Assault (Thunderstorm)
str_multi_scene_end|конец мульти-сцены
str_multi_game_type_1|Бой до смерти
str_multi_game_type_2|Командный бой до смерти
str_multi_game_type_3|Захват
str_multi_game_type_4|Осада
str_multi_game_type_5|Дуэль
; str_multi_game_type_6|Naval Battle
; str_multi_game_type_7|Thor's Champion
; str_multi_game_type_8|Viking Invasion
; str_multi_game_type_9|Warlords Battle
; str_multi_game_type_10|Raid
str_multi_game_types_end|конец типов мульти-игр
; str_multi_game_type_desc_1|^Every man for himself!^^Earn silver and glory with every kill.^^
; str_multi_game_type_desc_2|^Two teams; endless respawns.^^Earn silver and a point for your faction with every kill.^
; str_multi_game_type_desc_3|^Two teams; no respawn.^^Here you must focus on keeping you and your teammates alive as well as on personal kills.
; str_multi_game_type_desc_4|^One team starts fortified, defending their flag against the clock and the other team. Respawns are slowed for the defender.^
; str_multi_game_type_desc_5|^Find another player.^^Introduce yourself.^^Kill or be killed.^
; str_multi_game_type_desc_6|^This is Battle mode, only afloat!^^^^
; str_multi_game_type_desc_7|^Find and kill the Champion to gain Thor's favour!^^You only gain point for killing Thor's Champions and for killing other players while being the Champion.^^^
; str_multi_game_type_desc_8|^Team up with other players and defend against the hordes of enemies!^^^
; str_multi_game_type_desc_9|^This variant of Battle mode allows the player to purchase and lead armies of bots.^^
; str_multi_game_type_descs_end|^^^              Specials^^- Banner: inspires nearby teammates 10%^^- Priest: heals nearby teammates^^- Horn (Attack Button): heals AND inspires teammates, at a distance^^- Berserk (Key B): temporarily increases melee capabilities^^- Shield Taunt (RMB + Key Q): displays your disdain for the enemy^^
str_poll_kick_player_s1_by_s0|{s0} устраивает голосование, чтобы удалить игрока {s1}.
str_poll_ban_player_s1_by_s0|{s0} устраивает голосование, чтобы изгнать игрока {s1}.
str_poll_change_map_to_s1_by_s0|{s0} устраивает голосование, чтобы сменить карту на {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} устраивает голосование, чтобы сменить карту на {s1} и заменить фракции на {s2} и {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} устраивает голосование, чтобы изменить число ботов с {reg0} до {reg1}.
str_poll_kick_player|Удалить игрока {s0}: 1 = Да, 2 = Нет
str_poll_ban_player|Изгнать игрока {s0}: 1 = Да, 2 = Нет
str_poll_change_map|Сменить карту на {s0}: 1 = Да, 2 = Нет
str_poll_change_map_with_faction|Сменить карту на {s0} и фракции на {s1} и {s2}: 1 = Да, 2 = Нет
str_poll_change_number_of_bots|Изменить число ботов на {reg0} для фракции {s0} и {reg1} для фракции {s1}: 1 = Да, 2 = Нет
str_poll_time_left|(осталось {reg0} сек.)
str_poll_result_yes|Большинство проголосовало за.
str_poll_result_no|Большинство проголосовало против.
str_total_item_cost_reg0|стоимость: {reg0}
str_server_name|Имя сервера:
str_game_password|Пароль игры:
str_map|Карта:
str_game_type|Тип игры:
str_max_number_of_players|Максимум игроков:
str_number_of_bots_in_team_reg1|Число ботов в команде {reg1}:
str_team_reg1_faction|Фракция команды {reg1}:
str_enable_valve_anti_cheat|Античит Valve (требуется действующий аккаунт Steam)
str_allow_friendly_fire|Стрельба по своим
str_allow_melee_friendly_fire|Удары по своим
str_friendly_fire_damage_self_ratio|Урон по себе (%):
str_friendly_fire_damage_friend_ratio|Урон по своим (%):
str_spectator_camera|Камера зрителя:
str_control_block_direction|Указание управляющего блока:
str_map_time_limit|Ограничение по времени (в минутах):
str_round_time_limit|Ограничение раунда по времени (в секундах):
str_players_take_control_of_a_bot_after_death|Переключение на бота после смерти:
str_team_points_limit|Лимит командных очков:
str_point_gained_from_flags|Командные очки за флаги (%):
str_point_gained_from_capturing_flag|Очки за захват флагов:
str_respawn_period|Время возрождения (в секундах):
str_add_to_official_game_servers_list|В официальный список серверов
str_combat_speed|Скорость боя:
str_combat_speed_0|Минимальная
str_combat_speed_1|Низкая
str_combat_speed_2|Средняя
str_combat_speed_3|Высокая
str_combat_speed_4|Максимальная
str_off|Выкл.
str_on|Вкл.
str_defender_spawn_count_limit|Число возрождений защитников:
str_unlimited|Бесконечное
str_automatic|Автоматическое
str_by_mouse_movement|По движению мыши
str_free|Свободное
str_stick_to_any_player|Закреплено за игроком
str_stick_to_team_members|Закреплено за членами команды
str_stick_to_team_members_view|Закреплено за видом членов команды
str_make_factions_voteable|Сделать фракции объектами голосования
str_make_kick_voteable|Исключать игроков голосованием
str_make_ban_voteable|Закрывать доступ на сервер голосованием
str_bots_upper_limit_for_votes|Добавлять ботов голосованием:
str_make_maps_voteable|Менять карты голосованием
str_valid_vote_ratio|Необходимое количество голосов (%):
str_auto_team_balance_limit|Порог автобаланса команд (разница):
str_welcome_message|Приветственное сообщение:
; str_initial_gold_multiplier|Starting silver (%):
; str_battle_earnings_multiplier|Combat silver bonus (%):
; str_round_earnings_multiplier|Round silver bonus (%):
str_allow_player_banners|Разрешить личные флаги
str_force_default_armor|Обязать ношение брони
str_respawning_in_reg0_seconds|Появление через {reg0} сек...
str_no_more_respawns_remained_this_round|Жизни на этот раунд израсходованы
str_reg0_respawns_remained|(Осталось жизней: {reg0})
str_this_is_your_last_respawn|(Это ваша последняя жизнь)
str_wait_next_round|(Ждите следующего раунда)
str_yes_wo_dot|Да
str_no_wo_dot|Нет
str_we_resign|У нас не осталось сил для продолжения боя. Мы сдаемся на вашу милость, {playername}.
str_i_resign|Я не хочу умирать сегодня, я сдаюсь.
str_s1_returned_flag|{s1} - игроки вернули флаг на свою базу!
str_s1_auto_returned_flag|{s1} - флаг автоматически вернулся на базу!
str_s1_captured_flag|{s1} - игроки захватили чужой флаг!
str_s1_taken_flag|{s1} - игроки забрали чужой флаг!
str_s1_neutralized_flag_reg0|{s1} - игроки обезвредили флаг стороны {reg0}.
str_s1_captured_flag_reg0|{s1} - игроки захватили флаг стороны {reg0}!
str_s1_pulling_flag_reg0|{s1} - игроки начали перемещать флаг стороны {reg0}.
str_s1_destroyed_target_0|{s1} - игроки уничтожили цель 1!
str_s1_destroyed_target_1|{s1} - игроки уничтожили цель 2!
str_s1_destroyed_catapult|{s1} - игроки уничтожили катапульту!
str_s1_destroyed_trebuchet|{s1} - игроки уничтожили требушет!
str_s1_destroyed_all_targets|{s1} - игроки уничтожили все цели!
str_s1_saved_1_target|{s1} - игроки сберегли одну цель.
str_s1_saved_2_targets|{s1} - игроки сберегли все цели.
str_s1_defended_castle|{s1} - игроки защитили свой замок!
str_s1_captured_castle|{s1} - игроки захватили замок!
str_auto_team_balance_in_20_seconds|Автобаланс: будет выполнен за 20 секунд.
str_auto_team_balance_next_round|Автобаланс: будет выполнен в следующем раунде.
str_auto_team_balance_done|Команды автоматически сбалансированы.
; str_s1_won_round|The {s1} team has won the round!
str_round_draw|Время вышло. Раунд завершился ничьей.
str_round_draw_no_one_remained|Все погибли. Раунд завершился ничьей.
str_death_mode_started|Не мешкайте! Захватите поле боя!
str_reset_to_default|К настройкам по умолчанию
str_player_name|Имя игрока
str_kills|Жертв
str_deaths|Смертей
str_ping|Пинг
str_dead|Труп
str_reg0_dead|Трупы: {reg0}
str_bots_reg0_agents|Боты: {reg0}
str_bot_1_agent|Бот
str_score_reg0|Счет: {reg0}
str_flags_reg0|(Флаги: {reg0})
str_reg0_players|(Игроки: {reg0})
str_reg0_player|(Игрок {reg0})
str_open_gate|Открыть ворота
str_close_gate|Закрыть ворота
str_open_door|Открыть дверь
str_close_door|Закрыть дверь
str_raise_ladder|Поднять лестницу
str_drop_ladder|Опустить лестницу
str_cancel|Отмена
; str_continue|Continue
str_done|Готово
str_back|Назад
str_start_map|Запуск карты
str_choose_an_option|Выберите настройку:
str_choose_a_poll_type|Выберите тип голосования:
str_choose_faction|Выбор фракции
str_choose_a_faction|Выберите фракцию:
str_choose_troop|Выбор класса войск
str_choose_a_troop|Выберите класс войск:
str_choose_items|Выбор снаряжения
str_options|Настройки
str_redefine_keys|Изменение управления
str_submit_a_poll|Создание голосования
str_administrator_panel|Панель администратора
str_kick_player|Удаление игрока
str_ban_player|Изгнание игрока
str_mute_player|Лишение голоса
str_unmute_player|Наделение голосом
str_quit|Выход
str_poll_for_changing_the_map|Другая карта
str_poll_for_changing_the_map_and_factions|Другая карта и фракции
str_poll_for_changing_number_of_bots|Другое число ботов в командах
str_poll_for_kicking_a_player|Удаление игрока
str_poll_for_banning_a_player|Изгнание игрока
str_choose_a_player|Выберите игрока:
str_choose_a_map|Выберите карту:
str_choose_a_faction_for_team_reg0|Выберите фракцию для команды {reg0}:
str_choose_number_of_bots_for_team_reg0|Выберите число ботов для команды {reg0}:
str_spectator|Зритель
str_spectators|Зрители
str_score|Счет
str_command|Команда:
str_profile_banner_selection_text|Выберите флаг из своего профиля:
str_use_default_banner|Использовать флаг фракции
str_party_morale_is_low|Боевой дух некоторых бойцов упал!
; str_weekly_report|Report
str_has_deserted_the_party|покидает группу.
str_have_deserted_the_party|покидают группу.
str_space| 
str_us_|Мы
str_allies_|Союзники
str_enemies_|Враги
str_routed|Сбежало
str_weekly_budget|Еженедельный бюджет
str_income_from_s0|Доход от {s0}:
; str_mercenary_payment_from_s0|Mercenary payment from the {s0}:
str_s0s_party|{s0} и компания
str_loss_due_to_tax_inefficiency|Потери из-за неэффективного сбора налогов:
str_wages_for_s0|{s0} получают:
str_earlier_debts|Прошлые долги:
str_net_change|Изменение доходов:
str_earlier_wealth|Капитал раньше:
str_new_wealth|Капитал сейчас:
str_new_debts|Новые долги:
; str_team_reg0_bot_count_is_reg1|Team {reg0} bot count is {reg1}.
str_maximum_seconds_for_round_is_reg0|Максимум секунд на раунд: {reg0}.
str_respawn_period_is_reg0_seconds|Период возрождения в секундах: {reg0}.
str_bots_upper_limit_for_votes_is_reg0|Верхний предел ботов для голосования: {reg0}.
str_map_is_voteable|За карту можно голосовать.
str_map_is_not_voteable|За карту нельзя голосовать.
str_factions_are_voteable|За фракции можно голосовать.
str_factions_are_not_voteable|За фракции нельзя голосовать.
str_players_respawn_as_bot|Игроки возрождаются в телах ботов.
str_players_do_not_respawn_as_bot|Игроки не возрождаются в телах ботов.
str_kicking_a_player_is_voteable|Игроков можно удалять голосованием.
str_kicking_a_player_is_not_voteable|Игроков нельзя удалять голосованием.
str_banning_a_player_is_voteable|Игроков можно блокировать голосованием.
str_banning_a_player_is_not_voteable|Игроков нельзя блокировать голосованием.
str_player_banners_are_allowed|Игроки могут использовать свои флаги.
str_player_banners_are_not_allowed|Игроки не могут использовать свои флаги.
str_default_armor_is_forced|Обязать ношение брони.
str_default_armor_is_not_forced|Ношение брони не обязательно.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Процент голосов для успешного голосования: {reg0}%.
str_auto_team_balance_threshold_is_reg0|Порог автобаланса команд: {reg0}.
; str_starting_gold_ratio_is_reg0|Starting silver ratio is {reg0}%.
; str_combat_gold_bonus_ratio_is_reg0|Combat silver bonus ratio is {reg0}%.
; str_round_gold_bonus_ratio_is_reg0|Round silver bonus ratio is {reg0}%.
str_point_gained_from_flags_is_reg0|Командные очки за флаги: {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Командные очки за захват флагов: {reg0}%.
str_map_time_limit_is_reg0|Предел времени игры на карте (в минутах): {reg0}.
str_team_points_limit_is_reg0|Предел командных очков: {reg0}.
str_defender_spawn_count_limit_is_s1|Число возрождений защитников: {s1}.
str_system_error|ОШИБКА СИСТЕМЫ!
str_prisoner_granted_parole|Пленника принимают как гостя
str_prisoner_not_offered_parole|Пленника не принимают как гостя
; str__age_reg1|^Age: {reg1}
str__family_|^Семья:
str_s49_s12_s11_end|{s49} {s12} ({s11})
str_s49_s12_s11_rel_reg0|{s49} {s12} ({s11}), rel: {reg0}),
str_s49_s12_s11|{s49} {s12} ({s11}),
; str_lord_info_string|{reg6?:{reg4?{s54} is the ruler of the {s56}.^:{s54} is a vassal of {s55} of the {s56}.^}}Renown: {reg5}. Controversy: {reg15}.^Religion: {s29}^{reg9?{reg3?She:He} is the {reg3?lady:lord} of {s58}.:{reg3?She:He} has no fiefs.}{s59}^{s49}^Relation: {reg0}
str_foreign_relations__|Внешние отношения: ^
; str_s21__the_s5_is_at_war_with_the_s14|{s21}^^* At war with the {s14}.
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21} {s5} одерживает верх в бою.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21} {s5} терпит поражение в бою.
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21} Сражения стихли, вскоре война может завершиться перемирием.
str_s21_the_fighting_has_begun_relatively_recently_and_the_war_may_continue_for_some_time|{s21} Бои начались не столь давно, война еще только разгорается.
str__however_the_truce_is_no_longer_binding_on_the_s14|Впрочем, перемирие более не связывает {s14}
; str_s21__the_s5_is_bound_by_truce_not_to_attack_the_s14s18_the_truce_will_expire_in_reg1_days|{s21}^^* Bound by truce not to attack the {s14}.{s18} The truce will expire in {reg1} days.
; str_s21__the_s5_is_bound_by_alliance_not_to_attack_the_s14s18_the_alliance_will_expire_in_reg1_days|{s21}^^* The {s5} has an alliance with {s14}.{s18} The alliance will expire in {reg1} days.
; str_alliance_durantion_days_expire|{s21}^^* The {s5} has formalized an alliance with the {s14}.{s18} The alliance will expire in {reg1} days.
; str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21}^^* The {s14} was recently provoked by subjects of the {s5}, and there is a risk of war.^
; str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|The {s5} is ruled by {s6}.^^It occupies:^{s8}.^^Its vassals are:^{s10}.^^{s21}
; str_reg4_killed_reg5_wounded_reg6_routed|{reg4} killed or seriously wounded, {reg5} minor wounded, {reg6} routed
; str_reg4_killed_reg5_routed|{reg4} killed or seriously wounded, {reg5} routed
; str_reg4_killed_reg5_wounded|{reg4} killed or seriously wounded, {reg5} minor wounded
; str_reg4_wounded_reg5_routed|{reg4} minor wounded, {reg5} routed
str_s4_awarded_to_s5|{s4} переходит {s5}
str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|Расчет похода для {s4}, сила {reg3} против {reg4} у врагов
str_current_wealth_reg1_taxes_last_collected_from_s4|Текущее богатство: {reg1}. Последние налоги собраны с {s4}.
str_no_relation|нет семейных уз
str_wife|жена
str_husband|муж
str_father|отец
str_mother|мать
str_daughter|дочь
str_son|сын
str_sister|сестра
str_brother|брат
str_niece|племянница
str_nephew|племянник
str_aunt|тетя
str_uncle|дядя
str_cousin|двоюродная родня
str_daughterinlaw|невестка
str_soninlaw|зять
str_motherinlaw|свекровь
str_fatherinlaw|свекор
str_sisterinlaw|свояченица
str_brotherinlaw|шурин
str_print_party_members_entered|распечатать введенных членов группы
str_num_companion_stacks_=_reg10|num companion stacks = {reg10}
str_someone|некто
; str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|I take what work I can, {reg59?madame:sir}. I carry water, or help the merchants with their loads, or help build things, if there are things to be built.
; str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|I'm not doing anything, {reg59?madame:sir}. There's no work to be had around here these days.
; str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|I'm not doing anything, {reg59?madame:sir}. I have no land of my own, and there's no work to be had around here these days.
; str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|Why, I'm still living off of your kindness and goodness, {reg59?madame:sir}. Hopefully there will be work, shortly.
str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|Я работаю на полях, сразу за стенами - там хлеб растят. Но своего зерна нам никогда не хватает - приходится привозить его из соседних деревень.
str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|Я обычно работаю в поле, зерно сею. В городе его мелют и делают хлеб и эль, а мы еще и кашу из него, понятное дело, варим.
; str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|I work in the breweries, making ale. The poor folk drink a lot of it, as it's cheaper than mead. We make it with grain brought in from the countryside.
str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|Я на мельнице работаю - муку молю для хлеба. Хлеб дешевый, хранится неплохо и брюхо наполняет только так.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|Я скотом занимаюсь: мы вялим и солим мясо, а шкуры отправляем в город - там их обрабатывают. Еще мы сыр из молока делаем.
str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|Я скотом занимаюсь: мы вялим и солим мясо, а шкуры отправляем в город - там их обрабатывают. Еще мы сыр из молока делаем.
str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|Я держу овец. Мы отправляем шерсть в город - там ее прядут и ткут. А часть баранов забиваем на мясо: делаем из них колбасу и все такое.
str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|Я тку шерстяные ткани. Дешевле шерстяной одежды ничего не найдешь, а она ведь самая теплая!
str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|У меня есть лодка, и мы занимаемся рыболовством. Мы солим и коптим рыбу, а потом отправляем ее в далекие края.
str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|Я добываю соль с отмели. Соль - она всем нужна, кроме того, без нее ни мясо, ни рыбу не сохранишь.
str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|Я добываю железо из жилы в соседних холмах. Без железа ни инструментов, ни оружия, ничего не сделаешь.
str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|Я делаю горшки - в них можно хранить зерно и держать воду.
; str_trade_explanation_tools|I work in a smithy, {reg59?madame:sir}, making all sorts of ironware -- knives, axes, pots, plough-blades, scythes, hammers, anvils, tongs, adzes, saws, nails, horseshoes, firesteel, braziers, and of course arms and armor for your excellencies.
; str_trade_explanation_tar|I work in a tar kiln, producing tar from pine wood brought in from the countryside. If you can afford it, our tar has a hundred uses – to waterproof sails and boats or to protect leather.
; str_trade_explanation_linen|I weave linen, using flax brought in from the surrounding countryside. It's makes a tough, light fabric, {reg59?madame:sir} -- good for summer clothing, sails for boats, and the like.
; str_trade_explanation_silver|I work in one of this town's silver smithies, carefully making the jewelry for which we are known. We use the precious metal brought from the German silver mines of the Harz Mountains, to make of it the finest and most expensive ornaments that can be found in the land.
; str_trade_explanation_mead|I work in a mead factory, collecting honey from the beehives to put into barrels. I mix it with pure water, for fermenting. Mead is cheaper than wine and more renowned than beer. No feast can be held without it.
; str_trade_explanation_apples|I'm just coming in from the orchards, where we grow apples. We dry them for storage, or it can also be made into cider or vinegar.
; str_trade_explanation_barley|I work in the barley fields, growing corn to feed the cattle and to make ale to quench the thirst of the commons.
; str_trade_explanation_ivory|I sail to the far north to hunt walrus on the remote beaches of the icy land beyond the ocean. These marine beast have two prominent tusks of fine ivory. Back home, carvers make a lot of precious objects with this hard, expensive and pure white material.
; str_trade_explanation_leatherwork|I work in the tanneries outside the walls, turning cured hides from the countryside into good, supple leather. It's foul work, and I come home stinking of urine, dung, and lime -- but that's where your boots, saddles, and bridles come from, {reg59?my lady:sir}.
; str_trade_explanation_flax|I sew and harvest linseed, and rot the stems to make flax fibers. That's the source of your fine linens, {reg59?my lady:sir} -- a rotting pit on the edge of a field.
; str_trade_explanation_soapstone|I work in a quarry of soapstone. This stone can be hewed directly from the rock face and shaped to be sold here and abroad. Soapstone is relatively soft and can be easily carved, so it’s used for sculpture or bowls.
; str_trade_explanation_venison|I hunt deer in the forest and work in a smokehouse, in which I smoke meat to preserve it for long periods. During the cold season, and even in summer, venison is the finest meal you can eat.
; str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14} I hear that you can find a good price for it in {s15}.
str_s2s_rebellion|Восстание {s2}
str_political_suggestion|Политическое предложение
str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|Рост напряженности: {reg0}% лордов выражают недовольство, {reg1}% неспокойны
; str_reg1shehe_is_prisoner_of_s1|{reg1?She:He} is prisoner of the {s1}.
str_s39_rival|{s39} (соперник)
str_s41_s39_rival|{s41}, {s39} (соперник)
; str_reputation_only_martial_|As far as you know, his personality seems to be Martial^
; str_reputation_only_debauched_|As far as you know, his personality seems to be Debauched^
; str_reputation_only_pitiless_|As far as you know, his personality seems to be Pitiless^
; str_reputation_only_calculating_|As far as you know, his personality seems to be Calculating^
; str_reputation_only_quarrelsome_|As far as you know, his personality seems to be Quarrelsome^
; str_reputation_only_goodnatured_|As far as you know, his personality seems to be Good-natured^
; str_reputation_only_upstanding_|As far as you know, his personality seems to be Upstanding^
; str_reputation_only_conventional_|As far as you know, his personality seems to be Conventional^
; str_reputation_only_adventurous_|As far as you know, his personality seems to be Adventurous^
; str_reputation_only_romantic_|As far as you know, his personality seems to be Romantic^
; str_reputation_only_moralist_|As far as you know, his personality seems to be Moralist^
; str_reputation_only_ambitious_|As far as you know, his personality seems to be Ambitious^
str_love_interest|любовный интерес
str_betrothed|помолвка
str_other_relations_s40_|Другие отношения: {s40}^
str_relation_with_liege_reg0_|Отношения с сюзереном: {reg0}^
str_sense_of_security_military_reg1_court_position_reg3_|Уверенность в собственной безопасности: военной - {reg1}, при дворе - {reg3}^
str_political_details_s47_|Детали политики:^{s47}^
str_the_s55|{s55}
str_travellers_on_the_road|путников на дороге
str_a_short_while_ago|некоторое время назад
str_one_day_ago|один день назад
str_two_days_day_ago|два дня назад
str_earlier_this_week|на этой неделе
str_about_a_week_ago|с неделю назад
str_about_two_weeks_ago|недели две назад
str_several_weeks_ago|несколько недель назад
str_unknown_assailants|неизвестные нападающие
; str_swadians|Britons
; str_vaegirs|Vikings
; str_khergits|Saxons
; str_nords|Angles
; str_rhodoks|Goidels
; str_sarranids|Picts
str_bandits|разбойники
str_deserters|дезертиры
str_your_followers|ваши последователи
str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|До нас дошли слухи, что путники, направлявшиеся в {s40}, были атакованы на дороге у {s46} {s39}
str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|До нас дошли слухи, что путники, направлявшиеся из {s40}, были атакованы на дороге у {s46} {s39}
str_travellers_coming_from_s40_traded_here_s46|Путники из {s40} продавали здесь {s46}
str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|Караванный сезон только начинается, так что торговать пока что почти нечем.{s42}
str_there_has_been_very_little_trading_activity_here_recentlys42|В последнее время торговля тут почти заглохла.{s42}
str_there_has_some_trading_activity_here_recently_but_not_enoughs42|В последнее время тут торговали, но очень неактивно.{s42}
str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|В последнее время тут торговали, но дороги сейчас очень опасны.{s42}
str_the_roads_around_here_are_very_dangerouss42|Дороги здесь очень опасны.{s42}
str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|В этом городе собирается множество торговцев, хотя дороги тут небезопасны.{s42}
str_we_have_received_many_traders_in_town_heres42|В этом городе собирается очень много торговцев.{s42}
str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|О караванных путях у городов {s44} и в соседних районах нет никаких особенных новостей. Впрочем, их отсутствие - это уже хорошо. Будем считать, что там сравнительно безопасно.
str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|{s47} Таким образом, дороги к деревням {s44} и другим лежащим на отшибе деревушкам сравнительно безопасны.
str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|Тем не менее, дороги к деревням {s44} и другим лежащим на отшибе деревушкам сравнительно безопасны.
str_we_have_shortages_of|Нам не хватает следующих товаров:
str_we_have_adequate_stores_of_all_commodities|У нас всех товаров в достатке
str_s33_and_some_other_commodities|{s33} и некоторых других товаров
