; qstr_Breaking_camp...|Breaking camp...
qstr_{s9}_and_{s10}|{s9} e {s10}
qstr_{s12}{s14}|{s12} {s14}
qstr_{s12}_{s14}|{s12}, {s14}
qstr_{s11}{s14}|{s11} {s14}
qstr_{s11}_{s14}|{s11}, {s14}
qstr_{s13}{s14}|{s13} {s14}
qstr_{s13}_{s14}|{s13}, {s14}
qstr_{s21}._The_{s8}_decl|{s21}.  {s8} declarou guerra para cumprir uma aliança.
qstr_No_wars!|Sem guerras!
qstr_At_war_with__{reg1}_|Em guerra com ({reg1}): {s12}
qstr_No_allies!|Sem aliados!
qstr_Alliances__{reg2}___|Alianças ({reg2}): {s11}
qstr_No_casus_belli!|Nenhum casus belli!
qstr_Casus_belli____{reg3|Casus belli ({reg3}): {s13}
qstr_{s12}^{s11}^{s13}^^{|{s12} ^ {s11} ^ {s13} ^^ {s21}
qstr_^___________________|^-------------------------------------------------------------------------------^{s1}^{s21}
qstr_The_{s5}_has_been_de| {s5} foi derrotado!
qstr_{s7}_opened_the_gate|{s7} abriu o portão.
qstr_{s7}_closed_the_gate|{s7} fechou o portão.
qstr_You_have_received_{r|Você recebeu {reg5} de dano crítico!
qstr_You_have_dealt_{reg5|Você causou {reg5} de dano crítico!
qstr_You_have_received_{re|Você recebeu {reg5} de dano crítico na cabeça e perdeu sua visão por um segundo!
qstr_You_unleash_your_bat|Você libera sua fúria de batalha!
qstr_You_feel_exhausted_a|Você sente-se exausto após a fúria.
qstr_Your_strength_is_bac|Sua força está de volta.
qstr_You_are_too_exhauste|Você está exausto demais para entrar em fúria de batalha.
qstr_The_sound_of_your_si|O som da corneta do seu lado te faz se sentir mais forte!
qstr_The_sound_of_the_ene|O som da corneta inimiga te faz se sentir duvidoso.
qstr_You_are_no_longer_af|Você já não é afetado por ter ouvido a corneta.
qstr_{reg1}_ally_troops_w|{reg1} tropas aliadas foram afetadas pela sua corneta!
qstr_No_ally_troops_were_|Nenhuma tropa aliado foi afetada pela sua corneta.
qstr_You_need_to_catch_yo|Você precisa recuperar o fôlego antes de soprar a corneta novamente.
qstr_Your_supplies_are_re|Seus suprimentos são reabastecidos.
qstr_All_stray_horses_wer|Todos os cavalos dispersos foram mortos por um admin
qstr_AI_warriors_were_sla|Guerreiros de IA foram mortos por um admin
qstr_All_players_were_sla|Todos os jogadores foram mortos por um admin
qstr_Player__{s1}__was_sl|Jogador '{s1}' foi morto por um administrador
qstr_Admin_made_all_playe|Admin tornou todos os jogadores imortais
qstr_Admin_made_all_player|Admin tornou todos os jogadores mortais
qstr_All_players_were_hea|Todos os jogadores foram curados por um admin
qstr_Admin_refilled_ammo_|Admin recarregou munição de todos os jogadores
qstr_Admin_fixed_shields_|Admin reparou escudos de todos os jogadores
qstr_Player__{s1}__was_he|Jogador '{s1}' foi curado por um administrador
qstr_Admin_refilled_ammo_o|Admin recarregou munição do jogador '{s1}'
qstr_Admin_fixed_shield_o|Admin reparou escudo do jogador '{s1}'
qstr_Admin_made_player__{|Admin tornou jogador '{s1}' {reg1? im:} mortal
qstr_Teams_have_been_swit|Equipes foram trocadas por um admin
qstr_Player__{s1}__was_sw|Jogador '{s1}' foi mudado para outra equipe por um admin
qstr_All_players_were_tur|Todos os jogadores foram transformados em espectadores por um admin
qstr_Player__{s1}__was_tu|Jogador '{s1}' foi transformado em espectador por um administrador
qstr_{s1}_received_a_Thor|{s1} recebeu um Martelo de Thor de um administrador
qstr_*ADMIN_CHAT*_[{s1}]:|* ADMIN * CHAT [{s1}]: {s0}
qstr_Grants_+{reg1}_to_pa|Concede + {reg1} para a moral da tropa
qstr_Increases_morale_dur|Aumenta a moral durante a batalha
qstr_Heavy_Armour:_you_su|Armadura Pesada: você sofre penalidades altas para certas Habilidades.
qstr_Medium_Armour:_you_s|Armadura Média: você sofre penalidades para certas Habilidades.
qstr_Heavy_Equipment:_you|Equipamento Pesado: você sofre penalidades para certas Habilidades.
qstr_Ritual_Equipment:_Ad|Equipamentos de Ritual: Vantagens em certas Habilidades
qstr_Improves_leadership_|Melhora  Liderança e Persuasão.
qstr_Requires_{reg1}_inte|Precisa de {reg1} pontos de Inteligência para ler
qstr_Reading_Progress:_{r|Progresso da Leitura: {reg1}%
qstr_wound_treatment|Tratamento de Feridas
qstr_trainer|treinador
qstr_surgery|cirurgia
qstr_persuasion|Persuasão
qstr_Gives_+1_to_{s1}_whi|Dá +1 de {s1} enquanto no inventário
qstr_Special_Attire:_Bonu|Trajes Especiais: Bônus em certas Habilidades
qstr_Bonus_to_movement_sp|Bônus em Velocidade de Movimento
qstr_Move_here|Mover aqui
qstr_View_notes|Ver notas
qstr_Accompany|Acompanhar
qstr_Find_landing_point|Encontrar ponto de desembarque
qstr_killed|mortos
qstr_wounded|feridos
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^{s0}|^ {s0}
qstr_nothing|nada
qstr_{reg0}_village{reg1?|{reg0} vlia{reg1?s:}
qstr_{reg0}_fort{reg1?s:}|{reg0} Fortaleza {reg1? s:}
qstr_{reg0}_fort{reg1?s:}_| {reg0} fortaleza {reg1? s:} e {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} cidade{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} cidade{reg1?s:} e {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} cidade{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Seus oponentes estão prontos para a luta.
qstr_Try_to_destroy_as_ma|Tente destruir o máximo de alvos que puder. Você tem 2 minutos e meio para limpar a pista
qstr_Stay_behind_the_line|Fique atrás da linha no chão e atire nos alvos. Tente não errar.
; qstr_trying_quest_{reg1}|trying quest {reg1}
; qstr_Garrison_Troops|Garrison Troops
; qstr_Camp_Troops|Camp Troops
; qstr_Refuge_Troops|Refuge Troops
; qstr_Even_though_nearby_{|Even though nearby, {s1} does not come to your aid.
qstr_Battle_Advantage_=_{|Vantagem de Batalha = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} quer que você continue seguindo o exército dele até segunda ordem.
qstr__Being_Raided_|(Sendo Devastada)
qstr__Looted_|(Pilhada)
qstr__Under_Siege_|(Sob Cerco)
qstr_The_village_of_{s1}_|A vila de {s1} foi pilhada por {s2}.
qstr_{s3}_is_no_longer_un|{s3} não está mais sob cerco.
qstr_Small_bands_of_enemi|Pequenos grupos de inimigos foram vistos perto de {s1}.
qstr_Enemy_patrols_have_b|Patrulhas inimigas foram vistas perto de {s1}.
qstr_A_medium_sized_group|Um grupo médio de inimigos foi visto perto de {s1}.
qstr_A_significant_group_|Um grupo significativo de inimigos foi visto perto de {s1}.
qstr_An_army_of_enemies_h|Um exército de inimigos foi visto perto de {s1}.
qstr_A_large_army_of_enem|Um grande exército de inimigos foi visto perto de {s1}.
qstr_A_great_host_of_enem|Uma grande tropa de inimigos foi vista perto de {s1}.
qstr_{s1}_has_been_besieg|{s1} foi sitiada por {s2} de {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
; qstr_Feast_concludes|Feast concludes
qstr_{s1}_is_the_new_mars|{s1} é o novo Marechal de {s2}.
qstr_You_gain_{reg12}_ren|Você ganha {reg12} de Renome.
qstr_You_lose_{reg12}_ren|Você perdeu {reg12} pontos de renome.
qstr_Your_relation_with_{|Sua relação com {s1} melhorou.
qstr_Your_relation_with_{s|Sua relação com {s1} deteriorou-se.
; qstr_You_have_angered_the|You have angered them.
; qstr_You_have_appeased_th|You have appeased them.
qstr_You_gain_reputation.|Você ganha Reputação.
qstr_You_lose_reputation.|Você perde Reputação.
qstr_Now_your_reputation_|Agora sua Reputação é {reg1}
qstr_The_{s1}_has_declare|{s1 } declarou guerra contra {s2}.
qstr_The_{s15}_complies_w|{s15} cumpre com sua aliança com {s17 } atacando {s16}.
qstr_The_{s1}_and_the_{s2|{s1} e {s2} fizeram paz entre si.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3? esteve: está atualmente} em {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3? esteve: está} viajando para {s3,} e {reg4?ela:ele} {reg3?esteve:deve estar} perto de {s4} {reg3?: no momento}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3? esteve:está} no campo, e {reg4?ele:ela} {reg3? esteve: deve estar} perto de {s3} {reg3?: no momento}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3? esteve:está} mantido em cativeiro em {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?estava:foi} levado em cativeiro por {reg4? seus:seus} inimigos.
qstr_I_don_t_know_where_{|Eu não sei onde {s2} {reg3? esteve: está}.
qstr_{s2}_is_attacking_th|{s2} está atacando os Saxões.
qstr_{s2}_is_defending_th|{s2} está defendendo o Reino dos filhos de Ragnar.
qstr_You_now_owe_{reg2}_p|Você agora deve {reg2} peningas a {S1}.
qstr_Royal_guardian|Guardião Real
qstr_You_stand_to_gain_{r|Você ganhará {reg8} de Renome se vencer esta batalha.
qstr_You_have_run_into_a_|Você caiu em uma armadilha!
qstr_You_are_attacked_by_|Você é atacado por um grupo de bandidos!
qstr_Following|Seguindo
qstr_Holding|Segurando-se
qstr_Charging|Atacando
qstr_Advancing|Avançando
qstr_Falling_Back|Recuando
qstr_Standing_Closer|Aproximando-se
qstr_Spreading_Out|Espalhando-se
qstr_Standing|Permanecendo
qstr_Retreating|Retirando-se
qstr_N/A|N/A
qstr_Free|Livre
qstr_Any_Weapon|Qualquer Arma
qstr_Blunt_Weapons|Armas Sem Corte
qstr_Given_by:_{s62}|Dada por: {s62}
qstr_Given_on:_{s60}|Dada em: {s60}
qstr_This_quest_has_been_|Esta missão foi concluída. Dê a {s59} a notícia.
qstr_This_quest_has_been_c|Esta missão foi concluída.
qstr_This_quest_has_been_s|Esta missão foi concluída com êxito. Fale com {s59}.
qstr_This_quest_has_been_su|Esta missão foi concluída com êxito.
qstr_This_quest_has_faile|Esta missão falhou. Fale com {s59} para explicar a situação.
qstr_This_quest_has_failed|Esta missão falhou.
qstr_At_the_time_quest_wa|Na época a busca foi dada: ^ {s1}
qstr_The_{s5}_has_a_stren|{s5} tem uma força de {reg1} homens no total.
qstr_According_to_the_las|De acordo com a última vez que {reg1?a:o} viu , {s1}
qstr_According_to_the_last|De acordo com a última vez que você ouviu falar sobre {reg1? ela: ele}, {s1}
qstr_The_current_garrison|A guarnição atual consiste de {reg5} homens. ^ Deve ter estoques de comida para {reg6} dias.
qstr_Very_Poor|Muito Pobre
qstr_Poor|Pobre
qstr_Average|Média
qstr_Rich|Rica
qstr_Very_Rich|Muito Rica
; qstr_Mead_Hall|Mead Hall
qstr_A_manor_lets_you_res|Um solar permite que você descanse na Vila e pague metade do salário a suas tropas enquanto você descansa.
qstr_Mill|Moinho
qstr_A_mill_increases_vil|Um moinho aumenta a prosperidade da Vila em 5%.
qstr_Watchtower|Torre de Vigia
qstr_A_watchtower_lets_th|Uma torre de vigia permite que os camponeses soem o alarme mais cedo. O tempo que leva para os inimigos pilharem a Vila aumenta em 50%.
qstr_School|Escola
qstr_A_school_increases_t|Uma escola aumenta a lealdade dos camponeses em +1 a cada mês.
qstr_Messenger_Post|Posto de Mensageiro
qstr_A_messenger_post_let|Um posto de mensageiro permite que os habitantes lhe enviem uma mensagem sempre que os inimigos estiverem por perto, mesmo se você estiver longe.
qstr_Prison_Tower|Torre de Prisão
qstr_A_prison_tower_reduc|Uma torre de prisão reduz a chance de cativos aqui fugirem. Ela inclui um torturador.
qstr_Christian_Monastery|Mosteiro Cristão
qstr_A_monastery_promotes|Um mosteiro promove o Cristianismo.
qstr_Temple_to_god_Odin|Templo ao Deus Odin
qstr_A_temple_promotes_pa|Um templo promove práticas pagãs.
qstr_Christian_Church|Igreja Cristã
qstr_A_church_promotes_Ch|Uma igreja promove o Cristianismo.
qstr_Shrine_to_Norse_Gods|Santuário de Divindades Nórdicas
qstr_A_shrine_promotes_pa|Um santuário promove práticas pagãs.
qstr_Blacksmith|Ferreiro
qstr_A_blacksmith_manufac|Um ferreiro fabrica e vende ferramentas e armas.
qstr_Merchants__Rest_Hall|Salão de Descanso dos Mercadores
qstr_A_rest_hall_supports|Um salão de descanso apoia a comunidade mercante, adicionando prosperidade.
qstr_Scriptorium|Scriptorium
qstr_A_scriptorium_increa|Um scriptorium aumenta seu Renome como patrono do conhecimento.
qstr_Slave_Market|Mercado de Escravos
qstr_A_slave_market_incre|Um mercado de escravos aumenta a prosperidade e as tarifas portuárias da cidade, mas reduz a sua reputação.
qstr_Brewery|Cervejaria
qstr_A_brewery_increases_|Uma cervejaria aumenta a prosperidade e lealdade da Fortaleza.
qstr_The_prosperity_of_{s|A prosperidade de {s2} foi alterada de {s3} para {s4}.
qstr_{s4}_looks_upset.|{s4} parece chateado.
qstr_your_party|suas tropas
qstr_{reg0?One_of_your_pr|{reg0? Um de seus prisioneiros, :} {s1} de {s3} escapou do cativeiro!
qstr_You_have_delivered_{|Você entregou {reg3} cabeças de gado a {s1}.
qstr_I_hear_that_there_wi|Ouvi dizer que haverá um torneio em {s62} em breve.
qstr_I_heard_that_one_can|Ouvi dizer que se pode comprar {s62} muito barato, em {s63}.
qstr_I_heard_that_they_pa|Ouvi dizer que pagam um preço muito alto por {s62} em {s63}.
qstr_I_heard_that_the_Dan|Ouvi dizer que os Danish prometem conquistar Seaxe Ocidental antes da próxima primavera.
qstr_Currently_the_most_r|Atualmente, a mais solicitada canção que os bardos performam é aquela do Rei Cadwallon de Gwynedd e Rei Penda de Mierce invadindo Northhymbre e penetrando profundamente no coração do antigo Reino de Deira. Lá, Rei Eadwine reuniu seus guerreiros e se dirigiu ao sul para encontrá-los em batalha. Os dois exércitos se encontraram em Haedfeldland e travaram a mais sangrenta e mais brutal batalha daquele tempo. Talvez ela seja popular por causa da recente invasão.
qstr_I_heard_the_Pope_in_|Ouvi dizer que o Papa em Roma enviou missionários para converter os Danish!
qstr_Ragnar_s_sons_are_th|Filhos de Ragnar são os homens mais perigosos do mundo. Ouvi dizer que eles são implacáveis, e ninguém se atreve a enfrentá-los.
qstr_I_think_the_wife_of_|Acho que a mulher de meu amigo está o traindo com um bardo.
qstr_I_hate_bandits!_Some|Eu odeio bandidos! Alguém deveria matar todos eles.
qstr_I_would_like_to_know|Eu gostaria de saber sobre os tempos Romanos.
qstr_Many_of_the_nobles_o|Muitos dos nobres de Englaland estão muito impressionados com a jovem princesa Hild. Ela é tão linda. Uma pena ela ter inclinações religiosas!
qstr_A_traveller_told_me_|Um viajante me contou que os Franks estão recrutando homens para atacar os Frisians.
qstr_The_Danish_have_brou|Os Danish têm trazido todos os tipos de estrangeiros com eles. É como se o mundo inteiro viesse à velha Englaland.
qstr_West_Seaxe_was_never|Seaxe Ocidental nunca foi tão poderosa como agora. É lógico que seu Rei seja considerado Brytenwalda.
qstr_I_wish_the_world_wer|Queria que o mundo fosse menos perigoso. Poucos homens envelhecem.
qstr_I_ve_been_told_the_a|Me contaram que o exército de Ui Neill mantém rigoroso treinamento e disciplina. Por essa razão, eles são os mais poderosos em Hibernia!
qstr_two_days_ago|dois dias atrás
qstr_{s24}_increased_reno|{s24} Renome aumentado por participar do banquete em {s25}
qstr_You_asked_me_to_come|Você me pediu para vir e encontrá-lo aqui em {s33}. Então, aqui estou eu, esperando você aparecer.
qstr_You_asked_me_to_come_|Você me pediu para vir e patrulhar próximo a {s33}. Então, aqui estou eu, à procura de inimigos.
qstr_Marshal_has_chosen_{|Marechal foi escolhido {s13} para coletar tropas.
qstr_Marshal_Levying_Troo|Marechal coletando Tropas
qstr_The_marshal_is_levyi|O Marechal está coletando {reg0} tropas de seu centro {s10}.
qstr_{s35}_of_the_{s34}|{s35} de {s34}
qstr_{s37}_of_the_{s36}|{s37} de {s36}
qstr_The_brewery_in_{s1}_|A cervejaria em {s1} adiciona à sua prosperidade.
qstr_You_gain_right_to_ru|Você ganha Direito de Governar.
qstr_You_lose_right_to_ru|Você perde o Direito de Governar.
qstr_Content_update_appli|Atualização de conteúdo aplicada ao Jogo Salvo. 
qstr_{s1}_has_entered_tra|{s1} entrou em transe!
qstr_{s1}_has_become_unco|{s1} tornou-se incontrolável!
qstr_{s1}_is_getting_exha|{s1} está ficando exausto após a fúria.
qstr_{s1}_back_to_normal!|{s1} voltou ao normal!
qstr_Manage_this_village.|Gerenciar esse vilarejo.
qstr_Recruit_volunteers.|Recrutar voluntários.
qstr_Go_to_the_village_ce|Ir ao centro do vilarejo.
qstr_Meet_the_leader.|Encontrar o líder.
qstr_Buy_supplies.|Compre mantimentos.
qstr_Attack_the_bandits.|Atacar os bandidos.
qstr_Wait_here_for_some_t|Esperar aqui por algum tempo.
qstr_{reg5?Continue_colle|{reg5? Continuar coletando impostos: coletar impostos}.
qstr_Train_the_peasants.|Treinar os aldeões.
qstr_Take_an_action.|Tome uma ação.
qstr_Leave...|Sair...
qstr_You_need_to_obtain_p|Você precisa obter permissão do líder nesta vila para recrutar aqui.
qstr___Symbel_| (Symbel)
qstr_Join_the_competition|Juntar-se às competições.
qstr_Stroll_through_town.|Passear pela cidade.
qstr_Meet_the_mayor.|Encontrar o prefeito.
qstr_Mead_hall__hire_men_|Salão de Hidromel (contratar homens).
qstr_Visit_the_mead_hall.|Visitar o Salão de Hidromel.
qstr_Visit_the_training_g|Visitar os campos de treinamento.
qstr_Tour_the_grounds.|Visitar o terreno.
qstr_Visit_your_farmstead|Visitar sua chácara.
qstr_Attempt_to_visit_a_l|Tentar visitar uma Lady.
qstr_Trade_with_locals.|Fazer comércio com habitantes locais.
qstr_Travel_to_another_Po|Viajar para outro Porto.
qstr_Manage_this_{reg0?to|Gerenciar esta {reg0?Cidade:Fortaleza}.
qstr_Move_your_court_here|Mudar sua corte para cá.
qstr_Manage_the_garrison.|Gerenciar a guarnição.
qstr___{reg1}_peningas_pe| ({reg1} peningas por noite)
qstr___1_pening_per_night| (1 pening por noite)
qstr_Ask_for_potential_re|Perguntar por potenciais recrutas.
qstr_See_the_ships.|Ver os navios.
qstr_Symbel_for_your_men.|Symbel para seus homens.
qstr_Sail_from_port.|Velejar a partir do Porto.
; qstr_ranks|ranks
; qstr_shield_wall|shield wall
; qstr_wedge|wedge
; qstr_square|square
; qstr_up|up
; qstr_Division_{reg1}_{s2}|Division {reg1} {s2} forming {s1}.
; qstr_Not_enough_troops_in|Not enough troops in division {reg1} {s2} to form {s1}.
; qstr_Division_{reg1}_{s2}_|Division {reg1} {s2} is an {s3} division and cannot form {s1}.
; qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.
; qstr_{s1}:_archer_formati|{s1}: archer formation disassembled.
; qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.
; qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.
; qstr_{s1}:_formation_disa|{s1}: formation disassembled.
; qstr_Cavalry_formation_di|Cavalry formation disassembled.
; qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.
; qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.
; qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!
; qstr_...and_attack_enemy_|...and attack enemy {s1} division!
; qstr_{s2}:_returning_afte|{s2}: returning after destroying enemy {s1} division.
; qstr_infantry|infantry
; qstr_archer|archer
; qstr_cavalry|cavalry
; qstr_polearm|polearm
; qstr_skirmisher|skirmisher
; qstr_mounted_archer|mounted archer
; qstr_support|support
; qstr_bodyguard|bodyguard
; qstr_undetermined_type_of|undetermined type of
; qstr_Lame|Lame
; qstr_Swaybacked|Swaybacked
; qstr_Timid|Timid
; qstr_Meek|Meek
; qstr_Stubborn|Stubborn
; qstr_Heavy|Heavy
; qstr_Spirited|Spirited
; qstr_Champion|Champion
; qstr_Cracked|Cracked
; qstr_Battered|Battered
; qstr_Thick|Thick
; qstr_Reinforced|Reinforced
; qstr_Rusty|Rusty
; qstr_Tattered|Tattered
; qstr_Ragged|Ragged
; qstr_Crude|Crude
; qstr_Sturdy|Sturdy
; qstr_Hardened|Hardened
; qstr_Lordly|Lordly
; qstr_Broken|Broken
; qstr_Bent|Bent
; qstr_Chipped|Chipped
; qstr_Strong|Strong
; qstr_Balanced|Balanced
; qstr_Tempered|Tempered
; qstr_Masterwork|Masterwork
; qstr_Large_Bag_of|Large Bag of
; qstr_Strength.|Strength.
; qstr_Shield_skill.|Shield skill.
; qstr_Power_Throw_skill.|Power Throw skill.
; qstr_Power_Draw_skill.|Power Draw skill.
; qstr_Riding_skill.|Riding skill.
; qstr_{s2}_needs_{reg1}_mo|{s2} needs {reg1} more {s1}
; qstr_You_need_five_tool_k|You need five tool kits to improve your refuge!
; qstr_You_need_five_timber|You need five timber pallets to improve your refuge!
; qstr_To_hire_workers_you_|To hire workers, you need to select them from the list. If the list is empty, you may need to increase your renown or improve your refuge for them to come and offer their services.
; qstr_Name:_Marcus.|Name: Marcus.
; qstr_Occupation:_This_cap|Occupation: This captain is already working for you.
; qstr_Occupation:_Captain^|Occupation: Captain^Initial Cost: 500^Weekly cost: 55^Notes: helps manage your refuge and develop the improvements you need.
; qstr_Name:_Father_Beda.|Name: Father Beda.
; qstr_Occupation:_This_pri|Occupation: This priest is already working for you.
; qstr_Occupation:_Priest^I|Occupation: Priest^Initial Cost: 250^Weekly cost: 30^Notes: encourages the practice of Christianity among your troops.
; qstr_Name:_Godi_Olafr.|Name: Godi Olafr.
; qstr_Occupation:_Godi^Ini|Occupation: Godi^Initial Cost: 250 ^Weekly cost: 30^Notes: encourages the practice of paganism among your troops.
; qstr_Name:_Skald_Bragi.|Name: Skald Bragi.
; qstr_Occupation:_This_bar|Occupation: This bard is already working for you.
; qstr_Occupation:_Skald^In|Occupation: Skald^Initial Cost: 200^Weekly cost: 40^Notes: fills your halls with inspiring Nordic music.
; qstr_Name:_Bard_Siwi.|Name: Bard Siwi.
; qstr_Occupation:_Bard^Ini|Occupation: Bard^Initial Cost: 200 ^Weekly cost: 40^Notes: fills your halls with inspiring English music.
; qstr_Name:_Casius.|Name: Casius.
; qstr_Occupation:_This_man|Occupation: This man is already working for you.
; qstr_Occupation:_Bottler^|Occupation: Bottler^Initial Cost: 100^Weekly cost: 10^Notes: necessary complement for your mead hall.
; qstr_Name:_Suaibsech.|Name: Suaibsech.
; qstr_Occupation:_This_wom|Occupation: This woman is already serving you.
; qstr_Occupation:_Happy_Wi|Occupation: Happy Widow^Initial Cost: 300^Weekly cost: 25^Notes: The best way to make your men happy.
; qstr_Name:_Tancoystl.|Name: Tancoystl.
; qstr_Name:_Gulla.|Name: Gulla.
; qstr_Occupation:_Happy_Wid|Occupation: Happy Widow^Initial Cost: 150^Weekly cost: 15^Notes: The best way to make your men happy.
; qstr_Name:_Eadgyd.|Name: Eadgyd.
; qstr_Name:_Harald.|Name: Harald.
; qstr_Occupation:_This_tra|Occupation: This trainer is already working for you.
; qstr_Occupation:_Trainer^|Occupation: Trainer^Initial Cost: 450^Weekly cost: 45^Notes: trains your troops.
; qstr_Name:_Ulfberht.|Name: Ulfberht.
; qstr_Occupation:_This_smi|Occupation: This smith is already working for you.
; qstr_Occupation:_Smith^In|Occupation: Smith^Initial Cost: 400^Weekly cost: 40^Notes: makes new weapons for your refuge.
; qstr_Name:_The_Hungry_Ham|Name: The Hungry Hammer.
; qstr_Occupation:_This_arm|Occupation: This armorer is already working for you.
; qstr_Occupation:_Armorer^|Occupation: Armorer^Initial Cost: 400^Weekly cost: 40^Notes: His nickname comes from his voracious appetite for iron, manufacturing all kinds of things.
; qstr_Name:_Aurelius.|Name: Aurelius.
; qstr_Occupation:_This_phy|Occupation: This physician is already working for you.
; qstr_Occupation:_Physicia|Occupation: Physician^Initial Cost: 250^Weekly cost: 15^Notes: patches light wounds.
; qstr_Name:_Morgan.|Name: Morgan.
; qstr_Name:_Alexander.|Name: Alexander.
; qstr_Occupation:_Physician|Occupation: Physician^Initial Cost: 350^Weekly cost: 30^Notes: a highly trained barber who patches light and heavy wounds.
; qstr_Name:_Aillil.|Name: Aillil.
; qstr_Occupation:_Physician^|Occupation: Physician^Initial Cost: 250^Weekly cost: 30^Notes: patches light wounds.
; qstr_Name:_Wamba.|Name: Wamba.
; qstr_Occupation:_This_coo|Occupation: This cook is already working for you.
; qstr_Occupation:_Cook^Ini|Occupation: Cook^Initial Cost: 350^Weekly cost: 30^Notes: makes feasts for you and your men.
; qstr_The_{s1}_and_the_{s2}|The {s1} and the {s2} have entered into an alliance with each other.
; qstr_The_{s15}_complies_wi|The {s15} complies with the new alliance by attacking the {s16}.
; qstr_Player_bonus_for_dec|Player bonus for decap: {reg1}
; qstr_Ruthless|Ruthless
; qstr_Vile|Vile
; qstr_Notorious|Notorious
; qstr_Unkind|Unkind
; qstr_Unknown|Unknown
; qstr_Kind|Kind
; qstr_Admirable|Admirable
; qstr_Heroic|Heroic
qstr_Inventory|Inventário
; qstr_Show_stats|Show stats
; qstr_Show_item_details__|Show item details  
; qstr_Troop_detail|Troop detail
; qstr_{s1}^|{s1}^
; qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
; qstr_{s1}Hit_Points:_{reg|{s1}Hit Points: {reg1}
; qstr_{s1}Atributes:_^___S|{s1}Atributes: ^   Strength:^
; qstr_{s2}^{reg1}^|{s2}^{reg1}^
; qstr_{s1}___Agility:|{s1}   Agility:
; qstr_{s2}{reg1}|{s2}{reg1}
; qstr_{s1}Main_skills:_^|{s1}Main skills: ^
; qstr_{s1}___Power_Strike:|{s1}   Power Strike:^
; qstr_{s2}{reg1}^|{s2}{reg1}^
; qstr_{s1}___Athletics:^|{s1}   Athletics:^
; qstr_{s1}___Riding:^|{s1}   Riding:^
; qstr_{s2}_^|{s2}-^
; qstr_{s1}___Power_Throw:^|{s1}   Power Throw:^
; qstr_{s1}___Power_Draw:^^|{s1}   Power Draw:^^
; qstr_{s2}{reg1}^^|{s2}{reg1}^^
; qstr_{s2}_^^|{s2}-^^
; qstr_{s1}Weapons:^|{s1}Weapons:^
; qstr_{s1}___One_Handed:^|{s1}   One Handed:^
; qstr_{s1}___Two_Handed:^|{s1}   Two Handed:^
; qstr_{s1}___Polearms:^|{s1}   Polearms:^
; qstr_{s1}___Archery:^|{s1}   Archery:^
; qstr_{s1}___Crossbow:^|{s1}   Crossbow:^
; qstr_{s1}___Throwing:^|{s1}   Throwing:^
; qstr_{s1}___Slings:|{s1}   Slings:
; qstr_{s2}_|{s2}-
; qstr__Click_on_the_troop_|(Click on the troop to rotate it)^^Click on pieces of gear ^(helmet, armor, gloves and boots)^ to display them.
; qstr_Landing_near_{s2}|Landing near {s2}
qstr_{s0}^>_{s1}__{s2}__{|{s0} ^ > {s1}, '{s2}', {s3}, {s4}
qstr_You_have_lost_the_tr|Você perdeu os comerciantes porque você atracou sem eles.
qstr_You_have_lost_the_tra|Você perdeu os comerciantes porque você embarcou sem eles.
qstr_vWaveInfo|v Info de Onda
qstr_vWaveOrigin|vOrigem de Onda
qstr_vTimer|vTemporizador
qstr_SHIP_{reg8}_ERROR:_g|ERRO de NAVIO {reg8}: gtbws não é o mesmo!
qstr_You_are_an_elder._Yo|Você é um ancião. Você pode contar muitos anos a respeito de suas experiências de vida. Você pode não ser tão forte e ágil como antes, mas certamente é mais sábio.
qstr_You_are_an_adult._Yo|Você é um adulto. Você está em uma idade onde uma razoável quantidade de experiência e saúde se encontram.
qstr_You_are_a_youth._You|Você é um jovem. Você está cheio de energia e ansioso para mudar o mundo ao seu redor.
qstr_According_to_Galen_s|De acordo com temperamentos antigos de Galeno, sua personalidade é:
