qstr_Breaking_camp...|Levantando el campamento...
; qstr_You_stand_to_gain_{r|You stand to gain {reg8} renown if you win this battle.
qstr_You_have_run_into_a_|¡Habéis caído en una trampa!
qstr_You_are_attacked_by_|¡Un grupo de bandidos os ataca!
qstr_Following|Siguiendo
qstr_Holding|A la espera
qstr_Charging|Cargando
qstr_Advancing|Avanzando
qstr_Falling_Back|Retirándose
qstr_Standing_Closer|Acercándose
qstr_Spreading_Out|Alejándose
qstr_Standing|Detenidos
; qstr_Retreating|Retreating
qstr_N/A|N/A
qstr_Free|Libre
qstr_Any_Weapon|Cualquier arma
qstr_Blunt_Weapons|Armas contundentes
qstr_Given_by:_{s62}|Asignada por: {s62}
qstr_Given_on:_{s60}|Asignada el {s60}
; qstr_This_quest_has_been_|This quest has been concluded. Give {s59} the news.
; qstr_This_quest_has_been_c|This quest has been concluded.
; qstr_This_quest_has_been_s|This quest has been successfully completed. Talk to {s59}.
; qstr_This_quest_has_been_su|This quest has been successfully completed.
qstr_This_quest_has_faile|Esta misión ha fracasado. Hablad con {s59} para explicarle la situación.
; qstr_This_quest_has_failed|This quest has failed.
qstr_At_the_time_quest_wa|Esta misión, al momento de ser asignada:^{s1}
; qstr_The_{s5}_has_a_stren|The {s5} has a strength of {reg1} men in total.
; qstr_According_to_the_las|According to the last time you saw {reg1?her:him}, {s1}
; qstr_According_to_the_last|According to the last time you heard about {reg1?her:him}, {s1}
; qstr_The_current_garrison|The current garrison consists of {reg5} men.^It should have food stocks for {reg6} days.
qstr_Very_Poor|Muy pobre
qstr_Poor|Mala
qstr_Average|Media
qstr_Rich|Rica
qstr_Very_Rich|Muy rica
; qstr_Mead_Hall|Mead Hall
qstr_A_manor_lets_you_res|Una casa solariega os permite descansar en la aldea y pagar a vuestras tropas la mitad del sueldo mientras estáis descansando.
qstr_Mill|un molino
qstr_A_mill_increases_vil|Un molino incrementa la prosperidad de la aldea en un 5%.
; qstr_Watchtower|Watchtower
; qstr_A_watchtower_lets_th|A watchtower lets the villagers raise the alarm earlier. The time it takes for enemies to loot the village increases by 50%.
qstr_School|una escuela
; qstr_A_school_increases_t|A school increases the loyalty of the villagers by +1 every month.
qstr_Messenger_Post|un puesto de mensajería
; qstr_A_messenger_post_let|A messenger post lets the inhabitants send you a message whenever enemies are nearby, even if you are far away.
qstr_Prison_Tower|una torre de prisioneros
; qstr_A_prison_tower_reduc|A prison tower reduces the chance that captives here will run away. It includes a torturer.
; qstr_Christian_Monastery|Christian Monastery
; qstr_A_monastery_promotes|A monastery promotes Christianity.
; qstr_Temple_to_god_Odin|Temple to god Odin
; qstr_A_temple_promotes_pa|A temple promotes pagan practices.
; qstr_Christian_Church|Christian Church
; qstr_A_church_promotes_Ch|A church promotes Christianity.
; qstr_Shrine_to_Norse_Gods|Shrine to Norse Gods
; qstr_A_shrine_promotes_pa|A shrine promotes pagan practices.
; qstr_Blacksmith|Blacksmith
; qstr_A_blacksmith_manufac|A blacksmith manufactures and sells tools and weapons.
; qstr_Merchants__Rest_Hall|Merchants' Rest Hall
; qstr_A_rest_hall_supports|A rest hall supports the merchant community, adding prosperity.
; qstr_Scriptorium|Scriptorium
; qstr_A_scriptorium_increa|A scriptorium increases your renown as a patron of knowledge.
; qstr_Slave_Market|Slave Market
; qstr_A_slave_market_incre|A slave market increases the prosperity and tariffs of the port town, but reduces your reputation.
; qstr_Brewery|Brewery
; qstr_A_brewery_increases_|A brewery increases the prosperity and loyalty of the fort.
; qstr_The_prosperity_of_{s|The prosperity of {s2} has changed from {s3} to {s4}.
qstr_{s4}_looks_upset.|{s4} parece alterado.
qstr_your_party|vuestro grupo
; qstr_{reg0?One_of_your_pr|{reg0?One of your prisoners, :}{s1} of the {s3} has escaped from captivity!
; qstr_You_have_delivered_{|You have delivered {reg3} head of cattle to {s1}.
; qstr_I_hear_that_there_wi|I hear that there will be a tournament in {s62} soon.
qstr_I_heard_that_one_can|He oído que es posible comprar {s62} por muy poco dinero en {s63}.
qstr_I_heard_that_they_pa|He oído que {s62} se cotiza muy bien en {s63}.
; qstr_I_heard_that_the_Dan|I heard that the Danish promise to conquer West Seaxe before next spring.
; qstr_Currently_the_most_r|Currently, the most requested song the bards perform is the one of King Cadwallon of Gwynedd and King Penda of Mierce invading Northhymbre and penetrating deep into the heart of the old Kingdom of Deira. There King Eadwine amassed his warriors and rode south to meet them in battle. The two armies met at Haedfeldland and engaged in the bloodiest and most brutal battle of the time. Perhaps it is popular because of the recent invasion.
; qstr_I_heard_the_Pope_in_|I heard the Pope in Rome sent missionaries to convert the Danish!
; qstr_Ragnar_s_sons_are_th|Ragnar's sons are the most dangerous men in the world. I hear they are relentless, and nobody dares to face up to them.
; qstr_I_think_the_wife_of_|I think the wife of my friend is cheating on him with a bard.
; qstr_I_hate_bandits!_Some|I hate bandits! Somebody should kill them all.
; qstr_I_would_like_to_know|I would like to know about the Roman times.
; qstr_Many_of_the_nobles_o|Many of the nobles of Englaland are very impressed by young princess Hild. She is so beautiful. Too bad she has religious leanings!
; qstr_A_traveller_told_me_|A traveller told me the Franks are recruiting men for attacking the Frisians.
; qstr_The_Danish_have_brou|The Danish have brought all kinds of foreigners with them. It's like the whole world has come to old Englaland.
; qstr_West_Seaxe_was_never|West Seaxe was never as powerful as now. It is logical that their king is considered to be a Brytenwalda.
; qstr_I_wish_the_world_wer|I wish the world were less dangerous. Few men grow old.
; qstr_I_ve_been_told_the_a|I've been told the army of the Ui Neill maintains strict discipline and training. For that reason, they are the most powerful in Hibernia!
qstr_two_days_ago|hace dos días
; qstr_{s24}_increased_reno|{s24} increased renown by attending a feast at {s25}
; qstr_You_asked_me_to_come|You asked me to come and meet you here at {s33}. So, here I am, waiting for you to show up.
; qstr_You_asked_me_to_come_|You asked me to come and patrol around {s33}. So, here I am, looking for enemies.
; qstr_Marshal_has_chosen_{|Marshal has chosen {s13} to levy troops.
; qstr_Marshal_Levying_Troo|Marshal Levying Troops
; qstr_The_marshal_is_levyi|The marshal is levying {reg0} troops from your center {s10}.
; qstr_{s35}_of_the_{s34}|{s35} of the {s34}
; qstr_{s37}_of_the_{s36}|{s37} of the {s36}
; qstr_The_brewery_in_{s1}_|The brewery in {s1} adds to its prosperity.
qstr_You_gain_right_to_ru|Ganáis en derecho a gobernar.
qstr_You_lose_right_to_ru|Perdéis en derecho a gobernar.
; qstr_Content_update_appli|Content update applied to the save game.
; qstr_{s1}_has_entered_tra|{s1} has entered trance!
; qstr_{s1}_has_become_unco|{s1} has become uncontrollable!
; qstr_{s1}_is_getting_exha|{s1} is getting exhausted after the rage.
; qstr_{s1}_back_to_normal!|{s1} back to normal!
qstr_Manage_this_village.|Administrad esta aldea.
; qstr_Recruit_volunteers.|Recruit volunteers.
qstr_Go_to_the_village_ce|Id al centro de la aldea.
; qstr_Meet_the_leader.|Meet the leader.
; qstr_Buy_supplies.|Buy supplies.
qstr_Attack_the_bandits.|Atacad a los bandidos.
qstr_Wait_here_for_some_t|Esperad aquí durante un tiempo.
; qstr_{reg5?Continue_colle|{reg5?Continue collecting taxes:Collect taxes}.
qstr_Train_the_peasants.|Entrenad a los campesinos.
qstr_Take_an_action.|Emprended una acción.
qstr_Leave...|Idos...
; qstr_You_need_to_obtain_p|You need to obtain permission from the leader in this village to recruit here.
; qstr___Symbel_| (Symbel)
; qstr_Join_the_competition|Join the competitions.
; qstr_Stroll_through_town.|Stroll through town.
; qstr_Meet_the_mayor.|Meet the mayor.
; qstr_Mead_hall__hire_men_|Mead hall (hire men).
; qstr_Visit_the_mead_hall.|Visit the mead hall.
qstr_Speak_with_the_merch|Hablad con un mercader.
; qstr_Visit_the_training_g|Visit the training grounds.
qstr_Never:_Enter_the_pri|Nunca: Entrad en la prisión.
; qstr_Tour_the_grounds.|Tour the grounds.
; qstr_Visit_your_farmstead|Visit your farmstead.
; qstr_Attempt_to_visit_a_l|Attempt to visit a lady.
; qstr_Trade_with_locals.|Trade with locals.
; qstr_Travel_to_another_Po|Travel to another Port.
; qstr_Manage_this_{reg0?to|Manage this {reg0?town:fort}.
qstr_Move_your_court_here|Mueva su corte aquí.
; qstr_Manage_the_garrison.|Manage the garrison.
; qstr___{reg1}_peningas_pe| ({reg1} peningas per night)
; qstr___1_pening_per_night| (1 pening per night)
; qstr_Ask_for_potential_re|Ask for potential recruits.
; qstr_See_the_ships.|See the ships.
; qstr_Symbel_for_your_men.|Symbel for your men.
; qstr_Sail_from_port.|Sail from port.
; qstr_ranks|ranks
; qstr_shield_wall|shield wall
; qstr_wedge|wedge
; qstr_square|square
; qstr_up|up
; qstr_Division_{reg1}_{s2}|Division {reg1} {s2} forming {s1}.
; qstr_Not_enough_troops_in|Not enough troops in division {reg1} {s2} to form {s1}.
; qstr_Division_{reg1}_{s2}_|Division {reg1} {s2} is an {s3} division and cannot form {s1}.
; qstr_{s1}:_infantry_forma|{s1}: infantry formation disassembled.
; qstr_{s1}:_archer_formati|{s1}: archer formation disassembled.
; qstr_{s1}:_skirmisher_for|{s1}: skirmisher formation disassembled.
; qstr_{s1}:_cavalry_format|{s1}: cavalry formation disassembled.
; qstr_{s1}:_formation_disa|{s1}: formation disassembled.
; qstr_Cavalry_formation_di|Cavalry formation disassembled.
; qstr_The_placement_of_{s1|The placement of {s1} division {reg0} memorized.
; qstr_The_placement_of_{s1}|The placement of {s1} division {reg0} set to default.
; qstr_Your_party_s_tactica|Your party's tactical skill limits how far away you can deploy your troops!
; qstr_...and_attack_enemy_|...and attack enemy {s1} division!
; qstr_{s2}:_returning_afte|{s2}: returning after destroying enemy {s1} division.
; qstr_infantry|infantry
; qstr_archer|archer
; qstr_cavalry|cavalry
; qstr_polearm|polearm
; qstr_skirmisher|skirmisher
; qstr_mounted_archer|mounted archer
; qstr_support|support
; qstr_bodyguard|bodyguard
; qstr_undetermined_type_of|undetermined type of
; qstr_Lame|Lame
; qstr_Swaybacked|Swaybacked
; qstr_Timid|Timid
; qstr_Meek|Meek
; qstr_Stubborn|Stubborn
; qstr_Heavy|Heavy
; qstr_Spirited|Spirited
; qstr_Champion|Champion
; qstr_Cracked|Cracked
; qstr_Battered|Battered
; qstr_Thick|Thick
; qstr_Reinforced|Reinforced
; qstr_Rusty|Rusty
; qstr_Tattered|Tattered
; qstr_Ragged|Ragged
; qstr_Crude|Crude
; qstr_Sturdy|Sturdy
; qstr_Hardened|Hardened
; qstr_Lordly|Lordly
; qstr_Broken|Broken
; qstr_Bent|Bent
; qstr_Chipped|Chipped
; qstr_Strong|Strong
; qstr_Balanced|Balanced
; qstr_Tempered|Tempered
; qstr_Masterwork|Masterwork
; qstr_Large_Bag_of|Large Bag of
; qstr_Strength.|Strength.
; qstr_Shield_skill.|Shield skill.
; qstr_Power_Throw_skill.|Power Throw skill.
; qstr_Power_Draw_skill.|Power Draw skill.
; qstr_Riding_skill.|Riding skill.
; qstr_{s2}_needs_{reg1}_mo|{s2} needs {reg1} more {s1}
; qstr_You_do_not_have_the_m|You do not have the money to buy the {s0}.
; qstr_You_place_the_{s0}_t|You place the {s0} that {s1} had been using in your baggage.
; qstr_You_dump_a_{s2}_in_o|You dump a {s2} in order to keep the {s0} that {s1} had been using.
; qstr_Unable_to_Equip_Item|Unable to Equip Item
; qstr_You_need_five_tool_k|You need five tool kits to improve your refuge!
; qstr_You_need_five_timber|You need five timber pallets to improve your refuge!
; qstr_To_hire_workers_you_|To hire workers, you need to select them from the list. If the list is empty, you may need to increase your renown or improve your refuge for them to come and offer their services.
; qstr_Name:_Marcus.|Name: Marcus.
; qstr_Occupation:_This_cap|Occupation: This captain is already working for you.
; qstr_Occupation:_Captain^|Occupation: Captain^Initial Cost: 500^Weekly cost: 55^Notes: helps manage your refuge and develop the improvements you need.
; qstr_Name:_Father_Beda.|Name: Father Beda.
; qstr_Occupation:_This_pri|Occupation: This priest is already working for you.
; qstr_Occupation:_Priest^I|Occupation: Priest^Initial Cost: 250^Weekly cost: 30^Notes: encourages the practice of Christianity among your troops.
; qstr_Name:_Godi_Olafr.|Name: Godi Olafr.
; qstr_Occupation:_Godi^Ini|Occupation: Godi^Initial Cost: 250 ^Weekly cost: 30^Notes: encourages the practice of paganism among your troops.
; qstr_Name:_Skald_Bragi.|Name: Skald Bragi.
; qstr_Occupation:_This_bar|Occupation: This bard is already working for you.
; qstr_Occupation:_Skald^In|Occupation: Skald^Initial Cost: 200^Weekly cost: 40^Notes: fills your halls with inspiring Nordic music.
; qstr_Name:_Bard_Siwi.|Name: Bard Siwi.
; qstr_Occupation:_Bard^Ini|Occupation: Bard^Initial Cost: 200 ^Weekly cost: 40^Notes: fills your halls with inspiring English music.
; qstr_Name:_Casius.|Name: Casius.
; qstr_Occupation:_This_man|Occupation: This man is already working for you.
; qstr_Occupation:_Bottler^|Occupation: Bottler^Initial Cost: 100^Weekly cost: 10^Notes: necessary complement for your mead hall.
; qstr_Name:_Suaibsech.|Name: Suaibsech.
; qstr_Occupation:_This_wom|Occupation: This woman is already serving you.
; qstr_Occupation:_Happy_Wi|Occupation: Happy Widow^Initial Cost: 300^Weekly cost: 25^Notes: The best way to make your men happy.
; qstr_Name:_Tancoystl.|Name: Tancoystl.
; qstr_Name:_Gulla.|Name: Gulla.
; qstr_Occupation:_Happy_Wid|Occupation: Happy Widow^Initial Cost: 150^Weekly cost: 15^Notes: The best way to make your men happy.
; qstr_Name:_Eadgyd.|Name: Eadgyd.
; qstr_Name:_Harald.|Name: Harald.
; qstr_Occupation:_This_tra|Occupation: This trainer is already working for you.
; qstr_Occupation:_Trainer^|Occupation: Trainer^Initial Cost: 450^Weekly cost: 45^Notes: trains your troops.
; qstr_Name:_Ulfberht.|Name: Ulfberht.
; qstr_Occupation:_This_smi|Occupation: This smith is already working for you.
; qstr_Occupation:_Smith^In|Occupation: Smith^Initial Cost: 400^Weekly cost: 40^Notes: makes new weapons for your refuge.
; qstr_Name:_The_Hungry_Ham|Name: The Hungry Hammer.
; qstr_Occupation:_This_arm|Occupation: This armorer is already working for you.
; qstr_Occupation:_Armorer^|Occupation: Armorer^Initial Cost: 400^Weekly cost: 40^Notes: His nickname comes from his voracious appetite for iron, manufacturing all kinds of things.
; qstr_Name:_Aurelius.|Name: Aurelius.
; qstr_Occupation:_This_phy|Occupation: This physician is already working for you.
; qstr_Occupation:_Physicia|Occupation: Physician^Initial Cost: 250^Weekly cost: 15^Notes: patches light wounds.
; qstr_Name:_Morgan.|Name: Morgan.
; qstr_Name:_Alexander.|Name: Alexander.
; qstr_Occupation:_Physician|Occupation: Physician^Initial Cost: 350^Weekly cost: 30^Notes: a highly trained barber who patches light and heavy wounds.
; qstr_Name:_Aillil.|Name: Aillil.
; qstr_Occupation:_Physician^|Occupation: Physician^Initial Cost: 250^Weekly cost: 30^Notes: patches light wounds.
; qstr_Name:_Wamba.|Name: Wamba.
; qstr_Occupation:_This_coo|Occupation: This cook is already working for you.
; qstr_Occupation:_Cook^Ini|Occupation: Cook^Initial Cost: 350^Weekly cost: 30^Notes: makes feasts for you and your men.
; qstr_The_{s1}_and_the_{s2}|The {s1} and the {s2} have entered into an alliance with each other.
; qstr_The_{s15}_complies_wi|The {s15} complies with the new alliance by attacking the {s16}.
; qstr_Player_bonus_for_dec|Player bonus for decap: {reg1}
; qstr_INFO:___Changing_mov|INFO:   Changing movement speed to {reg1}%
; qstr_Ruthless|Ruthless
; qstr_Vile|Vile
; qstr_Notorious|Notorious
; qstr_Unkind|Unkind
; qstr_Unknown|Unknown
; qstr_Kind|Kind
; qstr_Admirable|Admirable
; qstr_Heroic|Heroic
qstr_Inventory|Inventario
; qstr_Show_stats|Show stats
; qstr_Show_item_details__|Show item details  
; qstr_Troop_detail|Troop detail
; qstr_{s1}^|{s1}^
; qstr_{s1}Level:_{reg1}^|{s1}Level: {reg1}^
; qstr_{s1}Hit_Points:_{reg|{s1}Hit Points: {reg1}
; qstr_{s1}Atributes:_^___S|{s1}Atributes: ^   Strength:^
; qstr_{s2}^{reg1}^|{s2}^{reg1}^
; qstr_{s1}___Agility:|{s1}   Agility:
; qstr_{s2}{reg1}|{s2}{reg1}
; qstr_{s1}Main_skills:_^|{s1}Main skills: ^
; qstr_{s1}___Power_Strike:|{s1}   Power Strike:^
; qstr_{s2}{reg1}^|{s2}{reg1}^
; qstr_{s1}___Athletics:^|{s1}   Athletics:^
; qstr_{s1}___Riding:^|{s1}   Riding:^
; qstr_{s2}_^|{s2}-^
; qstr_{s1}___Power_Throw:^|{s1}   Power Throw:^
; qstr_{s1}___Power_Draw:^^|{s1}   Power Draw:^^
; qstr_{s2}{reg1}^^|{s2}{reg1}^^
; qstr_{s2}_^^|{s2}-^^
; qstr_{s1}Weapons:^|{s1}Weapons:^
; qstr_{s1}___One_Handed:^|{s1}   One Handed:^
; qstr_{s1}___Two_Handed:^|{s1}   Two Handed:^
; qstr_{s1}___Polearms:^|{s1}   Polearms:^
; qstr_{s1}___Archery:^|{s1}   Archery:^
; qstr_{s1}___Crossbow:^|{s1}   Crossbow:^
; qstr_{s1}___Throwing:^|{s1}   Throwing:^
; qstr_{s1}___Slings:|{s1}   Slings:
; qstr_{s2}_|{s2}-
; qstr__Click_on_the_troop_|(Click on the troop to rotate it)^^Click on pieces of gear ^(helmet, armor, gloves and boots)^ to display them.
; qstr_Landing_near_{s2}|Landing near {s2}
; qstr_{s0}^>_{s1}__{s2}__{|{s0}^> {s1}, '{s2}', {s3}, {s4}
; qstr_You_have_lost_the_tr|You have lost the traders because you landed without them.
; qstr_You_have_lost_the_tra|You have lost the traders because you embarked without them.
; qstr_vWaveInfo|vWaveInfo
; qstr_vWaveOrigin|vWaveOrigin
; qstr_vTimer|vTimer
; qstr_Wank_ERROR!|Wank ERROR!
; qstr_SHIP_{reg8}_ERROR:_g|SHIP {reg8} ERROR: gtbws not the same!
; qstr_You_are_an_elder._Yo|You are an elder. You can count many years toward your life experiences. You may not be as strong and agile as before, but certainly you are wiser.
; qstr_You_are_an_adult._Yo|You are an adult. You are at an age where a reasonable amount of experience and health meet.
; qstr_You_are_a_youth._You|You are a youth. You are full of energy and eager to change the world around you.
; qstr_According_to_Galen_s|According to Galen's ancient temperaments, your personality is:
; qstr_Phlegmatic._Its_elem|Phlegmatic. Its element is water and its Hippocrates humor is phlegm. It is associated with people who are calm, compassionate, self-content, reliable, shy, observant and consistent. These people are also resistant to change, distant, relaxed and reserved.
; qstr_Melancholic._Its_ele|Melancholic. Its element is earth and its Hippocrates humor is black bile. It is associated with people who are introverted, sensitive, intuitive, creative, perfectionistic, patient, caring and tolerant. These people are also clumsy, obsessed, depressed and dissatisfied.
; qstr_Choleric._Its_elemen|Choleric. Its element is fire and its Hippocrates humor is yellow bile. It is associated with people who are persuasive, egocentric, extroverted, independent, charismatic and ambitious. These people are also insistent, impetuous, bad-tempered, restless and touchy.
; qstr_Sanguine._Its_elemen|Sanguine. Its element is air and its Hippocrates humor is blood. It is associated with people who are optimistic, imaginative, artistic, cheerful, sociable, rational and pleasure-seeking. These people are also forgetful, impulsive and unpredictable.
; qstr_{s1}^^{s2}_{s3}|{s1}^^{s2} {s3}
; qstr_According_the_four_c|According the four cardinal virtues recognized in the writings of classical antiquity, you most often exhibit:
; qstr_Wisdom._Also_called_|Wisdom. Also called Prudence, it governs actions according to the dictate of reason in order to choose the right response to any situation. Wisdom implies the ability to judge in advance the probable consequences of one's actions.
; qstr_Fortitude._Also_call|Fortitude. Also called Courage, it ensures firmness during difficulties and constancy in the pursuit of goals. It is the strength to make a decision based on moral convictions, whatever the consequences.
; qstr_Temperance._Also_cal|Temperance. Also called Self-Control, it resists the attraction of pleasures in order to render the body governable. Temperance represents restraint and control over passions and desires.
; qstr_Justice._It_symboliz|Justice. It symbolizes respect for law and promotes rewarding good and punishing evil.
; qstr_{s1}^^{s2}._{s3}|{s1}^^{s2}. {s3}
; qstr_You_are_a_foreigner.|You are a foreigner.
; qstr_You_come_from_far_aw|You come from far away, seeking to get to know the north of Europe, a world dotted with dozens of small kingdoms all harassed by the Vikings.
; qstr_You_are_Scoto_Pict|You are Scoto-Pict,
; qstr_a_descendant_of_an_a|a descendant of an ancient people of uncertain origin who inhabited parts of northern Britain, or of Goidelic invaders now mixed in.
; qstr_You_are_Briton|You are Briton,
; qstr_a_member_of_the_Celt|a member of the Celtic people who inhabited Britain since before the Roman invasion.
; qstr_You_are_Goidel|You are Goidel,
; qstr_a_member_of_Celtic_p|a member of Celtic people inhabiting the island of Eriu, which the Romans called Hibernia.
; qstr_You_are_Frisian.|You are Frisian.
; qstr_You_come_from_the_di|You come from the dike country of Friese on the north edge of continental Europe.
; qstr_You_are_a_Norseman|You are a Norseman,
; qstr_a_member_of_the_paga|a member of the pagan peoples native to Scandia who raid the coast of Europe.
; qstr_You_are_Anglo_Saxon|You are Anglo-Saxon,
; qstr_a_descendant_of_a_Ge|a descendant of a Germanic people who, in ancient times, dwelt in Sleswick, near the mouth of the Elbe. Your people have been taking over Britain for four hundred years.
; qstr_an_impoverished_nobl|an impoverished nobleman
; qstr_You_came_into_this_w|You came into this world as {reg59?daughter:son} of a declining family of influence. By then, the estates were gone and only the house in which you lived remained as a possession. However, despite your hardships, your parents gave you a good education, preparing you from childhood for the chance to become a companion to royalty.
; qstr_a_travelling_merchan|a travelling merchant
; qstr_You_were_always_movi|You were always moving from one place to another seeking to make a profit. Although your parents were wealthier than most and gave you the best education they could, you found few chances to make friends on the road. When you did succeed to make a friend, you were always glad for the chance to sell them something.
; qstr_a_craftsman|a craftsman
; qstr_Your_father_s_abilit|Your father's ability to make beautiful and useful things were always highly valued by the community. You grew accustomed to live with some comfort and luxuries -- and you can tell a hammer from a mallet.
; qstr_a_priest|a priest
; qstr_You_were_placed_in_t|You were placed in the care of a monastery when but an infant. The brothers were not true parents, but provided care and camaraderie. Your mother visited you sometimes, but you have never heard from your father. Your life has been easier than most, as you always enjoyed a full dish at table after a long day of hard work.
; qstr_a_peasant|a peasant
; qstr_You_were_born_into_a|You were born into a small community directed by a nearby lord. Your childhood was happy enough, but there was little time to play. Practically from the time you could walk, you were put to work harvesting cabbages with your frozen fingers.
; qstr_an_outlaw|an outlaw
; qstr_Your_education_was_r|Your education was rather informal. Living in abandoned huts or even along the road, you were put to work begging until you became more useful for cutting purses. Some may say your childhood was a waste, but nobody knows the shadowy back streets and secrets of the towns like you do.
; qstr_{s1}^^You_were_born_|{s1}^^You were born years ago to {s2}. {s3}
; qstr_Your_family_baptised|Your family baptised you into Roman Christianity,
; qstr_and_you_were_fascina|and you were fascinated by the stories that the priest told when he visited your village. Since those days, you remain devoted to that religion. Christianity is based on the Scriptures, the testimony of the Jesus' life and the teachings of His Apostles.
; qstr_Your_family_believed|Your family believed in the Scandinavian gods.
; qstr_You_soaked_up_all_of|You soaked up all of the stories, told far into the night with everyone gathered around the fireplace. You are a staunch believer of the old ways. Your worship gives all the deities their due: Odin, the chief god; Thor, the god of the sky and thunder; Freya, the goddess of love, and all the rest required to oversee all the disparate processes of the world.
; qstr_a_page_at_a_nobleman|a page at a nobleman's hall
; qstr_You_were_chosen_to_b|You were chosen to be a companion to one of the wealthiest nobleman of the kingdom, so were given a place at the hall. Serving the more senior members of the household, your first lessons were in humility. In compensation, there were all sorts of entertainments: chess games, gossip, bards visiting to recite the poems of great deeds and loves. You were drawn most by the world of conflict and competition. You played rough games with other children, batting each other with sticks as swords. Such games provided you invaluable lessons for your current life.
; qstr_a_craftsman_s_appren|a craftsman's apprentice
; qstr_Your_parents_sent_yo|Your parents sent you to learn a trade. After years of hard work and study under your new master, he promoted you first to journeyman and finally to fully paid craftsman for as long as you wished to stay. You became adept with tools and crafting.
; qstr_a_shop_assistant|a shop assistant
; qstr_In_the_employ_of_a_s|In the employ of a shopkeeper, you learned to attract people's interest and convince them with words. Traveling from one place to another in caravans to trade, you learned the customs of very different peoples and proper behavior in each culture.
; qstr_a_street_urchin|a street urchin
; qstr_You_ended_up_in_the_|You ended up in the streets, doing whatever you must to survive. Begging and thieving to earn your bread, daily involved in this violent world, always one step ahead of the law and others who wished to catch you.
; qstr_a_farmer_child|a farmer child
; qstr_You_put_your_strong_|You put your strong back to help with farm work. You learned the land and the livestock that grazed on it. Some years you enjoyed good harvests but others you survived on an empty stomach. You became unflappable and adept at adapting to every circumstance.
; qstr_{s1}^^You_spent_your|{s1}^^You spent your youth as {s2}. {s3}
; qstr_Formerly_being_a_sla|Formerly, being a slave,
; qstr_your_adult_life_was_|your adult life was full of misery. Forced to do all the hard menial tasks for your owners, you grew to be thick-skinned, fast, and strong. Sometimes your masters gave you no food, and so you had to learn to forage in the wild in order to satisfy your hunger. Your world was small and monotonous. The days seemed to be always the same. Rain and sun punished your body during these endless working days. From sunrise to sunset, with your back aching all the time, your only reward was to see another day, although some of your fellow sufferers were not so lucky. When you got some free time -- something that rarely happened -- you practiced hurling stones with a simple sling. You can hit a dried gourd some paces distant and cause it to explode with a satisfying CRACK.
; qstr_Formerly_you_were_a_|Formerly, you were a priest.
; qstr_When_you_were_not_wo|When you were not working or studying at the monastery, you traveled around spreading the word of God. Anyone who listened to you was greatly impressed with the passion of your sermons. Though you had kept the vow of poverty through all those itinerant years, you never lacked for food, drink or shelter, as the hospitality of the peasants was particularly generous toward a rising {reg59?woman:man} of God. Now and then, the villagers came to the monastery to purchase the unique products that you made. ^^Healing is another of your abilities. Your skill mended many a broken bone and kept many a soul in its body instead of venturing into God's hands. Full of faith, you feel safe outside the thick monastery walls. You are armed with nothing more than a rod or a staff, symbols of the divine ones that comfort you.
; qstr_Formerly_you_were_a_t|Formerly, you were a traveler.
; qstr_Responding_to_the_ca|Responding to the call of the road, you traveled from one village to another, trading whatever you could find. This is not a wealthy life, but you have become a master at getting a good price from even the most miserly of spinsters. Soon, you will be able to create your own trading empire.
; qstr_Formerly_you_were_a_p|Formerly, you were a poacher.
; qstr_Unsatisfied_with_com|Unsatisfied with common men's desperate desire of wealth, you took to your local lord's own forests and helped yourself to their bounty, laws be damned. You hunted stags, boars and geese and sold their meat under the table. You cut down trees right under the watchmen's noses and turned them into firewood to warm many a freezing home during harsh winters. You found that honor is easy enough to barter away for a few hard-to-find silvers. When the hard times came, you foraged for food and became an expert at finding edible plants in the wild.
; qstr_Formerly_you_were_a_f|Formerly, you were a free {reg59?woman:man}, and moreover {reg59?mistress:master} over a bit of land.
; qstr_{reg59?Being_wife_to|{reg59?Being wife to a free man meant that you at least had it easier than did the wives of the servants. You owned some servants who helped you with the hard work, but since your husband didn't own a lot of land, you still had to do a variety of tasks that peasant wives have to do. Your husband had to pay rent to his overlord and owed him labour services for the land. When the lord was involved in a war, your husband had to answer his call for foot soldiers. In those times, he had to rely on his shield and spear in the thick of battle. He often taught you how to fight properly with those arms in case he wouldn't be available to defend your home. :This meant that you at least had it easier than the servants. You owned some servants who helped you with the hard work, but since you didn't own a lot of land, you still had to do a variety of tasks that peasants have to do. You had to pay rent to your overlord and owed him labour services for the land. When the lord was involved in a war, you had to answer his call for foot soldiers. In those times, you had to rely on your shield and spear in the thick of battle.}
; qstr_{s1}^^Through_persis|{s1}^^Through persistence and a little luck, you learned how to curry favor with one of the local lords. Eventually, he recommended you to the king, who awarded you with a small fief from his own holdings. Now you must prove yourself worthy of the trust you have been given.
; qstr_{s1}^^Then_you_happe|{s1}^^Then you happened to catch the interest of a young lord. Ignoring tradition and the strident pleas of his advisors, he married you, but shortly thereafter suffered an accidental fatal wound during a tournament. The lord lacked a living uncle, brother, or son. You therefore take over his small, neglected estate, even as the other lords of the kingdom consider it as having become available. Now you must establish yourself on your lands.
