str_yes|Sí.
str_comment_pledged_allegiance_allied_cunning_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. No diré que me hace feliz, pero tal vez sea mejor teneros bajo nuestra carpa haciendo vuestras necesidades hacia afuera, que al contrario.
str_comment_pledged_allegiance_allied_cunning|Oí que habéis jurado lealtad a nuestro señor, {s54}. Eso es bueno. Cuantos más luchadores habilidosos tengamos de nuestro lado, mejor. Estaré vigilando vuestros progresos.
str_comment_pledged_allegiance_allied_debauched_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Sin duda lo traicionaréis pronto y yo tendré el placer de veros morir como a {un traidor/una traidora}.
str_comment_pledged_allegiance_allied_debauched|Oí que habéis jurado lealtad a nuestro señor, {s54}. Excelente... Tengo la seguridad de que nos haremos buenos amigos. Pero recordad... si nos traicionáis, será el mayor error que hayáis cometido.
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Bueno, la verdad es que yo no habría confiado en vos, pero tal vez os merezcáis el beneficio de la duda.
; str_comment_pledged_allegiance_allied_goodnatured|I heard that you have pledged allegiance to our lord, {s54}. Good {reg59?woman:man}! Our lord is a noble soul, and rewards loyalty and valor with kindness and generosity.
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Oí que habéis jurado lealtad a nuestro señor, {s54}. Por lo que conozco sobre vos, me temo que nos deshonraréis, pero me sentiré feliz si demostráis que me equivoco.
str_comment_pledged_allegiance_allied_upstanding|Oí que habéis jurado lealtad a nuestro señor, {s54}. Luchad contra nuestros enemigos valerosamente, pero también con honor y compasión. Un buen nombre es tan valioso en cuestiones marciales como una espada afilada y un buen caballo.
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|He oído que {s54} os ha concedido {s51} como feudo. ¡No lo olvidéis, dejad el látigo y recompensad a los campesinos!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|He oído que {s54} os ha concedido {s51} como feudo. Me alegro de que prosperéis, pero tened cuidado. Los hombres son como víboras, envidiosos y codiciosos de la riqueza de sus vecinos. Manteneos cerca de mí y yo os protegeré.
str_comment_our_king_granted_you_a_fief_allied_friendly|He oído que {s54} os ha concedido {s51} como feudo. Espero que vuestras nuevas tierras prosperen.
; str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|I heard that {s54} granted you {s51} as a fief, but keep in mind that pride goes before a fall.
; str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|I heard that {s54} granted you {s51} as a fief. I suspect, however, that fortune is only raising you up so as to humble you even more when it casts you back into the dung from whence you came.
str_comment_our_king_granted_you_a_fief_allied_spiteful|He oído que {s54} os ha concedido {s51} como feudo. Esperemos que de verdad os merezcáis el favor de nuestro señor.
str_comment_our_king_granted_you_a_fief_allied|He oído que {s54} os ha concedido {s51} como feudo. Parece que las cosas os van muy bien.
str_comment_you_renounced_your_alliegance_enemy_friendly|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Me entristece que debamos encontrarnos en un campo de batalla.
str_comment_you_renounced_your_alliegance_friendly|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Esperemos que no tengamos que pelearnos.
; str_comment_you_renounced_your_alliegance_unfriendly_spiteful|I always had you figured for a traitor to {s54}, and now it seems I was right. I hope you are prepared to die a traitor's death!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Me veo obligado a consideraros {un traidor/una traidora}.
str_comment_you_renounced_your_alliegance_enemy|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Bueno, así es como funciona el mundo, los camaradas se vuelven enemigos.
str_comment_you_renounced_your_alliegance_default|He oído que habéis renunciado al juramento de lealtad a nuestro señor, {s54}. Bueno, es vuestra decisión, pero no esperéis que tenga consideración alguna por vos cuando nos encontremos en batalla.
str_comment_you_claimed_the_throne_1_player_liege|Mis informantes me han dicho que hay gente en el reino hablando de vos como {próximo}/próxima regente. Imagino que pondréis fin a esos rumores absurdos y peligrosos sin demora.
str_comment_you_claimed_the_throne_2_player_liege|Mis informantes me han dicho que algunos de vuestros compañeros van contando a los campesinos que aspiráis al trono. Espero sinceramente que hayan estado actuando así sin vuestro conocimiento.
str_comment_lord_intervened_against_me|Es bien sabido que tuve una rencilla con {s54}, y {s50} intervino en favor de mi rival.
str_comment_i_protested_marshal_appointment|Es bien sabido que protesté contra la decisión de {s54} de nombrar mariscal a {s51}.
str_comment_i_blamed_defeat|Es bien sabido que estoy en desacuerdo con {s54} por el favor que ha mostrado hacia {s51}, que nos llevó a la derrota contra el {s56}.
str_comment_i_was_entitled_to_fief|Es bien conocida mi decepción al saber que {s54} recibió el feudo de {s51}, que debería haber sido mío.
; str_comment_i_quarreled_with_troop_over_woman|It is well known that {s51} paid suit to {s54} while I was also courting her. He is unworthy of her attentions, and I intend to teach him to keep his distance from her.
str_comment_i_quarreled_with_you_over_woman_default|He oído que habéis estado cortejando a {s54}. No creo que seáis digno de una dama como ella, y os recomendaría que cesarais vuestra persecución.
; str_comment_i_quarreled_with_you_over_woman_derisive|I hear that you have been paying suit to {s54}. Let me tell you something -- I've had my eye on that one ever since I was a lad, and she was a lass. She's a high-born lady of this realm and should not be demeaned by a foreigner's crude attentions. Keep away from her, or expect to pay the price!
str_comment_player_suggestion_succeeded|Hice caso de vuestra sugerencia, y me sirvió de mucho.
str_comment_player_suggestion_failed|Hice caso de vuestra sugerencia y acabó siendo un desastre, así que os hago responsable.
str_comment_you_enfiefed_a_commoner_hesitant|Al parecer habéis concedido {s51} a un plebeyo que se hace llamar {s54}. Tened cuidado. Aprender el arte de gobernar no es tarea fácil, y tal vez sea mejor que pase de padres a hijos. Os aconsejo que no juguéis a crear nuevos nobles.
str_comment_you_enfiefed_a_commoner_derisive|Al parecer habéis concedido {s51} a un plebeyo que se hace llamar {s54}. ¿No sabéis por los ancianos que no debéis hacer togas reales con pieles de cerdo?
str_comment_you_enfiefed_a_commoner_nasty|Al parecer habéis concedido {s51} a un plebeyo que se hace llamar {s54}. ¡Prestad más atención! Un perro puede volverse contra su dueño.
str_comment_marriage_normal_family|Felicitaciones por vuestro casamiento con mi {s11} {s50}. ¡Ahora ya os podéis considerar parte de la familia!
str_comment_marriage_normal|Felicitaciones por vuestro casamiento con {s50}. Sois dignos el uno del otro.
str_comment_marriage_normal_nasty|Bueno... veo que os habéis casado con {s50}. Siempre fue una muchacha tonta, con muy poco seso.
str_comment_marriage_elopement_family|Bueno... de algún modo, habéis persuadido a mi {s11} {s50} para casarse con vos. No sé que hicisteis para convencerla, pero nuestra familia no olvidará esta humillación.
; str_comment_marriage_elopement_liege|I hear that you have eloped with {s50}, against her family's wishes. I am not pleased. Her relatives are among the great lords of my realm, and I do not like to see them made to look like fools.
str_comment_you_broke_truce_as_my_vassal|He oído que habéis roto mi tregua al atacar {s55}. ¿Os dais cuenta cómo me hace quedar esto? Si habéis actuado bajo mis órdenes, es deshonroso por mi parte. Si habéis ido por vuestra cuenta, quedo en ridículo. Me estoy planteando acusaros de traición ahora mismo.
str_comment_you_attacked_neutral_as_my_vassal|He oído que habéis atacado a siervos de los {s55}. Les habéis dado una excusa para atacarme, si quieren... ya veremos en qué desemboca todo esto. ¡Os habéis lucido, desde luego!
str_personality_archetypes|señor feudal
str_martial|marcial
str_quarrelsome|malhumorado
str_selfrighteous|implacable
str_cunning|astuto
str_debauched|sádico
str_goodnatured|de buen corazón
str_upstanding|de honor impecable
str_roguish|pícaro
str_benevolent|benevolente
str_mercantile|mercantilista
str_surrender_demand_default|¡Rendíos o morid!
str_surrender_demand_martial|La suerte no está de vuestro lado hoy. Podréis luchar contra nosotros, pero no es indigno que os rindáis ahora.
str_surrender_demand_quarrelsome|Os tengo entre la espada y la pared. Rendíos, u os mataré como a un perro.
str_surrender_demand_pitiless|No podéis vencerme y os llevaréis una dolorosa lección si lo intentáis. ¡Rendíos!
str_surrender_demand_cunning|Hoy no sois rival para nosotros. ¡Rendíos! ¡Si no por vos, pensad al menos en vuestros hombres!
str_surrender_demand_sadistic|¡Rendíos u os destriparé como a un pez!
; str_surrender_demand_goodnatured|We have the advantage of you. Yield, and you will be well treated.
str_surrender_demand_upstanding|Podéis luchar contra nosotros, pero muchos de vuestros hombres caerán y probablemente perderéis la batalla. Rendíos y ahorradnos el baño de sangre.
str_surrender_offer_default|¡Deteneos! ¡Me rindo!
str_surrender_offer_martial|¡Deteneos! ¡Me rindo!
str_surrender_offer_quarrelsome|¡Basta! ¡Hoy ganáis vos, {perro/perra}! ¡Argh, qué vergüenza!
str_surrender_offer_pitiless|¡Me rindo! Habéis ganado. ¡Maldito el día!
str_surrender_offer_cunning|¡Deteneos! ¡Me rindo ante vos!
str_surrender_offer_sadistic|¡Me rindo! ¡Me rindo! ¡Detened a vuestros perros!
; str_surrender_offer_goodnatured|I yield! Congratulations on your victory, {reg59?madame:sir}!
str_surrender_offer_upstanding|¡Me rindo! ¡Concededme los privilegios de guerra y sed honorable!
str_lord_declines_negotiation_offer_default|Puede ser, pero deseo luchar con vos
str_lord_declines_negotiation_offer_martial|Puede ser, pero es mi obligación luchar con vos
str_lord_declines_negotiation_offer_quarrelsome|¡Ja! Quiero luchar con vos
str_lord_declines_negotiation_offer_pitiless|¿Por qué habría de importarme? Deseo luchar con vos
str_lord_declines_negotiation_offer_cunning|Ah. Veréis, por desgracia, deseo luchar con vos
str_lord_declines_negotiation_offer_sadistic|¡Cuidad esa lengua! La necesitaréis pronto, para pedir clemencia
str_lord_declines_negotiation_offer_goodnatured|Lo siento... no puedo permitir que os vayáis sin más. ¿Sin rencores?
str_lord_declines_negotiation_offer_upstanding|Puede ser, pero mi deber hacia mi señor requiere que luche con vos
; str_prisoner_released_default|You have my gratitude, {reg59?madame:sir}. I shall not forget your kindness.
; str_prisoner_released_martial|You are indeed a {reg59?woman:man} of honour, {reg59?madame:sir}. I shall not forget this!
str_prisoner_released_quarrelsome|¿Soy libre? Bueno... en ese caso, adiós.
str_prisoner_released_pitiless|Gracias. Cuando os venza, pediré que vuestra ejecución sea rápida y piadosa. A menos que os unáis a nosotros... Adiós, por ahora.
; str_prisoner_released_cunning|Am I? You are a good {reg59?woman:man}. I will try to find a way to repay you.
; str_prisoner_released_sadistic|Am I? So refined is your cruelty, that you would rather see me free and humiliated than in chains. Enjoy your triumph!
; str_prisoner_released_goodnatured|You are indeed a {reg59?woman:man} of honour, {reg59?madame:sir}. I shall not forget this!
; str_prisoner_released_upstanding|You are indeed a {reg59?woman:man} of honour, {reg59?madame:sir}. I shall not forget this!
str_enemy_meet_default|¿Quién sois vos que os presentáis con vuestras armas ante mí?
; str_enemy_meet_martial|What is your name, {reg59?madame:sir}? If we come to blows, I would know whom I fight.
str_enemy_meet_quarrelsome|¿Quién diablos sois?
str_enemy_meet_pitiless|¿Quién sois? Hablad, así sabré a quién he matado.
str_enemy_meet_cunning|Decidme vuestro nombre. Siempre es bueno conocer al enemigo.
; str_enemy_meet_sadistic|Who are you? Speak quickly, before I cut your tongue out.
; str_enemy_meet_goodnatured|What is your name, {reg59?madame:sir}? If we come to blows, I would know whom I fight.
str_enemy_meet_upstanding|¿Quién sois vos que venís con vuestras armas a disputar nuestra noble causa?
str_battle_won_default|Hoy habéis demostrado ser {un aliado valioso/una aliada valiosa}.
str_battle_won_martial|¡No hay mayor fortuna que la oportunidad de mostrar nuestra valía en el campo de batalla!
str_battle_won_quarrelsome|¡Ja! Les hemos enseñado algo a esos bastardos, ¿eh?
str_battle_won_pitiless|¡Juntos haremos que nuestros enemigos teman nuestro nombre y tiemblen al vernos venir!
str_battle_won_cunning|Ahora que estamos en ventaja debemos presionar y así no malgastaremos la sangre derramada hoy.
str_battle_won_sadistic|Saqueemos a los muertos y dejémosles para los cuervos, y así todos sabrán el destino que les espera a quienes se cruzan en nuestro camino.
str_battle_won_goodnatured|¡Bien hecho! No hay mejor alegría que la de la victoria, ¿eh?
str_battle_won_upstanding|Demos gracias a los cielos por nuestra victoria y recemos por los buenos hombres que han caído hoy.
str_battle_won_grudging_default|Hoy habéis sido el factor determinante en la batalla. Pese a lo que piense de vos, no puedo negaros vuestro valor.
; str_battle_won_grudging_martial|{playername} -- you have shown yourself a worthy {reg59?woman:man} today, whatever your misdeeds in the past.
; str_battle_won_grudging_quarrelsome|Hmf. Yours is not a face that I normally like to see, but I suppose today I should thank you for your help.
str_battle_won_grudging_pitiless|Vuestra ayuda ha sido muy valiosa hoy. Imagino que no me habéis ayudado por amabilidad, pero de todas formas os lo agradezco.
str_battle_won_grudging_cunning|No sería prudente por mi parte no agradecer vuestra ayuda en un momento de necesidad. Así que... Tenéis mi gratitud.
str_battle_won_grudging_sadistic|¡Bueno! ¡Qué emoción! {playername} ha venido a salvarme.
str_battle_won_grudging_goodnatured|¡{playername}! No puedo decir que siempre nos hayamos llevado bien, pero hoy habéis luchado con valor. ¡Os doy las gracias!
str_battle_won_grudging_upstanding|Tal vez me equivocaba con vos. Vuestra llegada ha sido muy oportuna. Tenéis mi gratitud.
str_battle_won_unfriendly_default|Así que estáis aquí. Bueno, mejor tarde que nunca.
; str_battle_won_unfriendly_martial|We have had harsh words in the past, but for now let us simply enjoy our victory.
str_battle_won_unfriendly_quarrelsome|Si estáis esperando que os lo agradezca, podéis seguir haciéndolo. No necesitaba vuestra ayuda, pero supongo que no teníais nada mejor que hacer, ¿verdad?
str_battle_won_unfriendly_pitiless|Habéis llegado como un chacal a serviros de lo que ha matado el león. Muy bien, disfrutad de la carroña. No os detendré.
str_battle_won_unfriendly_cunning|{playername}... Bueno, supongo que vuestra llegada no fue algo malo, pero no voy a fingir que estoy feliz de veros.
str_battle_won_unfriendly_sadistic|¡Salid de aquí, {carroñero/carroñera}! Ésta es mi victoria, por mucho que queráis robarme la gloria para vos.
str_battle_won_unfriendly_goodnatured|Oh, sois vos. Bueno, supongo que debo agradeceros la ayuda.
str_battle_won_unfriendly_upstanding|Gracias por venir en mi ayuda. Ahora me retiro, antes de que diga algo de lo cual me arrepienta.
str_troop_train_request_default|Necesito alguien como vos para ponerlos en forma.
str_troop_train_request_martial|Necesitan a alguien que les enseñe el sentido del valor.
str_troop_train_request_quarrelsome|Miserables zánganos. Me dan arcadas de verlos.
str_troop_train_request_pitiless|Tienen más miedo al enemigo que a mí, y eso no es bueno.
str_troop_train_request_cunning|Pero los hombres, al igual que las espadas, se templan y endurecen con el fuego.
str_troop_train_request_sadistic|Necesitan que alguien les dé unos latigazos para enseñarles lo que es el coraje, o que los mate en el intento.
str_troop_train_request_goodnatured|Son buenos chicos, pero me temo que aún no están listos para la batalla.
str_troop_train_request_upstanding|Enviarlos a una batalla así como están ahora sería un asesinato.
str_unprovoked_attack_default|¿Qué? ¿Por qué nos atacáis? ¡Hablad, granuja!
str_unprovoked_attack_martial|No tengo objeciones a un juicio de armas, pero me gustaría saber por qué nos atacáis.
; str_unprovoked_attack_quarrelsome|You're making a big mistake, {reg59?girl:boy}. What do you think you're doing?
str_unprovoked_attack_pitiless|¿Sí? Si realmente queréis morir hoy me sentiré feliz de complaceros, pero tengo curiosidad por saber qué pretendéis conseguir.
str_unprovoked_attack_cunning|¿En serio? Creo que actuáis de forma muy poco prudente. ¿Qué pretendéis conseguir con todo esto?
str_unprovoked_attack_sadistic|¿Qué es esto? ¿Os gusta que os arranquen los ojos?
; str_unprovoked_attack_goodnatured|Why do you do this? We've got no quarrel, {reg59?madame:sir}.
; str_unprovoked_attack_upstanding|I consider this an unprovoked assault and will protest to your king. Why do you do this?
str_unnecessary_attack_default|No dudaré en mataros si me presionáis, pero os ofrezco la oportunidad de que os vayáis ahora mismo.
; str_unnecessary_attack_martial|I am eager to take you up on your challenge, {reg59?madame:sir}, although I will give you a moment to reconsider.
str_unnecessary_attack_quarrelsome|¡Bah! No estoy de humor para tales tonterías hoy. Idos de aquí.
str_unnecessary_attack_pitiless|Hoy me siento dadivoso. Fingiré que nos os he escuchado.
str_unnecessary_attack_cunning|No veo qué podríais ganar al hacerme vuestro enemigo. Tal vez deberíais iros.
str_unnecessary_attack_sadistic|No tengo tiempo que perder con una babosa como vos. Fuera de mi vista.
; str_unnecessary_attack_goodnatured|I don't see what you have to gain by picking a fight, {reg59?madame:sir}. You can still ride away.
; str_unnecessary_attack_upstanding|If a fight is what you wish, {reg59?madame:sir}, then you will have one, but I will yet offer you the chance to back down.
str_lord_challenged_default|Como queráis. ¡Preparaos para morir!
str_lord_challenged_martial|Que así sea. ¡Defendeos!
str_lord_challenged_quarrelsome|¡Idiota imprudente! ¡Os aplastaré!
str_lord_challenged_pitiless|Si tanto deseáis morir, entonces tendré que complaceros.
str_lord_challenged_cunning|Bueno, si no me dejáis otra opción...
str_lord_challenged_sadistic|¡Basura! Os haré desear no haber nacido.
; str_lord_challenged_goodnatured|Very well. I had hoped that we might avoid coming to blows, but I see that I have no choice.
str_lord_challenged_upstanding|Que así sea. Me entristece que no seáis capaz de razonar.
str_lord_mission_failed_default|Bueno, me decepciona, pero tengo la seguridad de que dispondréis de oportunidades para redimiros.
; str_lord_mission_failed_martial|There is no honour in failing a quest that you endeavoured to take, but I will accept your word on it.
str_lord_mission_failed_quarrelsome|¿Habéis fracasado? Bah. Debería habérmelo imaginado.
str_lord_mission_failed_pitiless|¿Habéis fracasado? Vaya. Me decepcionáis. Y eso no es nada bueno.
str_lord_mission_failed_cunning|Bueno, es una decepción, pero nadie puede garantizar que los vientos de la fortuna siempre sean favorables.
str_lord_mission_failed_sadistic|¿Sí? Quienes me fallan no siempre viven para lamentarlo.
str_lord_mission_failed_goodnatured|Oh, bueno. De todas formas era algo demasiado complicado. Gracias por vuestro esfuerzo.
str_lord_mission_failed_upstanding|Muy bien. Tengo la seguridad que habéis hecho todo lo que habéis podido.
; str_lord_follow_refusal_default|Follow you? You forget your station, {reg59?madame:sir}.
str_lord_follow_refusal_martial|Tal vez si un día demostráis vuestro valor y honor me decida a seguiros. Pero no hoy.
str_lord_follow_refusal_quarrelsome|¿Seguir a alguien como vos? No lo creo.
; str_lord_follow_refusal_pitiless|Lords like me do not follow people like you, {reg59?madame:sir}.
; str_lord_follow_refusal_cunning|First show me that you are the type of {reg59?woman:man} who will not lead me into disaster, and then perhaps I will follow you.
; str_lord_follow_refusal_sadistic|I think not! Rather, you should follow me, as a whipped cur follows {reg59?her:his} master.
str_lord_follow_refusal_goodnatured|Hum, tengo asuntos que solucionar ahora mismo. Tal vez en otro momento.
str_lord_follow_refusal_upstanding|Antes mostradme que sois alguien digno de ser seguido, y entonces puede que os siga.
; str_lord_insult_default|base varlet
str_lord_insult_martial|truhán sin honor
str_lord_insult_quarrelsome|bastardo repugnante
str_lord_insult_pitiless|gusano de baja estofa
str_lord_insult_cunning|bruto necio
str_lord_insult_sadistic|perro baboso
str_lord_insult_goodnatured|tipo desagradable
str_lord_insult_upstanding|sinvergüenza sin escrúpulos
str_lord_derogatory_default|abyecto y vil
str_lord_derogatory_martial|cabezota
str_lord_derogatory_quarrelsome|pendenciero y conflictivo
str_lord_derogatory_pitiless|cruel, tiránico
str_lord_derogatory_cunning|sin escrúpulos y manipulador
str_lord_derogatory_sadistic|vil y deshonroso
str_lord_derogatory_goodnatured|totalmente ingenuo
; str_lord_derogatory_upstanding|stiff-necked and sanctimonious
str_lord_derogatory_result|ruinoso
str_lord_derogatory_martial_action|atacar al enemigo sin orden ni concierto y echar a perder las vidas de vuestros hombres
str_lord_derogatory_quarrelsome_action|buscar peleas con otros señores, dejándonos divididos y débiles
str_lord_derogatory_pitiles_action|alienar a los plebeyos, provocando revueltas y motines
str_lord_derogatory_cunning_action|pactar con el enemigo a nuestras espaldas
str_lord_derogatory_sadistic_action|traer la desgracia a nuestra causa y a nuestro reino
str_lord_derogatory_goodnatured_action|apiadarse de nuestros enemigos, en vez de luchar con ellos
str_lord_derogatory_upstanding_action|poner vuestro exagerado sentido del honor por encima de las necesidades del reino
str_rebellion_dilemma_martial|{s45} ha sufrido claras injusticias. Aunque juré lealtad a {s46}, nada me ata a él si es verdad que usurpó el trono de forma ilegal.
; str_rebellion_dilemma_quarrelsome|Hmm. {s46} has never given me my due, so I don't figure I owe him much. However, maybe {s45} will be no better, and {s46} has at least shown himself.
; str_rebellion_dilemma_pitiless|Hmm. {s45} says {reg3?she:he} is the rightful heir to the throne. That is good; it absolves me of my oath to {s46}. However, I must still weigh my decision carefully.
; str_rebellion_dilemma_cunning|Hmm. I gave an oath of homage to {s46}, yet the powerful are not bound by their oaths as are ordinary people. Our duty is to our own ability to rule, to impose order and prevent the war of all against all.
str_rebellion_dilemma_sadistic|Hum. En este mundo vil, una persona prudente debe pensar en sí misma, pues nadie más lo hará. Así pues, ¿qué ganaría yo?
str_rebellion_dilemma_goodnatured|No sé qué decir. Juré lealtad a {s46} como regente legítimo, pero si no lo es, no sé si mi juramento es válido.
; str_rebellion_dilemma_upstanding|This is troublesome. It is a grave thing to declare my homage to {s46} to be null and void, and dissolve the bonds that keep our land from sinking into anarchy. Yet I am also pledged to support the legitimacy of the succession, and {s45} also has a valid claim to the throne.
str_rebellion_dilemma_2_martial|Por otro lado, {s46} nos ha liderado durante la guerra y la paz y detesto renunciar a mi juramento.
str_rebellion_dilemma_2_quarrelsome|Decidme, ¿por qué debería dar la espalda al bastardo que conozco en favor de {reg3?una mujer:un bastardo} que no conozco?
str_rebellion_dilemma_2_pitiless|Es una situación muy difícil... pedirme que decida a quién haría {reg3?reina:rey} de estas tierras. ¡Pero también es una oportunidad, el momento de recoger lo que se me debe!
; str_rebellion_dilemma_2_cunning|{s46} has been challenged, and thus he will never be able to rule as strongly as one whose claim has never been questioned. However, if {s45} takes the throne by force, {reg3?she:he} will never be as secure as one who succeeds our current ruler legitimately.
; str_rebellion_dilemma_2_sadistic|Perhaps if I join {s45} while {reg3?she:he} is still weak, {reg3?she:he} will enrich me. Or perhaps if I bring {s46} your head, he will give me an even greater reward.
str_rebellion_dilemma_2_goodnatured|{s46} siempre me ha tratado decentemente, pero es verdad que ha sido injusto con {s45}. Tengo mis reservas sobre anular mi juramento a {s46}, pero a su vez creo que no es justo respaldar una injusticia.
str_rebellion_dilemma_2_upstanding|Creo que debo hacer lo mejor para el reino, evitar que sea asolado por la guerra civil y saqueado por sus enemigos.
str_political_philosophy_martial|Mi espada está a disposición de mi señor, siempre que él cumpla con su deber hacia mí.
str_political_philosophy_quarrelsome|Bah. Son todos una panda de desgraciados. Intento asegurarme de que los que me perjudican acaben lamentándolo.
str_political_philosophy_pitiless|Los hombres siempre intentan arrebatarse unos a otros lo que es suyo. En este mundo ingrato, cada uno debe permanecer alerta para defender sus derechos.
str_political_philosophy_cunning|Bueno, es un mundo cruel, y nos toca enfrentarnos a decisiones duras. A veces uno debe servir a un tirano para mantener la paz, pero otras veces un poco de rebelión viene bien para mantener la honestidad de los reyes. Depende de las circunstancias.
str_political_philosophy_sadistic|Mi filosofía es sencilla: mejor ser el lobo que el cordero.
str_political_philosophy_goodnatured|Bueno, deberíais dar fe de vuestras promesas, y no cometer injusticias con otros. A veces es difícil mantener el equilibrio entre ambas cosas. Juntaos con gente de confianza, y creo que será difícil que os equivoquéis mucho.
str_political_philosophy_upstanding|El reinado y el señorío se instituyeron para mantener la paz y prevenir la guerra de todos contra todos, pero eso no debe cegarnos ante la posibilidad de injusticias.
str_political_philosophy_roguish|Hmm.. supongo que mi conclusión es que es bueno ser un señor.
str_political_philosophy_benefactor|Un buen gobernante se asegura de que a todos se nos trate con justicia. Personalmente pretendo utilizar mi autoridad para mejorar la vidas de aquéllos bajo mi tutela.
str_political_philosophy_custodian|Un buen gobernante busca las condiciones propicias para que su gente prospere. Personalmente, pretendo utilizar mi fortuna para crear más fortuna, para mí y para el beneficio común.
str_rebellion_prior_argument_very_favorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono y debo decir que estoy bastante de acuerdo.
str_rebellion_prior_argument_favorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono y debo decir que estoy bastante de acuerdo.
str_rebellion_prior_argument_unfavorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono, pero no los encuentro convincentes.
str_rebellion_prior_argument_very_unfavorable|Ya he escuchado algunos argumentos en favor de vuestro candidato al trono, pero no estoy de acuerdo con ellos.
str_rebellion_rival_martial|{s49} vuestro aliado {s44} cuestionó mi honor y valentía. No tengo muchas oportunidades de enfrentarme a él en batalla y hacer que se retracte de sus palabras.
str_rebellion_rival_quarrelsome|{s49} estáis trabajando con {s44}. Él es una comadreja astuta en la que no se puede confiar.
str_rebellion_rival_pitiless|{s49} parece que os habéis procurado la ayuda de {s44}, que es blando, débil, incapaz de gobernar un feudo y alguien a quien siempre he detestado.
str_rebellion_rival_cunning|{s49} {s44}, que se ha unido a vuestra causa, es terco y pendenciero, y bastante desaconsejable.
str_rebellion_rival_sadistic|{s49} no tengo deseo alguno de luchar junto a {s44}, con sus nauseabundas demostraciones de virtud.
str_rebellion_rival_goodnatured|{s49} no sé si aceptaría estar del mismo lado que {s44}, cuya reputación de crueldad es notoria.
str_rebellion_rival_upstanding|{s49} en mi opinión vuestro aliado {s44} es peligroso, no se puede confiar en él y no tiene principios.
str_rebellion_argument_favorable|respeto vuestros argumentos
str_rebellion_argument_neutral|encuentro vuestros argumentos moderadamente acertados
str_rebellion_argument_unfavorable|no me parecen acertados vuestros argumentos
str_rebellion_persuasion_favorable|exponéis vuestro caso elocuentemente
str_rebellion_persuasion_neutral|exponéis vuestro caso razonablemente
str_rebellion_persuasion_unfavorable|vuestra exposición no es convincente
str_rebellion_relation_very_favorable|os tengo el mayor de los respetos.
str_rebellion_relation_favorable|os conozco y respeto.
str_rebellion_relation_neutral|no os conozco tanto como quisiera.
str_rebellion_relation_unfavorable|no me fío de vos.
str_and_comma_3|Lo que es más, 
str_but_comma_3|Sin embargo, 
str_and_comma_1|, y 
str_but_comma_1|, pero 
str_and_comma_2|. Además, 
str_but_comma_2|. No obstante, 
str_rebellion_agree_martial|He tomado una decisión. Apoyaré a {s45} como legítimo heredero.
str_rebellion_agree_quarrelsome|Ahh, ya he pensado lo suficiente. La verdad es que nunca me gustó {s46}. Vayamos a quitarle su trono.
str_rebellion_agree_pitiless|No. No me uniré a vuestra rebelión. Me suena simplemente al lloriqueo de un niño a quien se le niega un juguete que cree suyo. Seguiré siendo leal a {s46}, cuya habilidad de liderazgo es bien conocida.
str_rebellion_agree_cunning|Lo siento. No me dais razones para confiar en vuestra victoria. Muchos morirán, pero yo no quiero estar entre ellos. Continuaré siendo leal a {s46}.
; str_rebellion_agree_sadistic|I have decided. I will back your {reg3?woman:man} {s45}, but you'd best make sure that {reg3?she:he} rewards me well!
str_rebellion_agree_goodnatured|Lo siento. No me parece bien traicionar a {s46}. No habrá resentimientos cuando nos encontremos en el campo de batalla.
str_rebellion_agree_upstanding|Lo siento. La pretensión de {s45} no es lo suficientemente firme como para infligir sobre las pobres almas de estas tierras la maldición del desorden civil. Continuaré apoyando a {s46}. Que los Cielos me perdonen si me equivoco.
str_rebellion_refuse_martial|Lo siento. La reclamación de {s45} es legítima, pero no es suficiente como para renunciar al juramento que he contraído con {s46}. Seré leal a mi señor.
str_rebellion_refuse_quarrelsome|No. Vuestro angelito, {s45}, no tiene lo que hay que tener para gobernar este reino. Seguiré siendo fiel a {s46}.
; str_rebellion_refuse_pitiless|No. I will not join your rebellion. I count it little more than the tantrum of a child, denied a bauble which {reg3?she:he} thinks should be {reg3?hers:his}. I will stick with {s46}, whose ability to rule is well tested.
; str_rebellion_refuse_cunning|I am sorry. You do not give me reason for confidence that you will win. Many will die, but I do not wish to be among them. I will continue to back {s46}.
