str_yes|Tak.
; str_s21__the_s5_is_bound_by_alliance_not_to_attack_the_s14s18_the_alliance_will_expire_in_reg1_days|{s21}^^* The {s5} has an alliance with {s14}.{s18} The alliance will expire in {reg1} days.
; str_alliance_durantion_days_expire|{s21}^^* The {s5} has formalized an alliance with the {s14}.{s18} The alliance will expire in {reg1} days.
; str_s21__the_s5_has_recently_suffered_provocation_by_subjects_of_the_s14_and_there_is_a_risk_of_war|{s21}^^* The {s5} has recently suffered provocation by subjects of the {s14}, and there is a risk of war.
; str_s21__the_s5_has_no_outstanding_issues_with_the_s14|{s21}^^* The {s5} has no outstanding issues with the {s14}.
; str_s21_the_s14_was_recently_provoked_by_subjects_of_the_s5_and_there_is_a_risk_of_war_|{s21}^^* The {s14} was recently provoked by subjects of the {s5}, and there is a risk of war.^
; str_the_s5_is_ruled_by_s6_it_occupies_s8_its_vassals_are_s10__s21|The {s5} is ruled by {s6}.^^It occupies:^{s8}.^^Its vassals are:^{s10}.^^{s21}
; str_assigned_lord_reputation_and_relations_cheat_mode_reg3|Assigned lord reputation and relations, cheat mode: {reg3}
; str_reg4_killed_reg5_wounded_reg6_routed|{reg4} killed or seriously wounded, {reg5} minor wounded, {reg6} routed
; str_reg4_killed_reg5_routed|{reg4} killed or seriously wounded, {reg5} routed
; str_reg4_killed_reg5_wounded|{reg4} killed or seriously wounded, {reg5} minor wounded
; str_reg4_wounded_reg5_routed|{reg4} minor wounded, {reg5} routed
; str_s4_awarded_to_s5|{s4} awarded to {s5}
; str_calculating_sortie_for_s4_strength_of_reg3_vs_reg4_enemies|Calculating sortie for {s4}, strength of {reg3} vs {reg4} enemies
; str_current_wealth_reg1_taxes_last_collected_from_s4|Current wealth: {reg1}. Taxes last collected from {s4}
; str_no_relation|no relation
; str_wife|wife
; str_husband|husband
; str_father|father
; str_mother|mother
; str_daughter|daughter
; str_son|son
; str_sister|sister
; str_brother|brother
; str_niece|niece
; str_nephew|nephew
; str_aunt|aunt
; str_uncle|uncle
; str_cousin|cousin
; str_daughterinlaw|daughter-in-law
; str_soninlaw|son-in-law
; str_motherinlaw|mother-in-law
; str_fatherinlaw|father-in-law
; str_sisterinlaw|sister-in-law
; str_brotherinlaw|brother-in-law
; str_print_party_members_entered|print party members entered
; str_num_companion_stacks_=_reg10|num companion stacks = {reg10}
; str_someone|someone
; str_i_take_what_work_i_can_sirmadame_i_carry_water_or_help_the_merchants_with_their_loads_or_help_build_things_if_theres_things_to_be_built|I take what work I can, {reg59?madame:sir}. I carry water, or help the merchants with their loads, or help build things, if there are things to be built.
; str_im_not_doing_anything_sirmadame_theres_no_work_to_be_had_around_here_these_days|I'm not doing anything, {reg59?madame:sir}. There's no work to be had around here these days.
; str_im_not_doing_anything_sirmadame_i_have_no_land_of_my_own_and_theres_no_work_to_be_had_around_here_these_days|I'm not doing anything, {reg59?madame:sir}. I have no land of my own, and there's no work to be had around here these days.
; str_why_im_still_living_off_of_your_kindness_and_goodness_sirmadame_hopefully_there_will_be_work_shortly|Why, I'm still living off of your kindness and goodness, {reg59?madame:sir}. Hopefully there will be work, shortly.
; str_i_work_in_the_fields_just_outside_the_walls_where_they_grow_grain_we_dont_quite_grow_enough_to_meet_our_needs_though_and_have_to_import_grain_from_the_surrounding_countryside|I work in the fields, just outside the walls, where they grow grain. We don't quite grow enough to meet our needs, though, and have to import grain from the surrounding countryside.
; str_i_work_mostly_in_the_fields_growing_grain_in_the_town_they_grind_it_to_make_bread_or_ale_and_we_can_also_boil_it_as_a_porridge|I work mostly in the fields, growing grain. In the town they grind it to make bread or ale, and we can also boil it as a porridge.
; str_i_work_in_the_breweries_making_ale_the_poor_folk_drink_a_lot_of_it_as_its_cheaper_than_wine_we_make_it_with_grain_brought_in_from_the_countryside|I work in the breweries, making ale. The poor folk drink a lot of it, as it's cheaper than mead. We make it with grain brought in from the countryside.
; str_i_work_in_a_mill_grinding_flour_to_make_bread_bread_is_cheap_keeps_well_and_fills_the_stomach|I work in a mill, grinding flour to make bread. Bread is cheap, keeps well, and fills the stomach.
; str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk|I tend cattle. We dry and salt meat to preserve it, and send the hides to the towns to be made into leather. We also make cheese from the milk.
; str_i_tend_cattle_we_dry_and_salt_meat_to_preserve_it_and_make_cheese_from_the_milk_so_it_doesnt_spoil|I tend cattle. We dry and salt meat to preserve it, and send the hides to the towns to be made into leather. We also make cheese from the milk.
; str_i_tend_sheep_we_send_the_wool_to_the_cities_to_be_woven_into_cloth_and_make_mutton_sausage_when_we_cull_the_herds|I tend sheep. We send the wool to the cities to be woven into cloth, and make mutton sausage when we cull the herds.
; str_i_work_at_a_loom_spinning_cloth_from_wool_wool_is_some_of_the_cheapest_cloth_you_can_buy_but_it_will_still_keep_you_warm|I work at a loom, spinning cloth from wool. Wool is some of the cheapest cloth you can buy, but it will still keep you warm.
; str_i_crew_a_fishing_boat_we_salt_and_smoke_the_flesh_to_sell_it_far_inland|I crew a fishing boat. We salt and smoke the flesh, to sell it far inland.
; str_i_sift_salt_from_a_nearby_flat_they_need_salt_everywhere_to_preserve_meat_and_fish|I sift salt from a nearby flat. They need salt everywhere, to preserve meat and fish.
; str_i_mine_iron_from_a_vein_in_a_nearby_cliffside_they_use_it_to_make_tools_arms_and_other_goods|I mine iron from a vein in a nearby cliffside. They use it to make tools, arms, and other goods.
; str_i_make_pottery_which_people_use_to_store_grain_and_carry_water|I make pottery, which people use to store grain and carry water.
; str_trade_explanation_tools|I work in a smithy, {reg59?madame:sir}, making all sorts of ironware -- knives, axes, pots, plough-blades, scythes, hammers, anvils, tongs, adzes, saws, nails, horseshoes, firesteel, braziers, and of course arms and armor for your excellencies.
; str_trade_explanation_tar|I work in a tar kiln, producing tar from pine wood brought in from the countryside. If you can afford it, our tar has a hundred uses – to waterproof sails and boats or to protect leather.
; str_trade_explanation_linen|I weave linen, using flax brought in from the surrounding countryside. It's makes a tough, light fabric, {reg59?madame:sir} -- good for summer clothing, sails for boats, and the like.
; str_trade_explanation_silver|I work in one of this town's silver smithies, carefully making the jewelry for which we are known. We use the precious metal brought from the German silver mines of the Harz Mountains, to make of it the finest and most expensive ornaments that can be found in the land.
; str_trade_explanation_mead|I work in a mead factory, collecting honey from the beehives to put into barrels. I mix it with pure water, for fermenting. Mead is cheaper than wine and more renowned than beer. No feast can be held without it.
; str_trade_explanation_apples|I'm just coming in from the orchards, where we grow apples. We dry them for storage, or it can also be made into cider or vinegar.
; str_trade_explanation_barley|I work in the barley fields, growing corn to feed the cattle and to make ale to quench the thirst of the commons.
; str_trade_explanation_ivory|I sail to the far north to hunt walrus on the remote beaches of the icy land beyond the ocean. These marine beast have two prominent tusks of fine ivory. Back home, carvers make a lot of precious objects with this hard, expensive and pure white material.
; str_trade_explanation_leatherwork|I work in the tanneries outside the walls, turning cured hides from the countryside into good, supple leather. It's foul work, and I come home stinking of urine, dung, and lime -- but that's where your boots, saddles, and bridles come from, {reg59?my lady:sir}.
; str_trade_explanation_flax|I sew and harvest linseed, and rot the stems to make flax fibers. That's the source of your fine linens, {reg59?my lady:sir} -- a rotting pit on the edge of a field.
; str_trade_explanation_soapstone|I work in a quarry of soapstone. This stone can be hewed directly from the rock face and shaped to be sold here and abroad. Soapstone is relatively soft and can be easily carved, so it’s used for sculpture or bowls.
; str_trade_explanation_venison|I hunt deer in the forest and work in a smokehouse, in which I smoke meat to preserve it for long periods. During the cold season, and even in summer, venison is the finest meal you can eat.
; str_s14_i_hear_that_you_can_find_a_good_price_for_it_in_s15|{s14} I hear that you can find a good price for it in {s15}.
; str_s2s_rebellion|{s2}'s Rebellion
; str_political_suggestion|Political suggestion
; str_instability_reg0_of_lords_are_disgruntled_reg1_are_restless|Instability: {reg0}% of lords are disgruntled, {reg1}% are restless
; str_reg1shehe_is_prisoner_of_s1|{reg1?She:He} is prisoner of the {s1}.
; str_s39_rival|{s39} (rival)
; str_s41_s39_rival|{s41}, {s39} (rival)
; str_reputation_cheat_mode_only_martial_|Reputation (cheat mode only): Martial^
; str_reputation_cheat_mode_only_debauched_|Reputation (cheat mode only): Debauched^
; str_reputation_cheat_mode_only_pitiless_|Reputation (cheat mode only): Pitiless^
; str_reputation_cheat_mode_only_calculating_|Reputation (cheat mode only): Calculating^
; str_reputation_cheat_mode_only_quarrelsome_|Reputation (cheat mode only): Quarrelsome^
; str_reputation_cheat_mode_only_goodnatured_|Reputation (cheat mode only): Good-natured^
; str_reputation_cheat_mode_only_upstanding_|Reputation (cheat mode only): Upstanding^
; str_reputation_cheat_mode_only_conventional_|Reputation (cheat mode only): Conventional^
; str_reputation_cheat_mode_only_adventurous_|Reputation (cheat mode only): Adventurous^
; str_reputation_cheat_mode_only_romantic_|Reputation (cheat mode only): Romantic^
; str_reputation_cheat_mode_only_moralist_|Reputation (cheat mode only): Moralist^
; str_reputation_cheat_mode_only_ambitious_|Reputation (cheat mode only): Ambitious^
; str_reputation_cheat_mode_only_reg11_|Reputation (cheat mode only): {reg11}^
; str_reputation_only_martial_|As far as you know, his personality seems to be Martial^
; str_reputation_only_debauched_|As far as you know, his personality seems to be Debauched^
; str_reputation_only_pitiless_|As far as you know, his personality seems to be Pitiless^
; str_reputation_only_calculating_|As far as you know, his personality seems to be Calculating^
; str_reputation_only_quarrelsome_|As far as you know, his personality seems to be Quarrelsome^
; str_reputation_only_goodnatured_|As far as you know, his personality seems to be Good-natured^
; str_reputation_only_upstanding_|As far as you know, his personality seems to be Upstanding^
; str_reputation_only_conventional_|As far as you know, his personality seems to be Conventional^
; str_reputation_only_adventurous_|As far as you know, his personality seems to be Adventurous^
; str_reputation_only_romantic_|As far as you know, his personality seems to be Romantic^
; str_reputation_only_moralist_|As far as you know, his personality seems to be Moralist^
; str_reputation_only_ambitious_|As far as you know, his personality seems to be Ambitious^
; str_reputation_only_reg11_|Reputation (cheat mode only): {reg11}^
; str_love_interest|love interest
; str_betrothed|betrothed
; str_other_relations_s40_|Other relations: {s40}^
; str_relation_with_liege_reg0_|Relation with liege: {reg0}^
; str_sense_of_security_military_reg1_court_position_reg3_|Sense of security: military {reg1}, court position {reg3}^
; str_political_details_s47_|Political details:^{s47}^
; str_the_s55|the {s55}
; str_travellers_on_the_road|travellers on the road
; str_a_short_while_ago|a short while ago
; str_one_day_ago|one day ago
; str_two_days_day_ago|two days day ago
; str_earlier_this_week|earlier this week
; str_about_a_week_ago|about a week ago
; str_about_two_weeks_ago|about two weeks ago
; str_several_weeks_ago|several weeks ago
; str_unknown_assailants|unknown assailants
; str_swadians|Britons
; str_vaegirs|Vikings
; str_khergits|Saxons
; str_nords|Angles
; str_rhodoks|Goidels
; str_sarranids|Picts
; str_bandits|bandits
; str_deserters|deserters
; str_your_followers|your followers
; str_we_have_heard_that_travellers_heading_to_s40_were_attacked_on_the_road_s46_by_s39|We have heard that travellers heading to {s40} were attacked on the road {s46} by {s39}
; str_we_have_heard_that_travellers_coming_from_s40_were_attacked_on_the_road_s46_by_s39|We have heard that travellers coming from {s40} were attacked on the road {s46} by {s39}
; str_travellers_coming_from_s40_traded_here_s46|Travellers coming from {s40} traded here {s46}
; str_it_is_still_early_in_the_caravan_season_so_we_have_seen_little_tradings42|It is still early in the caravan season, so we have seen little trading.{s42}
; str_there_has_been_very_little_trading_activity_here_recentlys42|There has been very little trading activity here recently.{s42}
; str_there_has_some_trading_activity_here_recently_but_not_enoughs42|There has some trading activity here recently, but not enough.{s42}
; str_there_has_some_trading_activity_here_recently_but_the_roads_are_dangerouss42|There has some trading activity here recently, but the roads are dangerous.{s42}
; str_the_roads_around_here_are_very_dangerouss42|The roads around here are very dangerous.{s42}
; str_we_have_received_many_traders_in_town_here_although_there_is_some_danger_on_the_roadss42|We have received many traders in town here, although there is some danger on the roads.{s42}
; str_we_have_received_many_traders_in_town_heres42|We have received many traders in town here.{s42}
; str_there_is_little_news_about_the_caravan_routes_to_the_towns_of_s44_and_nearby_parts_but_no_news_is_good_news_and_those_are_therefore_considered_safe|There is little news about the caravan routes to the towns of {s44} and nearby parts. But no news is good news, and those are therefore considered safe.
; str_s47_also_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|{s47} Also, the roads to the villages of {s44} and other outlying hamlets are considered safe.
; str_however_the_roads_to_the_villages_of_s44_and_other_outlying_hamlets_are_considered_safe|However, the roads to the villages of {s44} and other outlying hamlets are considered safe.
; str_we_have_shortages_of|We have shortages of
; str_we_have_adequate_stores_of_all_commodities|We have adequate stores of all commodities
; str_s33_and_some_other_commodities|{s33} and some other commodities
; str_the_roads_are_full_of_brigands_friend_but_that_name_in_particular_does_not_sound_familiar_good_hunting_to_you_nonetheless|The roads are full of brigands, friend, but that name in particular does not sound familiar. Good hunting to you, nonetheless.
; str_less_than_an_hour_ago|less than an hour ago
; str_maybe_reg3_hours_ago|maybe {reg3} hours ago
; str_reg3_days_ago|{reg3} days ago
; str_youre_in_luck_we_sighted_those_bastards_s16_near_s17_hurry_and_you_might_be_able_to_pick_up_their_trail_while_its_still_hot|You're in luck. We sighted those bastards {s16} near {s17}. Hurry, and you might be able to pick up their trail while it's still hot.
; str_you_speak_of_claims_to_the_throne_good_there_is_nothing_id_rather_do_than_fight_for_a_good_cause|You speak of claims to the throne. Good. There is nothing I'd rather do than fight for a good cause.
; str_you_speak_of_claims_to_the_throne_well_there_is_nothing_id_rather_do_than_fight_for_a_good_cause_but_the_claim_you_make_seems_somewhat_weak|You speak of claims to the throne. Well, there is nothing I'd rather do than fight for a good cause, but the claim you make seems somewhat weak.
; str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_which_are_sometimes_trod_upon_in_these_sorry_days|I am pleased that you speak of upholding my ancient rights, which are sometimes trod upon in these sorry days.
; str_i_am_pleased_that_you_speak_of_upholding_my_ancient_rights_but_sometimes_men_make_pledges_before_they_are_king_which_they_cannot_keep_once_they_take_the_throne|I am pleased that you speak of upholding my ancient rights. But sometimes men make pledges before they are king, which they cannot keep once they take the throne.
; str_you_speak_of_protecting_the_commons_well_i_supposed_thats_good_but_sometimes_the_commons_overstep_their_boundaries_im_more_concerned_that_your_claim_be_legal_so_i_can_swing_my_sword_with_a_good_conscience|You speak of protecting the commons. Well, I supposed that's good, but sometimes the commons overstep their boundaries. I'm more concerned that your claim be legal, so I can swing my sword with a good conscience.
; str_you_speak_of_giving_me_land_good_i_ask_for_no_more_than_my_due|You speak of giving me land. Good. I ask for no more than my due.
; str_you_speak_of_giving_me_land_unfortunately_you_are_not_wellknown_for_rewarding_those_to_whom_you_have_made_such_offers|You speak of giving me land. Unfortunately, you are not well known for rewarding those to whom you have made such offers.
; str_you_speak_of_unifying_calradia_well_i_believe_that_well_always_be_fighting__its_important_that_we_fight_for_a_rightful_cause|You speak of unifying these lands. Well, I believe that we'll always be fighting - it's important that we fight for a rightful cause.
; str_you_talk_of_claims_to_the_throne_but_i_leave_bickering_about_legalities_to_the_lawyers_and_clerks|You talk of claims to the throne, but I leave bickering about legalities to the lawyers and clerks.
; str_you_speak_of_ruling_justly_hah_ill_believe_theres_such_a_thing_as_a_just_king_when_i_see_one|You speak of ruling justly. Hah! I'll believe there's such a thing as a just king when I see one.
; str_you_spoke_of_protecting_the_rights_of_the_nobles_if_you_did_youd_be_the_first_king_to_do_so_in_a_very_long_time|You spoke of protecting the rights of the nobles. If you did, you'd be the first king to do so in a very long time.
; str_you_speak_of_giving_me_land_ay_well_lets_see_if_you_deliver|You speak of giving me land. Ay, well, let's see if you deliver.
; str_you_speak_of_giving_me_land_bah_youre_not_known_for_delivering_on_your_pledges|You speak of giving me land. Bah. You're not known for delivering on your pledges.
; str_you_speak_of_unifying_calradia_well_youve_done_a_good_job_at_making_calradia_bend_its_knee_to_you_so_maybe_thats_not_just_talk|You speak of unifying these lands. Well, you've done a good job at making this country bend its knee to you, so maybe that's not just talk.
; str_you_speak_of_unifying_calradia_id_be_impressed_if_i_thought_you_could_do_it_but_unfortunately_you_dont|You speak of unifying these lands. I'd be impressed if I you could do it, but unfortunately, you can't.
; str_you_speak_of_claims_to_the_throne_well_any_peasant_can_claim_to_be_a_kings_bastard|You speak of claims to the throne. Well, any peasant can claim to be a king's bastard
; str_well_its_a_fine_thing_to_court_the_commons_with_promises_but_what_do_you_have_to_offer_me|Well, it's a fine thing to court the commons with promises, but what do you have to offer me?
; str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected|You speak of protecting the rights of lords. That would make a fine change, if my rights as lord would be respected.
; str_you_speak_of_protecting_the_rights_of_lords_that_would_make_a_fine_change_if_my_rights_as_lord_would_be_respected_however_it_is_easy_for_you_to_make_promises_while_you_are_weak_that_you_have_no_intention_of_keeping_when_you_are_strong|You speak of protecting the rights of lords. That would make a fine change, if my rights as lord would be respected. However, it is easy for you to make promises while you are weak, that you have no intention of keeping when you are strong.
; str_you_speak_of_giving_me_land_well_my_family_is_of_ancient_and_noble_lineage_so_you_promise_me_no_more_than_my_due_still_your_gesture_is_appreciated|You speak of giving me land. Well, my family is of ancient and noble lineage, so you promise me no more than my due. Still, your gesture is appreciated.
; str_you_speak_of_giving_me_land_well_you_make_that_pledge_but_i_am_not_impressed|You speak of giving me land. Well, you make that pledge, but I am not impressed.
; str_you_speak_of_unifying_calradia_well_much_of_this_land_now_bends_its_knee_to_you_so_perhaps_that_is_not_just_talk|You speak of unifying these lands. Well, much of this land now bends its knee to you, so perhaps that is not just talk.
; str_you_speak_of_unifying_calradia_but_right_now_yours_is_just_one_squabbling_faction_among_many|You speak of unifying these lands, but right now, yours is but one squabbling faction among many.
; str_you_speak_of_claims_well_no_offense_but_a_claim_unsupported_by_might_rarely_prospers|You speak of claims. Well, no offense, but a claim unsupported by might rarely prospers.
; str_you_speak_of_protecting_the_commons_well_i_suppose_that_will_make_for_a_more_prosperous_realm_ive_always_tried_to_treat_my_peasants_decently_saves_going_to_bed_worrying_about_whether_youll_wake_up_with_the_roof_on_fire|You speak of protecting the commons. Well, I suppose that will make for a more prosperous realm. I've always tried to treat my peasants decently. Saves going to bed worrying about whether you'll wake up with the roof on fire.
; str_you_speak_of_protecting_the_commons_very_well_but_remember_that_peasants_are_more_likely_to_cause_trouble_if_you_make_promises_then_dont_deliver_than_if_you_never_made_the_promise_in_the_first_place|You speak of protecting the commons. Very well. But remember that peasants are more likely to cause trouble if you make promises then don't deliver, than if you never made the promise in the first place.
; str_you_speak_of_protecting_the_rights_of_lords_good_youd_be_well_advised_to_do_that__men_fight_better_for_a_king_wholl_respect_their_rights|You speak of protecting the rights of lords. Good. You'd be well advised to do that -- men fight better for a king who'll respect their rights.
; str_you_speak_of_protecting_the_rights_of_lords_very_well_but_remember__failing_to_keep_promises_which_you_made_while_scrambling_up_the_throne_is_the_quickest_way_to_topple_off_of_it_once_you_get_there|You speak of protecting the rights of lords. Very well, but remember -- failing to keep promises that you made while scrambling up the throne is the quickest way to topple off of it once you get there.
; str_you_speak_of_giving_me_land_very_good_but_often_i_find_that_when_a_man_makes_too_many_promises_trying_to_get_to_the_top_he_has_trouble_keeping_them_once_he_reaches_it|You speak of giving me land. Very good, but often I find that when a man makes too many promises trying to get to the top, he has trouble keeping them once he reaches it.
; str_you_speak_of_unifying_calradia_well_many_have_said_that_you_might_very_well_be_the_one_to_do_it|You speak of unifying these lands. Well, many have said that, you might very well be the one to do it.
; str_you_speak_of_unifying_calradia_well_all_the_kings_say_that_im_not_sure_that_you_will_succeed_while_they_fail|You speak of unifying these lands. Well, all the kings say that. I'm not sure that you will succeed while they fail.
; str_you_speak_of_claims_do_you_think_i_care_for_the_nattering_of_lawyers|You speak of claims. Do you think I care for the nattering of lawyers?
; str_you_speak_of_protecting_the_commons_how_kind_of_you_i_shall_tell_my_swineherd_all_about_your_sweet_promises_no_doubt_he_will_become_your_most_faithful_vassal|You speak of protecting the commons. How kind of you! I shall tell my swineherd all about your sweet promises. No doubt he will become your most faithful vassal.
; str_you_speak_of_protecing_the_rights_of_lords_such_sweet_words_but_ill_tell_you_this__the_only_rights_that_are_respected_in_this_world_are_the_rights_to_dominate_whoever_is_weaker_and_to_submit_to_whoever_is_stronger|You speak of protecting the rights of lords. Such sweet words! But I'll tell you this -- the only rights that are respected in this world are the rights to dominate whoever is weaker, and to submit to whoever is stronger.
; str_you_speak_of_giving_me_land_yes_very_good__but_you_had_best_deliver|You speak of giving me land. Yes, very good -- but you had best deliver.
; str_you_speak_of_giving_me_land_hah_perhaps_all_those_others_to_whom_you_promised_lands_will_simply_step_aside|You speak of giving me land. Hah! Perhaps all those others to whom you promised lands will simply step aside?
; str_you_speak_of_unifying_calradia_you_may_indeed_humble_the_other_kings_of_this_land_and_in_that_case_i_would_hope_that_you_would_remember_me_as_your_faithful_servant|You speak of unifying these lands. You may indeed humble the other kings of this land, and in that case, I would hope that you would remember me as your faithful servant.
; str_you_speak_of_unifying_calradia_but_you_are_weak_and_i_think_that_you_will_remain_weak|You speak of unifying these lands. But you are weak, and I think that you will remain weak.
; str_you_speak_of_claims_its_good_for_a_king_to_have_a_strong_claim_although_admittedly_im_more_concerned_that_he_rules_just_ly_than_with_legalities_anyway_your_claim_seems_wellfounded_to_me|You speak of claims. It's good for a king to have a strong claim, although admittedly I'm more concerned that he rules justly than with legalities. Anyway, your claim seems well founded to me.
; str_you_speak_of_claims_but_your_claim_seems_a_bit_weak_to_me|You speak of claims, but your claim seems a bit weak to me.
; str_you_speak_of_protecting_the_commons_i_like_that_my_tenants_are_a_happy_lot_i_think_but_i_hear_of_others_in_other_estates_that_arent_so_fortunate|You speak of protecting the commons. I like that. My tenants are a happy lot, I think, but I hear of others in other estates that aren't so fortunate.
; str_you_speak_of_protecting_the_commons_im_glad_to_hear_you_say_that_but_do_me_a_favor__dont_promise_the_commons_anything_you_cant_deliver_thats_a_sure_way_to_get_them_to_rebel_and_it_breaks_my_heart_to_have_to_put_them_down|You speak of protecting the commons. I'm glad to hear you say that. But do me a favor -- don't promise the commons anything you can't deliver. That's a sure way to get them to rebel, and it breaks my heart to have to put them down.
; str_you_speak_of_protecting_the_rights_of_lords_well_very_good_i_suppose_but_you_know__we_lords_can_take_of_ourselves_its_the_common_folk_who_need_a_strong_king_to_look_out_for_them_to_my_mind|You speak of protecting the rights of lords. Well, very good, I suppose. But you know -- we lords can take care of ourselves. It's the common folk who need a strong king to look out for them, to my mind.
; str_you_speak_of_giving_me_land_its_kind_of_you_really_though_that_is_not_necessary|You speak of giving me land. It's kind of you. Really, though, that is not necessary.
; str_you_speak_of_unifying_calradia_well_maybe_you_can_unite_this_land_by_the_sword_but_im_not_sure_that_this_will_make_you_a_good_ruler|You speak of unifying these lands. Well, maybe you can unite this land by the sword. But I'm not sure that this will make you a good ruler.
; str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_and_yours_is_wellestablished|You speak of claims. A king must have a strong legal claim for there not to be chaos in the realm, and yours is well established.
; str_you_speak_of_claims_a_king_must_have_a_strong_legal_claim_for_there_not_to_be_chaos_in_the_realm_but_your_claim_is_not_so_strong|You speak of claims. A king must have a strong legal claim for there not to be chaos in the realm, but your claim is not so strong.
; str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_although_i_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice|You speak of protecting the rights of lords. It is of course important that a king respect the rights of his vassals, although I worry that a king who took a throne without proper cause would not rule with justice.
; str_you_speak_of_protecting_the_rights_of_lords_it_is_of_course_important_that_a_king_respect_the_rights_of_his_vassals_however_i_would_like_to_know_that_you_would_indeed_deliver_on_your_promises|You speak of protecting the rights of lords. It is of course important that a king respect the rights of his vassals. However, I would like to know that you would indeed deliver on your promises.
; str_you_speak_of_protecting_the_commons_i_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects_although_i_worry_that_a_king_who_took_a_throne_without_proper_cause_would_not_rule_with_justice|You speak of protecting the commons. I would be pleased to serve a king who respected the rights of his subjects, although I worry that a king who took a throne without proper cause would not rule with justice.
; str_you_speak_of_protecting_the_commons_i_would_be_pleased_to_serve_a_king_who_respected_the_rights_of_his_subjects_however_i_would_like_to_know_that_you_would_indeed_deliver_on_your_promises|You speak of protecting the commons. I would be pleased to serve a king who respected the rights of his subjects. However, I would like to know that you would indeed deliver on your promises.
; str_i_am_not_swayed_by_promises_of_reward|I am not swayed by promises of reward
; str_you_speak_of_unifying_calradia_it_would_be_good_to_bring_peace_to_the_realm_and_i_believe_that_you_are_strong_enough_to_do_so|You speak of unifying these lands. It would be good to bring peace to the realm, and I believe that you are strong enough to do so.
; str_you_speak_of_unifying_calradia_it_would_be_good_to_bring_peace_the_realm_but_with_your_kingdom_in_its_current_state_i_worry_that_you_are_just_bringing_more_discord|You speak of unifying these lands. It would be good to bring peace the realm, but with your kingdom in its current state, I worry that you are just bringing more discord.
; str_my_s11_s15|my {s11} {s15}
; str_my_s11_s18|My {s11} {s18}
; str_the_socalled_s11_s18|The so-called {s11} {s18}
; str_s18_would_cheat_me_of_my_inheritance_by_heaven_i_know_my_rights_and_im_not_going_to_back_down|{s18} would cheat me of my inheritance. By heaven, I know my rights, and I'm not going to back down.
; str_s18_once_questioned_my_honour_and_my_bravery_i_long_for_the_day_when_i_can_meet_him_in_battle_and_make_him_retract_his_statement|{s18} once questioned my honour and my bravery. I long for the day when I can meet him in battle and make him retract his statement.
; str_s18_once_questioned_my_judgment_in_battle_by_heaven_would_he_have_us_shirk_our_duty_to_smite_our_sovereigns_foes|{s18} once questioned my judgment in battle. By heaven, would he have us shirk our duty to smite our sovereign's foes?
; str_s18_seems_to_think_he_has_the_right_to_some_of_my_property_well_he_does_not|{s18} seems to think he has the right to some of my property. Well, he does not.
; str_s18_once_took_something_i_said_amiss_stubborn_bastard_wont_give_it_up_and_keeps_trying_to_get_me_to_recant_my_words|{s18} once took something I said amiss. Stubborn bastard won't give it up and keeps trying to get me to recant my words.
; str_s18_is_a_crafty_weasel_and_i_dont_trust_him_one_bit|{s18} is a crafty weasel. I don't trust him one bit.
; str_s18_i_despite_him_he_puts_on_such_a_nauseating_display_of_virtue_and_thinks_nothing_of_insulting_his_betters|{s18}? I despise him. He puts on such a nauseating display of virtue and thinks nothing of insulting his betters.
; str_s18_entered_into_a_little_deal_with_me_and_is_now_trying_to_wriggle_out_of_it|{s18} entered into a little deal with me and is now trying to wriggle out of it.
; str_s18_once_ran_an_errand_for_me_and_now_thinks_i_owe_him_something_i_owe_his_ilk_nothing|{s18} once ran an errand for me and now thinks I owe him something. I owe his ilk nothing.
; str_s18_is_soft_and_weak_and_not_fit_to_govern_a_fief_and_i_have_always_detested_him|{s18} is soft, weak, and not fit to govern a fief. I have always detested him.
; str_s18_is_a_quarrelsome_oaf_and_a_liability_in_my_opinion_and_ive_let_him_know_as_much|{s18} is a quarrelsome oaf and a liability, in my opinion, and I've let him know as much.
; str_s18_i_am_sorry_to_say_is_far_too_softhearted_a_man_to_be_given_any_kind_of_responsibility_his_chivalry_will_allow_the_enemy_to_flee_to_fight_another_day_and_will_cost_the_lives_of_my_own_faithful_men|{s18}, I am sorry to say, is far too softhearted a man to be given any kind of responsibility. His chivalry will allow the enemy to flee to fight another day, costing the lives of my own faithful men.
; str_s18_seems_to_have_something_against_me_for_some_reason_i_dont_like_to_talk_ill_of_people_but_i_think_hes_can_be_a_bit_of_a_cad_sometimes|{s18} seems to have something against me, for some reason. I don't like to talk ill of people, but I think he can be a bit of a cad, sometimes.
; str_s18_has_always_treated_me_contemptuously_although_i_have_done_him_no_wrong|{s18} has always treated me contemptuously, although I have done him no wrong.
