str_yes|Si.
; str_rebellion_refuse_goodnatured|I am sorry. I don't feel right turning my back on {s46}. No hard feelings when we next meet on the battlefield, eh?
; str_rebellion_refuse_upstanding|I am sorry. {s45}'s claim is not strong enough for me to inflict the curse of civil disorder on the poor wretches of this land. I will continue to back {s46}. May the Heavens forgive me if I do wrong.
str_talk_later_martial|Ora non è tempo di parlare di politica! Io sono qui oggi con gli altri lords, armati per la battaglia. Sarà meglio che vi prepariate a combattere.
; str_talk_later_quarrelsome|Do you expect me to discuss betraying my liege with you while we are surrounded by his army? What do you take me for, a bloody idiot?
str_talk_later_pitiless|Frenate la lingua! Quando mai ho parlato in questi termini? Non lo dirò qui ora, mentre siamo in mezzo al nostro esercito.
; str_talk_later_cunning|This is hardly the time or the place for such a discussion. Perhaps we can discuss it at a later time and a different place, but for now, we're still foes.
str_talk_later_sadistic|Dovreste cucirvi la bocca! Potete immaginare cosa accadrebbe se gli altri vassalli mi vedessero parlare con voi di tradimento?
str_talk_later_goodnatured|Così volete discutere con me della vostra ribellione? Riprovateci quando non saremo circondati dal mio fedele esercito, ed io ascolterò quello che volete dirmi.
str_talk_later_upstanding|Qualunque sia il mio pensiero sulla legittimità della successione, non sono qui ora per discuterne. Se c'incontreremo di nuovo e potremo parlare riservatamente, ascolterò ciò che vorrete dirmi in proposito. Ma per il momento consideratemi un nemico.
str_gossip_about_character_default|Dicono che {s6} non possiede alcuna caratteristica interessante.
str_gossip_about_character_martial|Dicono che {s6} non ama nient'altro che la guerra.
str_gossip_about_character_quarrelsome|Dicono che {s6} ultimamente stava per giungere allo scontro fisico con un altro lord, perché aveva scherzato circa il suo naso.
; str_gossip_about_character_selfrighteous|I heard that {s6} had a ranger executed because the unfortunate man killed a deer in his forest.
str_gossip_about_character_cunning|Dicono che {s6} non tema confronti come rivale.
str_gossip_about_character_sadistic|Dicono che {s6} ama torturare i suoi nemici. Non vorrei scoprire il lato malvagio di quella persona.
str_gossip_about_character_goodnatured|Dicono che {s6} sia una buona persona che ha cura della gente che vive nelle sue terre. Questo è molto più di quanto può essere detto della maggior parte dei nobili.
str_gossip_about_character_upstanding|La gente dice che sia bello essere al servizio di {s6}. Mostra bontà verso i suoi seguaci e li ricompensa se operano bene.
str_latest_rumor|Le ultime voci che ho sentito su {s6} erano:
str_changed_my_mind_martial|Tuttavia, le vostre veementi parole mi fanno riconsiderare la mia posizione.
str_changed_my_mind_quarrelsome|Ma credo avreste comunque menzionato l'argomento, che persona detestabile. Sto ascoltando.
; str_changed_my_mind_pitiless|But when you plead like that, I deign to reconsider.
; str_changed_my_mind_cunning|But you know, you're a well spoken bastard. That impresses me. I'm still listening.
str_changed_my_mind_sadistic|Ma siccome la vostra lingua d'argento continua a cantare questa ode a vostro favore, non ho ancora respinto l'idea.
; str_changed_my_mind_goodnatured|However, you make a good case, so I'll try to keep an open mind.
str_changed_my_mind_upstanding|Tuttavia, avete sostenuto la vostra causa in modo eloquente. Vi sto ancora ascoltando, per ora.
; str_swadian_rebellion_pretender_intro|I am Thorgil of Ribe. I should be konungr of Danmark.
; str_vaegir_rebellion_pretender_intro|I am Dungal, son of Fergusa, of the Cenel nLoairn. I should be Ard Ri of Eriu!
; str_khergit_rebellion_pretender_intro|I'm Oswine, the exiled ealdorman of Northhymbre.
; str_nord_rebellion_pretender_intro|I'm Ceorl. I will soon rule over West Seaxe.
; str_rhodok_rebellion_pretender_intro|I am Bili, son of Brude and the next king of Alban!
; str_sarranid_rebellion_pretender_intro|Hello, foreigner. I am Cadwallon. I stand before you as the last heir of the kings of Gwynedd.
; str_swadian_rebellion_pretender_story_1|My father saved our people while that bastard, King Horik, was raiding abroad. He didn't think about what would happen if he left this land without any soldiers to protect it! My father was the one who did it!
; str_vaegir_rebellion_pretender_story_1|I had been the heir to my father's crown for 30 years, but last year that old mummy decided he wanted a new young lady to 'refresh' his life, if you know what I mean.
; str_khergit_rebellion_pretender_story_1|The Danish razed my lands. Supplied by that coward of a king of East Engle, they rode up from the south. Figuring that they were bent on revenge against King Aelle, each lord protected only his fief rather than heed the king's summons. But the Danes wanted everything. With only my own retainers, I knew I could not prevent them from taking my inheritance.
; str_nord_rebellion_pretender_story_1|My father was the king of Cent, the current king's brother. He honored his father, Aethelwulf, unlike his next brother, Aethelbald, who stole the throne and married his father's wife.
; str_rhodok_rebellion_pretender_story_1|For the last fifteen years, I rode through this land with my boys giving protection to the villages just for a couple of coins and food. Just what we deserve.
; str_sarranid_rebellion_pretender_story_1|I am the namesake of my ancestor, who defeated Eadwine of Deria in the battle of Haethfelth Chase. After that, we were kicked from the throne, and my family had to live far from the crown... until now.
; str_swadian_rebellion_pretender_story_2|When the king came back from his adventure with tons of silver and those odd crosses, he was afraid of us. My father had inspired much loyalty among those who were here when the bandits attacked. That coward kicked us out of our own homes! Just a few months later my father committed suicide, unable to live with the dishonor. Since then, I have been living with people loyal to our cause, those who knew that the real leader of our people was my father.
; str_vaegir_rebellion_pretender_story_2|Unfortunately for me, that little Queen is really fertile, and they have had a child, with the king being 62 years old... After so many years of poisoning his wives in order to abort their legitimate heirs... now this! It appears that my father would rather have a child heir than a bastard adult heir.
; str_khergit_rebellion_pretender_story_2|All who had not openly joined them, they kicked off their ancestral lands. Just like that, the kingdom that had lasted centuries disappeared. Our forefathers would be ashamed.
; str_nord_rebellion_pretender_story_2|Before all that, unfortunately, my father died defending the kingdom from the first invasion of the Danish under Ragnar Lodbrok sixteen years ago. The incestuous Aethelbald then enjoyed the fruits of my father's sacrifice, dying in peace nine years later. I was still considered too young to assume a throne, and my uncles Aethelbehrt and Aethelred ascended through the kingships of Cent and Wessex in turn.
; str_rhodok_rebellion_pretender_story_2|Only the big cities have turned us down. They said the real danger was us, that we didn't give them protection, and that we were extortionists. But these are all lies, damned lies! The actual thieves are those who call themselves tiarna and the worst one is that son-of-a-usurper king.
; str_sarranid_rebellion_pretender_story_2|The kingdom has suffered greatly the last few years with the usurpers at its helm. I think the masses have had enough. They would support me in a fight for the throne.
; str_swadian_rebellion_pretender_story_3|The whole kingdom owes its existence to my father and those who fought next to him, people like my men and I. I have enough men to take the capital and defend it while another brave man like you can conquer and defend the other strongholds. Together, we can take back what King Horik owes me.
; str_vaegir_rebellion_pretender_story_3|But his new dynasty is not going to survive long. The other members of our clan are already jostling for power. A strong king would keep them united against our enemies! I need your help to support my rights to the crown, for my father will never accept me over his last son. We need to fight for the future of the kingdom.
; str_khergit_rebellion_pretender_story_3|However, I have since united all my people under my banner again. I have gathered even more men that any of my ancestors, but I'm afraid I need more good leaders. Some of the best commanders died in futile resistance to the Danes. I can offer you to lead one of my armies, and, if we achieve our goal, you might have your own city to rule.
; str_nord_rebellion_pretender_story_3|It is clear to me that my grandfather's line weakened successively after my father. Aethelred is too pious and Aelfred too bookish; together they have been unsuccessful resisting the Danish. I am more like my father. I can vigorously defend this land. With your help, we will bring peace and prosperity back to our kingdom, and perhaps all Britain.
; str_rhodok_rebellion_pretender_story_3|We are planning to assault the thief's main castle and end his reign of fear. The people of this land will pay only us for protection; I will not tolerate any competition. Join me and my band, and I will bury you in so much silver that you will be able to swim in it. I will give you a collection commission!
; str_sarranid_rebellion_pretender_story_3|I just need good captains for my armies and, if possible, good soldiers under them. Together we will revive my family's honor and obtain the position that I deserve. Come with me, gather your soldiers, and our names will never be forgotten. Swear by me, and you will never regret it.
; str_swadian_rebellion_monarch_response_1|That child again is pretending to be the true king over my lands... I should have sent him farther away when I had a chance. Without all the silver we brought, this kingdom would be nothing. If I had any idea that my lands would be razed by bandits, I would have never taken so many soldiers with me.
; str_vaegir_rebellion_monarch_response_1|That young man will never understand his place in this world. He is a bastard. He will never have any rights except the ones he earns in service to his lord. He is my son, but he will never be king, not even if my little baby dies someday.
; str_khergit_rebellion_monarch_response_1|Who? I don't know that name. The Danish help me establish my claim, and there is nothing left for those who have lost their right to the land.
; str_nord_rebellion_monarch_response_1|My nephew was a good knight some years ago. Then he started to associate with certain of his father's retainers and now believes only what they say. They've put notions in his head, thinking to regain positions of influence.
; str_rhodok_rebellion_monarch_response_1|He is nothing but a bandit. For the last few years, he has been extorting silver from my villages. He pretends to be the protector of those villages from 'bandits,' when it is they who are the bandits!
; str_sarranid_rebellion_monarch_response_1|It is true that we are going through tough times, but the people know it is because our merchants have been suffering under constant raids. Now that I know he is in my kingdom, I can say he is the one responsible for those attacks.
; str_swadian_rebellion_monarch_response_2|They can try to attack us, but they don't have enough men to take even one of my villages, ha! Take my advice. Ignore him. He will never be anything but a chatterbox.
; str_vaegir_rebellion_monarch_response_2|Only if he came and knelt in front of me would I will be willing to forgive his faults and let him live somewhere far away from my legitimate son.
; str_khergit_rebellion_monarch_response_2|I will not tolerate any pretender to my crown. He and everyone who supports him will be arrested if they try anything unlawful. These are my people now, and I will protect them.
; str_nord_rebellion_monarch_response_2|I do not desire to bind his hands, but I have my mine full with the Danish and can't be on guard against a possible back stab. No one controls events, and the succession moves on. He never understood this.
; str_rhodok_rebellion_monarch_response_2|They are going to suffer for the pain they have caused my people. Not one of them will survive.
; str_sarranid_rebellion_monarch_response_2|It is my duty to protect all of my people from any danger in my kingdom. I will capture him and we will have a 'talk.' This situation can't stay like this any longer.
str_courtship_comment_conventional_generic|è una cosa molto ben ordinata.
str_courtship_comment_adventurous_generic|sembra abbastanza decente.
str_courtship_comment_otherworldly_generic|È più educato e attento.
str_courtship_comment_ambitious_generic|manca di unità... Ma forse la cosa può essere rimediata.
str_courtship_comment_moralist_generic|sembra essere un uomo di buon carattere.
str_feast_description|scarso
str_feast_description_2|magro
str_feast_description_3|appena suffiente
str_feast_description_4|sufficiente
str_feast_description_5|generoso
str_feast_description_6|sontuoso
str_feast_lengthy_description_1|Il cibo che hai fornito è stato insufficiente per i tuoi ospiti e il loro seguito, costringendoli ad acquistare i mezzi necessari al loro sostentamento dalla campagna circostante, a prezzi abbondantemente gonfiati. L'opinione tra coloro che hanno partecipato alla festa è che hai fallito nel compiere il tuo dovere di ospite, e così si è ridimensionata sia la loro fiducia in te che la tua reputazione complessiva.
; str_feast_lengthy_description_2|The food and drink you provided eventually ran out, forcing some guests to either buy their own from passing peddlers, or send some of their retinue home early. The more charitable attributed the shortfall to poor planning rather than meanness, but either way, it did your reputation no good.
str_feast_lengthy_description_3|Il cibo e le bevande che hai fornito sono stati adeguati per i tuoi nobili ospiti, anche se alcune delle persone comuni al loro seguito sono andate a casa a stomaco vuoto. Ti sei così procurato la reputazione di uno che ha almeno la minima conoscenza dei propri obblighi sociali in quanto nobile.
; str_feast_lengthy_description_4|You have provided enough food and drink, and with sufficient varieties, to do yourself credit. The food, drink, and merriment have loosened your guests' tongues, allowing them to converse candidly about the matters of the realm, and deepening their trust in you.
; str_feast_lengthy_description_5|You have provided a bountiful table not just for your noble guests but also for their retinues, with food left over to be distributed to the poor. Your guests lavish praise upon you for your generosity, and for your understanding of the social obligations of your rank. The conversation, fueled by the food and drink, has been merry, strengthening the bonds between those who attended.
str_feast_lengthy_description_6|Il regno parlerà della bontà della tua tavola per i mesi a venire, e diventerà lo standard al quale tutte le altre feste si dovranno ispirare. Hai riempito la pancia non solo dei tuoi nobili ospiti e del loro seguito, ma anche dei poveri che accorrevano alle porte. 
; str_credits_1|©2010 TaleWorlds Entertainment. Mount & Blade: Warband^©2014 Brytenwalda S.L. Viking Conquest
; str_credits_2|BRYTENWALDA S.L.^^Game Design^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter
; str_credits_3|Programming^Alberto Fuentevilla^Matthias Grohmann^Michael 'Motomataru' Richter^Slawomir Libura^Michael Lyubchenko^^Special thanks for the Battle GUI^Alexander Souslov (Snowbird Studios)
; str_credits_4|Scenes^Asbjorn Lindegaard Moller^^Models^Cesar Inarrea^Leyre Ramirez^Miguel Egana Silva^^2D Art^Yeyo Balbas^^Textures^Miguel Egana Silva^Sebastian Wunnicke
; str_credits_5|Shaders^Marc Natta^^Animations^Slawomir Libura^^Concept Artist^Yeyo Balbas
; str_credits_6|Script^Alberto Fuentevilla
; str_credits_7|Music^Marcus Bressler - Viking Raid^CrystalMoors - Antiqvam Exqvirite Matrem, Nabia Orebia, The Unconquered Land^Juha-Matti Koppelomaki - Viking War Horns^Symphony of Specters - Day of War^Mike Sea - Go Vikes.^KlepatoDesign - The Ancients^Darius Sobolewski - Nordic Orchestra^Logan Epic Canto - Celtic Spirit^Allegro120 - Celtic^Cinemonia - Celtic Legend^^Tim Donovan - Solemn Funeral Pyre, Fallen Warrior^MrHumble - Ballad of a Hero.^^External support^Yughues Nobiax^Stephen Pollington
; str_credits_8|Testers and contributions^^Kalarhan^Kraggrim^Hunta^Ragnarson^Takeda Shingen^YourStepDad^Nijis^Krisvk^Dowdpride^Arch3r^Kazzan^Rurin^Fredelios^Blivandefar^Cleric Johnson^AZAN^Mitchell^M^Ozan Celik^Reiksmarshal^Hrotha^^Very special thanks to the players and betatesters of the original Brytenwalda module for many years of valuable feedback, only a fraction of which we had time to implement.^^Marketing Assets^Miguel Egana Silva (KreativLandschaft)
; str_credits_10|TALEWORLDS ENTERTAINMENT^^Lead Programming^Cem Çimenbiçer^Şahin Serdar Koçdemir^^Programming^Mustafa Korkmaz^Gökhan Uras^Dündar Ünsal
; str_credits_11|Lead Artist^Özgür Saral^^Artists^Andaç Bingöl^Deniz Köklü^Fatma Nadide Öcba^Fırat Murat Çebi^Gökalp Doğan^Oğuz Tunceli^Sten Oom
; str_credits_12|TaleWorlds Management^^Founder/Chief Executive Officer^Armağan Yavuz^^Chief Operating Officer^Ali Erkin^^Producer/Business Development^Vishnu Vijayakumar^^PR/Community Manager^Frank Elliott
; str_credits_9|Live Action Video^^Daniel Renger^Martin Unglert^Josef Becker^Jan Jaegers^Markus Beck^Jurgen Bonisch^Chris Czichowsky^Florian Dosch^Michael Exner^Fryzel Hans-Jurgen^Alexandra Gorner^Alexander Gorner^Franz Hauser^Jenna Klein^Claudia Klingner^Marcus Langer^Hans Lendorf^Markus Mickel^Patrick Mouka^Corinna Oppitz^Sibylle Oppitz^Bernd Rohde^Volker Schlott^Benjamin Schuler^Michael Schuler^Rebekka Schuler^Julia Schuster^Alexander Seufert^Susan Sumer^Johannes Werth^Bernd Wolfsteiner^Sabine Wudy^Sebastian Wudy^Stefan Wudy^^Location^Geschichtspark Barnau^^Logotype^Jason Brown^^Cover Art^Piotr Fox Wysocki^^Layout^Christian Sabe^Melina Grundel^^Poster^Piotr Fox Wysocki^^Concept Art^Ganbat Badamkhand^^Manual Editing & Digital Wordsmithing^Ryan Newman^Nick Stewart^^Web^Martin Ericsson^^Marketing Assets^2Coats^^Localization^S&H Entertainment Localization
; str_multi_scene_1|Saxon Village
; str_multi_scene_2|Din Tagell
; str_multi_scene_3|Dun Taruo
; str_multi_scene_4|Hadrian's Wall
; str_multi_scene_5|Ad Candida Casam
; str_multi_scene_6|Hilltop Village
; str_multi_scene_7|Din Arth
; str_multi_scene_8|Duin Ollaigh
; str_multi_scene_9|Din Bych
; str_multi_scene_10|Roman Fort
; str_multi_scene_11|Into The Trees
; str_multi_scene_12|Crannog
; str_multi_scene_13|Saxon River Fort
; str_multi_scene_14|Seafarers
; str_multi_scene_15|Saxon Duelling Field
; str_multi_scene_16|Mynyw Fort
; str_multi_scene_17|Abbercurnig
; str_multi_scene_18|Rival Strongholds
; str_multi_scene_19|Broch
; str_multi_scene_inv_1|Hadrian's Wall
; str_multi_scene_inv_2|Saxon Fort
; str_multi_scene_inv_3|Din Bych
; str_multi_scene_inv_4|Mynyw Fort
; str_multi_scene_inv_5|Broch
; str_multi_scene_20|Random Plains
; str_multi_scene_21|Random Forest
; str_multi_scene_22|Random Snow
; str_multi_sea_1|Calm Sea
; str_multi_sea_2|Sea Storm
str_multi_coast_1|Port Assault
; str_multi_coast_2|Port Assault (Thunderstorm)
str_multi_scene_end|multi scene end
str_multi_game_type_1|Deathmatch
str_multi_game_type_2|Team Deathmatch
str_multi_game_type_3|Battaglia
str_multi_game_type_4|Assedio
str_multi_game_type_5|Duello
str_multi_game_type_6|Battaglia Navale
; str_multi_game_type_7|Thor's Champion
; str_multi_game_type_8|Viking Invasion
; str_multi_game_type_9|Warlords Battle
; str_multi_game_type_10|Raid
str_multi_game_types_end|multi game types end
; str_multi_game_type_desc_1|^Every man for himself!^^Earn silver and glory with every kill.^^
; str_multi_game_type_desc_2|^Two teams; endless respawns.^^Earn silver and a point for your faction with every kill.^
; str_multi_game_type_desc_3|^Two teams; no respawn.^^Here you must focus on keeping you and your teammates alive as well as on personal kills.
; str_multi_game_type_desc_4|^One team starts fortified, defending their flag against the clock and the other team. Respawns are slowed for the defender.^
; str_multi_game_type_desc_5|^Find another player.^^Introduce yourself.^^Kill or be killed.^
; str_multi_game_type_desc_6|^This is Battle mode, only afloat!^^^^
; str_multi_game_type_desc_7|^Find and kill the Champion to gain Thor's favour!^^You only gain point for killing Thor's Champions and for killing other players while being the Champion.^^^
; str_multi_game_type_desc_8|^Team up with other players and defend against the hordes of enemies!^^^
; str_multi_game_type_desc_9|^This variant of Battle mode allows the player to purchase and lead armies of bots.^^
; str_multi_game_type_descs_end|^^^              Specials^^- Banner: inspires nearby teammates 10%^^- Priest: heals nearby teammates^^- Horn (Attack Button): heals AND inspires teammates, at a distance^^- Berserk (Key B): temporarily increases melee capabilities^^- Shield Taunt (RMB + Key Q): displays your disdain for the enemy^^
str_poll_kick_player_s1_by_s0|{s0} started a poll to kick player {s1}.
str_poll_ban_player_s1_by_s0|{s0} started a poll to ban player {s1}.
str_poll_change_map_to_s1_by_s0|{s0} started a poll to change map to {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} started a poll to change map to {s1} and factions to {s2} and {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} started a poll to change bot counts to {reg0} and {reg1}.
str_poll_kick_player|Poll to kick player {s0}: 1 = Accept, 2 = Decline
str_poll_ban_player|Poll to ban player {s0}: 1 = Accept, 2 = Decline
str_poll_change_map|Poll to change map to {s0}: 1 = Accept, 2 = Decline
str_poll_change_map_with_faction|Poll to change map to {s0} and factions to {s1} versus {s2}: 1 = Accept, 2 = Decline
str_poll_change_number_of_bots|Poll to change number of bots to {reg0} for {s0} and {reg1} for {s1}: 1 = Accept, 2 = Decline
str_poll_time_left|({reg0} seconds left)
str_poll_result_yes|The poll is accepted by the majority.
str_poll_result_no|The poll is rejected by the majority.
str_total_item_cost_reg0|Total cost: {reg0}
str_server_name|Server name:
str_game_password|Game password:
str_map|Map:
str_game_type|Game type:
str_max_number_of_players|Maximum number of players:
str_number_of_bots_in_team_reg1|Number of bots in team {reg1}:
str_team_reg1_faction|Team {reg1} faction:
str_enable_valve_anti_cheat|Enable Valve Anti-cheat (Requires valid Steam account)
str_allow_friendly_fire|Allow ranged friendly fire
str_allow_melee_friendly_fire|Allow melee friendly fire
str_friendly_fire_damage_self_ratio|Friendly fire damage self (%):
str_friendly_fire_damage_friend_ratio|Friendly fire damage friend (%):
str_spectator_camera|Spectator camera:
str_control_block_direction|Control block direction:
str_map_time_limit|Map time limit (minutes):
str_round_time_limit|Round time limit (seconds):
str_players_take_control_of_a_bot_after_death|Switch to bot on death:
str_team_points_limit|Team point limit:
str_point_gained_from_flags|Team points gained for flags (%):
str_point_gained_from_capturing_flag|Points gained for capturing flags:
str_respawn_period|Respawn period (seconds):
str_add_to_official_game_servers_list|Add to official game servers list
str_combat_speed|Combat speed:
str_combat_speed_0|Molto lenta
str_combat_speed_1|Lenta
str_combat_speed_2|Medio
str_combat_speed_3|Veloce
str_combat_speed_4|Molto veloce
str_off|Spento
str_on|Acceso
str_defender_spawn_count_limit|Defender spawn count:
str_unlimited|Infiniti
str_automatic|Automatica (raccomandata)
str_by_mouse_movement|Dal movimento del Mouse
str_free|Libero
str_stick_to_any_player|Lock to any player
str_stick_to_team_members|Lock to team members
str_stick_to_team_members_view|Lock to team members' view
str_make_factions_voteable|Allow polls to change factions
str_make_kick_voteable|Allow polls to kick players
str_make_ban_voteable|Allow polls to ban players
str_bots_upper_limit_for_votes|Bot count limit for polls:
str_make_maps_voteable|Allow polls to change maps
str_valid_vote_ratio|Poll accept threshold (%):
str_auto_team_balance_limit|Auto team balance threshold (diff.):
str_welcome_message|Welcome message:
; str_initial_gold_multiplier|Starting silver (%):
; str_battle_earnings_multiplier|Combat silver bonus (%):
; str_round_earnings_multiplier|Round silver bonus (%):
str_allow_player_banners|Allow individual banners
str_force_default_armor|Force minimum armor
str_respawning_in_reg0_seconds|Respawning in {reg0} seconds...
str_no_more_respawns_remained_this_round|No lives left for this round
str_reg0_respawns_remained|({reg0} lives remaining)
str_this_is_your_last_respawn|(This is your last life)
str_wait_next_round|(Wait for the next round)
str_yes_wo_dot|Sì
str_no_wo_dot|No
str_we_resign|We have no strength left to put up a fight. We surrender to you, {playername}.
str_i_resign|I don't want to die today. I surrender.
str_s1_returned_flag|{s1} has returned their flag to their base!
str_s1_auto_returned_flag|{s1} flag automatically returned to their base!
str_s1_captured_flag|{s1} has captured the enemy flag!
str_s1_taken_flag|{s1} has taken the enemy flag!
str_s1_neutralized_flag_reg0|{s1} has neutralized flag {reg0}.
str_s1_captured_flag_reg0|{s1} has captured flag {reg0}!
str_s1_pulling_flag_reg0|{s1} has started pulling flag {reg0}.
str_s1_destroyed_target_0|{s1} destroyed target A!
str_s1_destroyed_target_1|{s1} destroyed target B!
str_s1_destroyed_catapult|{s1} destroyed the catapult!
str_s1_destroyed_trebuchet|{s1} destroyed the trebuchet!
str_s1_destroyed_all_targets|{s1} destroyed all targets!
str_s1_saved_1_target|{s1} saved one target.
str_s1_saved_2_targets|{s1} saved all targets.
str_s1_defended_castle|{s1} defended their castle!
str_s1_captured_castle|{s1} captured the castle!
str_auto_team_balance_in_20_seconds|Auto-balance will be done in 20 seconds.
str_auto_team_balance_next_round|Auto-balance will be done next round.
str_auto_team_balance_done|Teams have been auto-balanced.
; str_s1_won_round|The {s1} team has won the round!
str_round_draw|Time is up. Round draw.
str_round_draw_no_one_remained|No one left. Round draw.
str_death_mode_started|Hurry! Become master of the field!
str_reset_to_default|Reset to Default
str_player_name|Player Name
str_kills|Kills
str_deaths|Deaths
str_ping|Ping
str_dead|Morti
str_reg0_dead|{reg0} Dead
str_bots_reg0_agents|Bots ({reg0} agents)
str_bot_1_agent|Bot (1 agent)
str_score_reg0|Score: {reg0}
str_flags_reg0|(Flags: {reg0})
str_reg0_players|({reg0} players)
str_reg0_player|({reg0} player)
str_open_gate|Open Gate
str_close_gate|Close Gate
str_open_door|Open Door
str_close_door|Close Door
str_raise_ladder|Raise Ladder
str_drop_ladder|Drop Ladder
str_cancel|Esci
str_continue|Continua
str_done|Fatto
str_back|Indietro
str_start_map|Start Map
str_choose_an_option|Choose an option:
str_choose_a_poll_type|Choose a poll type:
str_choose_faction|Choose Faction
str_choose_a_faction|Choose a faction:
str_choose_troop|Choose Troop
str_choose_a_troop|Choose a troop class:
str_choose_items|Choose Equipment
str_options|Opzioni
str_redefine_keys|Redefine Keys
str_submit_a_poll|Submit a Poll
str_administrator_panel|Administrator Panel
str_kick_player|Kick Player
str_ban_player|Ban Player
str_mute_player|Mute Player
str_unmute_player|Unmute Player
str_quit|Quit
str_poll_for_changing_the_map|Change the map
str_poll_for_changing_the_map_and_factions|Change the map and factions
str_poll_for_changing_number_of_bots|Change number of bots in teams
str_poll_for_kicking_a_player|Kick a player
str_poll_for_banning_a_player|Ban a player
str_choose_a_player|Choose a player:
str_choose_a_map|Choose a map:
str_choose_a_faction_for_team_reg0|Choose a faction for team {reg0}:
str_choose_number_of_bots_for_team_reg0|Choose number of bots for team {reg0}:
str_spectator|Spectator
str_spectators|Spectators
str_score|Score
str_command|Command:
str_profile_banner_selection_text|Choose a banner for your profile:
str_use_default_banner|Use Faction's Banner
str_party_morale_is_low|Il morale di alcune truppe è basso!
; str_weekly_report|Report
str_has_deserted_the_party|ha abbandonato la Compagnia.
str_have_deserted_the_party|hanno abbandonato la Compagnia.
str_space| 
str_us_|Noi 
str_allies_|Alleati 
str_enemies_|Nemici 
str_routed|Fuggiti
str_weekly_budget|Bilancio settimanale
str_income_from_s0|Proventi da {s0}:
; str_mercenary_payment_from_s0|Mercenary payment from the {s0}:
str_s0s_party|Compagnia di {s0}
str_loss_due_to_tax_inefficiency|Perdite dovute all'inefficienza del sistema fiscale:
str_wages_for_s0|Salari per la {s0}:
str_earlier_debts|Debiti precedenti:
str_net_change|Variazione netta:
str_earlier_wealth|Bilancio iniziale:
str_new_wealth|Nuovo bilancio:
str_new_debts|Nuovi debiti:
; str_team_reg0_bot_count_is_reg1|Team {reg0} bot count is {reg1}.
str_maximum_seconds_for_round_is_reg0|Maximum seconds for round is {reg0}.
str_respawn_period_is_reg0_seconds|Respawn period is {reg0} seconds.
str_bots_upper_limit_for_votes_is_reg0|Bots upper limit for votes is {reg0}.
str_map_is_voteable|Map is voteable.
str_map_is_not_voteable|Map is not voteable.
str_factions_are_voteable|Factions are voteable.
str_factions_are_not_voteable|Factions are not voteable.
str_players_respawn_as_bot|Players respawn as bot.
str_players_do_not_respawn_as_bot|Players do not respawn as bot.
str_kicking_a_player_is_voteable|Kicking a player is voteable.
str_kicking_a_player_is_not_voteable|Kicking a player is not voteable.
str_banning_a_player_is_voteable|Banning a player is voteable.
str_banning_a_player_is_not_voteable|Banning a player is not voteable.
str_player_banners_are_allowed|Player banners are allowed.
str_player_banners_are_not_allowed|Player banners are not allowed.
str_default_armor_is_forced|Default armor is forced.
str_default_armor_is_not_forced|Default armor is not forced.
str_percentage_of_yes_votes_required_for_a_poll_to_get_accepted_is_reg0|Percentage of yes votes required for a poll to get accepted is {reg0}%.
str_auto_team_balance_threshold_is_reg0|Auto team balance threshold is {reg0}.
; str_starting_gold_ratio_is_reg0|Starting silver ratio is {reg0}%.
; str_combat_gold_bonus_ratio_is_reg0|Combat silver bonus ratio is {reg0}%.
; str_round_gold_bonus_ratio_is_reg0|Round silver bonus ratio is {reg0}%.
str_point_gained_from_flags_is_reg0|Team points gained for flags is {reg0}%.
str_point_gained_from_capturing_flag_is_reg0|Points gained for capturing flags is {reg0}%.
str_map_time_limit_is_reg0|Map time limit is {reg0} minutes.
str_team_points_limit_is_reg0|Team point limit is {reg0}.
str_defender_spawn_count_limit_is_s1|Defender spawn count is {s1}.
str_system_error|SYSTEM ERROR!
str_prisoner_granted_parole|Il prigioniero dà la sua parola
str_prisoner_not_offered_parole|Il prigioniero non dà la sua parola
; str__age_reg1|^Age: {reg1}
str__family_|^Famiglia: 
str_s49_s12_s11_end|{s49} {s12} ({s11}).
str_s49_s12_s11_rel_reg0|{s49} {s12} ({s11}, rel: {reg0}),
str_s49_s12_s11|{s49} {s12} ({s11}),
; str_lord_info_string|{reg6?:{reg4?{s54} is the ruler of the {s56}.^:{s54} is a vassal of {s55} of the {s56}.^}}Renown: {reg5}. Controversy: {reg15}.^Religion: {s29}^{reg9?{reg3?She:He} is the {reg3?lady:lord} of {s58}.:{reg3?She:He} has no fiefs.}{s59}^{s49}^Relation: {reg0}
str_foreign_relations__|Relazioni internazionali: ^
; str_s21__the_s5_is_at_war_with_the_s14|{s21}^^* At war with the {s14}.
str_s21_the_s5_has_had_the_upper_hand_in_the_fighting|{s21} Il {s5} ha avuto la meglio nei combattimenti.
str_s21_the_s5_has_gotten_the_worst_of_the_fighting|{s21} Il {s5} ha avuto la peggio nei combattimenti.
str_s21_the_fighting_has_gone_on_for_some_time_and_the_war_may_end_soon_with_a_truce|{s21} I combattimenti sono proseguiti per qualche tempo, e la guerra potrebbe terminare presto con una tregua.
