qstr_Breaking_camp...|Stai smantellando l'accampamento...
qstr_a_page_at_a_nobleman|Un paggio alla corte di un nobile
qstr_You_were_chosen_to_b|avevate scelto di essere al servizio di un ricco nobiluomo del regno, quindi vi fu dato un posto a palazzo. Al servizio di membri più anziani della famiglia, la tua prima lezione era umiltà. In compenso vi era ogni tipo d'intrattenimento: gioco di scacchi, gossip, bardi che recitavano poesie di grandi gesta e amori. Siete stati attratti più dal mondo di conflitto e competizione. Hai giocato a giochi grezzi con altri bambini, battervi l'un l'altro con bastoni e spade. Tali giochi ti fornirono preziose lezioni per la tua vita attuale.
qstr_a_craftsman_s_appren|Apprendista di un artigiano
qstr_Your_parents_sent_yo|I tuoi genitori ti mandarono ad imparare un mestiere. Dopo anni di duro lavoro e studio sotto il tuo nuovo maestro, ti promosse a operaio qualificato e finalmente pienamente retribuito per tutto il tempo che si lavorava. Diventasti abile con gli strumenti di lavorazione.
qstr_a_shop_assistant|Un assistente di bottega
qstr_In_the_employ_of_a_s|Alle dipendenze di un negoziante, hai imparato ad attrarre l'interesse della gente e convincerli con le parole. Viaggiare da un luogo all' altro in carovane commerciali, hai appreso i costumi di popoli differenti e il comportamento corretto in ogni cultura.
qstr_a_street_urchin|un monello di strada
qstr_You_ended_up_in_the_|Sei finito sulle strade, facendo tutto ciò che è necessario per sopravvivere. Accattonaggio e furto per guadagnarti il pane, giornalmente coinvolto in questo mondo violento, sempre un passo avanti rispetto la legge e gli altri che desiderano acciuffarti.
qstr_a_farmer_child|un figlio di contadino
qstr_You_put_your_strong_|Metti a disposizione la tua forte schiena per aiutare con i lavori agricoli. Hai imparato a prenderti cura della terra e il bestiame che pascolavano su di esso. Alcuni anni si godeva di buoni raccolti, ma in altri sei sopravvissuto a stomaco vuoto. Sei diventato imperturbabile e abile ad adattarti ad ogni circostanza.
qstr_{s1}^^You_spent_your|{s1}^^Hai speso la tua giovinezza come {s2}. {s3}
qstr_Formerly_being_a_sla|Precedentemente, sei stato uno schiavo,
qstr_your_adult_life_was_|tua vita adulta fu piena di miseria. Costretti a fare tutti i lavori duri per i tuoi proprietari, sei cresciuto per essere dalla pelle dura, veloce e forte. A volte i tuoi padroni non ti davano cibo, e così si doveva imparare a nutrirsi con ciò che la natura offriva al fine di soddisfare la fame. Il tuo mondo era piccolo e monotono. I giorni sembravano essere sempre gli stessi. Pioggia e sole punirono il tuo corpo durante questi interminabili giorni di lavoro. Dall'alba al tramonto, con la schiena dolorante tutto il tempo, l'unica ricompensa era di poter vedere un altro giorno, anche se alcuni dei tuoi compagni di sventura non furono così fortunati. Quando avevi tempo libero -- qualcosa che raramente accadeva -- facevi pratica lanciando pietre con una semplice fionda. Puoi colpire una zucca secca alcuni passi distanti e farla esplodere con una crepa soddisfacente.
qstr_Formerly_you_were_a_|Precedentemente, eri un sacerdote.
qstr_When_you_were_not_wo|Quando non lavoravi o studiavi al monastero, viaggiavi per diffondere la parola di Dio. Chiunque ti ascoltava era veramente impressionato dalla passione dei tuoi sermoni. Anche se hai mantenuto il voto di povertà attraverso tutti quegli anni itineranti, non hai avuto mai mancanza di cibo, bevande o riparo, poiché l'ospitalità dei contadini era particolarmente generosa verso {reg59?una crescente donna:un crescente uomo} di Dio. di tanto in tanto, gli abitanti andavano al monastero per comprare i prodotti unici che tu facevi.^^Curare è un altra delle tue abilità. La tua abilità ha permesso di riparare molte ossa rotte e tenere molte anime nei loro corpi invece di avventurarle nelle mani di Dio. Pieno di fede ti senti al sicuro al di fuori delle mura spesse del monastero. Sei armato con niente meno che un asta o un bastone, simboli dell'unico divino che ti conforta.
qstr_Formerly_you_were_a_t|Precedentemente, eri un viaggiatore.
qstr_Responding_to_the_ca|Rispondendo alla chiamata della strada, hai viaggiato da un villaggio a altro, commerciando qualunque cosa si potesse trovare. Non si tratta di una vita agiata, ma sei diventato un maestro a ottenere un buon prezzo da anche il più avaro di Zitelle. Presto, sarai in grado di creare il tuo  impero commerciale.
qstr_Formerly_you_were_a_p|Precedentemente, eri un bracconiere.
qstr_Unsatisfied_with_com|Insoddisfatto con il desiderio comune di ricchezza di uomini disperati, ti sei stabilito nelle foreste del tuo Signore locale e hai aiutato te stesso con la loro generosità, le leggi siano dannate. cacciavi cervi, cinghiali e oche e vendevi la loro carne sottobanco.tagliavi gli alberi proprio sotto il naso delle sentinelle e li hai trasformati in legna da ardere per riscaldare molte case durante i rigidi inverni. Hai trovato che l'onore è abbastanza facile da barattarlo via per un pò d'argento difficile da trovare. Quando i tempi duri arrivarono,  raccoglievi cibo e diventasti un esperto nel trovare piante commestibili allo stato brado.
qstr_Formerly_you_were_a_f|Precedentemente, eri un libero {reg59?:woman:man}, e inoltre {reg59?mistress:master} sopra un pezzo di terra.
; qstr_{reg59?Being_wife_to|{reg59?Being wife to a free man meant that you at least had it easier than did the wives of the servants. You owned some servants who helped you with the hard work, but since your husband didn't own a lot of land, you still had to do a variety of tasks that peasant wives have to do. Your husband had to pay rent to his overlord and owed him labour services for the land. When the lord was involved in a war, your husband had to answer his call for foot soldiers. In those times, he had to rely on his shield and spear in the thick of battle. He often taught you how to fight properly with those arms in case he wouldn't be available to defend your home. :This meant that you at least had it easier than the servants. You owned some servants who helped you with the hard work, but since you didn't own a lot of land, you still had to do a variety of tasks that peasants have to do. You had to pay rent to your overlord and owed him labour services for the land. When the lord was involved in a war, you had to answer his call for foot soldiers. In those times, you had to rely on your shield and spear in the thick of battle.}
qstr_{s1}^^Through_persis|{s1}^^Attraverso la persistenza e un po 'di fortuna, hai appreso come ingraziarsi uno dei signori locali. Alla fine, lui ti ha raccomandato al re, che ti ha premiato con un piccolo feudo dei propri appezzamenti. Ora è necessario provare a te stesso che sei degno della fiducia che ti è stata data.
; qstr_{s1}^^Then_you_happe|{s1}^^Then you happened to catch the interest of a young lord. Ignoring tradition and the strident pleas of his advisors, he married you, but shortly thereafter suffered an accidental fatal wound during a tournament. The lord lacked a living uncle, brother, or son. You therefore take over his small, neglected estate, even as the other lords of the kingdom consider it as having become available. Now you must establish yourself on your lands.
; qstr_{s1}^^Through_persist|{s1}^^Through persistence and a little luck, you learned how to curry favor with one of the local lords. A series of events having left the kingdom without a ruler, he proposed you to share the kingship as a compromise between contending factions. You were deliberately chosen to be the minor partner, but a sudden fatal illness of the other share-king has left you sole ruler. Not everyone is happy about this turn of events, and neighboring kingdoms have taken note of the apparent weakness of your realm. Now you must establish your dominion.
; qstr_{s1}^^Then_you_happen|{s1}^^Then you happened to catch the interest of the young king. Ignoring tradition and the strident pleas of his advisors, he married you, but shortly thereafter suffered an accidental fatal wound during a tournament. The king lacked a living uncle, brother, or son. As the lords debate succession, the neighboring kingdoms have taken note of the apparent weakness of your realm. Now you must establish your dominion.
qstr_>_Viking_Conquest_Ma|> Viking Conquest Campagna Principale
qstr_A_storyline_campaign|Una campagna di trama con una missione principale e altre funzioni speciali.
qstr_>_Sandbox_Campaign|> Campagna Sandbox
qstr_No_main_story_or_spe|Nessuna storia principale o caratteristiche speciali. Sei libero di giocare come desideri.
qstr_>_Lordly_Sandbox_Cam|> Campagna Signorile Sandbox
qstr_You_start_as_a_lord_|Inizi come signore o signora di una fazione.
qstr_>_Royal_Sandbox_Camp|> Campagna Sandbox Reale
qstr_You_start_as_leader_|Iniziate come re di una fazione. Lunga vita al re!
qstr_STAMINA_>_Realism_Fe|VIGORE>Realistico.
qstr_This_feature_affects|Questa modalità avrà effetto sul giocatore e su tutti i personaggi.^Il Vigore è calcolato in base alla Salute e alle Abilità Atletiche e colpisce la resistenza fisica durante la battaglia. Quando il vigore di un personaggio è esaurito, lui o lei non saranno in grado di correre e il danno delle armi di lei "saranno dimezzate.
qstr_ARMOR_PENALTY_>_Real|Penalità Armatura > Caratteristica Realismo.
qstr_This_feature_affects_|Questa caratteristica influisce il giocatore e tutti i personaggi del gioco.^I tuoi punti abilità si deteriorano quando equipaggi armature pesanti. Questa abilità porta migliore equilibrio al gioco, poichè le truppe leggere diventano più importanti.
qstr_EASY_RECRUITMENT_>_B|RECLUTAMENTO SEMPLIFICATO>Principiante.
qstr_When_you_ask_permiss|Al livello Principiante, quando chiedi il permesso di reclutare in un villaggio, la risposta è sempre positiva e senza alcun costo. Non raccomandato per chi ama il gioco di ruolo e l'immersione.
qstr_RESTING_MORALE_>_Rea|IL RIPOSO AUMENTA IL MORALE>Realistico.
qstr_INSANE_DIFFICULTY_>_|DIFFICOLTA' FOLLE> Solo per Player Esperti.
qstr_Your_troops_need_thr|Le tue truppe hanno bisogno del triplo  dell'esperienza per salire di livello. I tuoi nemici causano il doppio del danno mentre tu ne causi la metà. Consigliato solo per giocatori hardcore.
qstr_GORE_>_+18_Feature.|GORE > +18.
qstr_DISABLE_SCENIC_MENU_|DISABILITA MENU' SCENICO>Performance migliore.
qstr_Disable_the_3D_view_i|Disabilita la vista 3D nei menù per migliorare il tempo di caricamento nelle macchine più lente.
qstr_SHIELD_BASH_>_Realis|COLPO CON LO SCUDO>Realistico.
qstr_Player_and_AI_troops|Le truppe del giocatore e AI saranno in grado di colpire i nemici con lo scudo.
qstr_...Anno_Domini_868..|...Anno Domini 868...
; qstr_My_name_is_Beda_the_|My name is Beda the Old, and if you delve into this world, I recommend you listen carefully...^^Britain. The Britons call her Ynys Prydein, the Goidels call her Alba while the Angles and Saxons gave the name of Englaland to the lands they conquered. These islands are large, rich and beautiful... and are coveted. So the land is currently at war and respects only the law of the sword and spear. Realms are born and killed off, and kings die on the battlefield. Women are widowed, and horses carry arms instead of hay. The shouts of warriors fill the air, and the earth lies barren from the trampling of armies. As in past eras of strife, mortal enemies rise, equipped in armour. Ravens are calling, wolves are howling, spears clash and shields answer.^^In the north, the kingdoms of the Angles crumble before the advance of the Danes. The sons of the notorious Viking lord Ragnar, the new lords of these lands, now rule Bernaccia, Deira and Elmet, the land known as Northhymbre. ^^In the south, the Saxons of West Seaxe, led by the Brytenwalda Aethelred and his brother Aelfred, prepare for war. They know that on the other side of the sea, more Danes prepare to cross the ocean in search of fame and wealth. ^^Pushed into the remote fringes of their native land by centuries of landward invasion, the native Britons now are threatened by Vikings on their coasts. They fight desperately not to lose what little they have left, dreaming of a king to unify them all and lead them to final victory -- a new King Arthur. The reality is that their equitable inheritance laws keep the holdings of each lord small and unity harder to achieve. Nevertheless, one strongman, Rhodri the Great of Gwynedd, has begun to impose his will over the rest of Wales. ^^In the lands of the far north, Norwegian invaders thirty years ago wiped out the old competing Gaelic and Pict aristocracies in one fatal blow at a chance three-way battle. After this disaster, Gaelic strongman Cinead McAlpin started to forge a new kingdom out of the two peoples, but they have been driven to the highland center of their former territories. ^^Across the sea, in Ireland, Aed 'Fair Warrior' mac Niall of Aileach has emerged as high king in Temair after overcoming his enemies, but it is nothing more than a prestigious title. His claim is never accepted by the other half of the Ui Neill, and the fighting for land, women and cattle, in the sort of fratricidal wars endemic to that land, continues unabated. Meanwhile, both Danish and Norwegian Vikings have established dozens of coastal strongholds. They use the rivers to plunder the Goidelic hinterland, but they are all too prone to join the native conflict -- on all sides. ^^^The world is chaos, and chaos is war.
qstr_BEDA_CHRONICLE^^{s2}|CRONACHE DI BEDA^^{s2}^^ {s3}
qstr_{s1}On_head.___{reg2|{s1}Sulla testa. (-{reg2}intelligenza)^{s2}^^
qstr_{s1}On_face.___{reg2|{s1}Sulla faccia. (-{reg2} carisma)^{s2}^^
qstr_{s1}On_body.___{reg2|{s1}sul corpo. (-{reg2} forza)^{s2}^^
qstr_{s1}On_limbs.___{reg|{s1}sugli arti. (-{reg2} agilità)^{s2}^^
qstr_Accumulated_Injuries|Lesioni accumulate:^^nessuna
qstr_Accumulated_Injuries:|Infortuni accumulati:^^{s1} Il medico di una città più grande può trattare queste lesioni.
qstr_Healing_wounds:^^non|Ferite da guarire:^^nessuna
qstr_Healing_wounds:^^{s1|Ferite da guarire:^^{S1} Queste ferite sono state trattate. Esse guariranno da sole.
qstr_{s1}On_head.___{reg1|{s1}Sella testa. (-{reg1} intelligenza)^^
qstr_{s1}On_face.___{reg1|{s1}Sulla faccia. (-{reg1} carisma)^^
qstr_{s1}On_body.___{reg1|{s1}Sul corpo. (-{reg1} forza)^^
qstr_{s1}On_limbs.___{reg1|{s1}Sugli arti. (-{reg1} agilità)^^
qstr_Scars:^^none|Cicatrici^^nessuna
qstr_Scars:^^{s1}These_in|Cicatrici:^^{S1} Queste lesioni sono diventate permanenti. Ora non possono più essere curate.
qstr_Lifetime_wounds:_{re|Ferite permanenti: {reg1} finora.
qstr_Current_party_size_l|L'attuale limite di dimensione della Compagnia è: {reg0}.^^Fama: {reg34}^Leadership Combinata:  {s2}{reg32}^Carisma: {s3}{reg33}^Feudi: {s6}{reg35}^Navi (solo quelle in mare): {s7}{reg2}^^{playername} può gestire al massimo {reg36} truppe.^{reg59?Attualmente:Attualmente} ne hai {reg37}.
qstr_^Religious_Differenc|^Differenze Religiose: -{reg7}
qstr_^No_food:___{reg7}|^Niente cibo:  -{reg7}
qstr_^Wage_debt:___{reg7}|^Debito dai salari:  -{reg7}
qstr_Currently_falling_fr|Attualmente classificato come: +
qstr_Currently_rising_fro|Attualmente passato da:
qstr_{s11}{s10}{s12}|{s11}{s10}{s12}
qstr_^^These_pagan_troops|^^Queste truppe pagane causano problemi: {s11}
qstr_^^These_Christian_tr|^^Queste truppe cristiane causano problemi: {s11}
qstr_^^Player_currently_h|^^Il giocatore attualmente ha più truppe di quante possa gestirne.
qstr_Current_party_morale|Morale attuale della compagna: {reg5}.^^Morale base: +{reg8}^Penalità dimensione compagna: {s2}{reg1}{s14}^Mancanza di riposo: {s3}{reg2}^Varietà di cibo: {s4}{reg3}{s5}{s6}^{s7}{reg4} {s8}{s13}^^{s19}
qstr_{s18}^^_____________|{s18}^^----------------^^{s20}
qstr_{s17}_^_{s18}|{s17} ^ {s18}
qstr_{s15}_^_{s16}|{s15} ^ {s16}
qstr_{s22}^^Friends:_^{s8|{s22}^^Amici: ^{s8} ^^Nemici: ^{s6}^{s19}
qstr_^^Your_estates_are:_|^^I tuoi possedimenti sono: ^{s18}^{s19}
; qstr_Mercenary_employed_b|Mercenary employed by the {s18}.^{s19}
qstr_Report:_^^_{s19}|Rapporti: ^^ {s19}
qstr_On_loan|In prestito,
; qstr_is_{s16}_your_choice|is {s16} your choice of companions, {s17} your style of leadership, and {s18} the general state of affairs. Morale is {reg0}
qstr_Companions_Info:^^_{|Informazioni sui Compagni:^^ {s19} ^^-----------^^ Corrente:^^ {s7}{s1}
qstr_Loyal|Leale
qstr_Devoted|Devoto
qstr_Fond|Affezionato
qstr_Gracious|Cortese
qstr_Friendly|Amichevole
qstr_Supportive|Solidale
qstr_Favorable|Favorevole
qstr_Cooperative|Cooperativo
qstr_Accepting|Bendisposto
qstr_Indifferent|Indifferente
qstr_Suspicious|Sospettoso
qstr_Unhappy|Infelice
qstr_Resentful|Pieno di risentimento
qstr_Angry|Adirato
qstr_Hostile|Ostile
qstr_Hateful|Pieno d'odio
qstr_Vengeful|Molto vendicativo
qstr_Sworn_Enmity|Nemico Giurato
; qstr_Your_relations_with_|Your relations with the kingdoms are:^^{s2}
qstr_Build_your_personal_|Costruisci il tuo rifugio personale.
qstr_You_already_have_a_r|Hai già costruito il tuo rifugio. Distruggi prima quello vecchio se vuoi spostarti qui.
qstr_You_don_t_have_enough|Non hai abbastanza denaro! I lavoratori che devono costruire il rifugio chiedono 1000 denari.
qstr_You_need_to_have_mor|È necessario avere più di trenta uomini per iniziare il lavoro.
qstr_Your_men_await_your_|I tuoi uomini attendono il tuo ordine per iniziare a costruire il rifugio. C'è abbastanza materiale raccolto fino ad ora, e ciò che manca può essere acquistato nei villaggi vicini^^Costo totale:.. 1000 denari^Tempo necessario: 6 ore.
qstr_{s2}^^_{s3}|{s2}^^ {s3}
; qstr_You_are_in_the_kingd|You are in the kingdom of DANMARK.^^Danmark is an important Norse state in the Viking Age. The Danes not only maintain their independence against the powerful Frankish empire but also attack and plunder towns, churches and monasteries throughout Western Europe. Danish Vikings are excellent merchants who trade with most of their known world. A strong central authority has been established in Jutland, and the Danes now look beyond their own territory for land, trade and plunder. While the men are out at sea, the women manage the farms.
; qstr_You_are_in_the_kingdo|You are in the kingdom of NORTHVEGR.^^In Northvegr, mountainous terrain and fjords form strong natural boundaries. Communities remain independent of each other, and thirty small kingdoms exist in this land. The most powerful leaders of the petty kingdoms have entered a major power struggle. The sea is the easiest way to communicate between the Norwegian kingdoms and the outside world, and the people have become traders and explorers as well as plunderers. The lack of suitable farming land forces Norwegians to colonize the sparsely populated islands to the west. Norwegians carried out the early Viking raids on Britain and Ireland, but later the Danes joined in.
; qstr_You_are_in_the_kingdom|You are in the kingdom of LAITHLIND.^^Laithlind is the Norse-dominated part of Scotland and the Northern Islands, conquered by the Vikings three decades ago. This kingdom has become an operating base for Norwegian expansion in the British Isles. On the other hand, internal strife between the various strongmen is common.
; qstr_You_are_in_the_kingdom_|You are in the kingdom of FRIESE.^^Friese is region along the southeastern coast of the North Sea, the homeland of the Frisians, a people closely related to the Anglo-Saxons by language. The Frisian realm is an important trading region that extends from the north of Frankia to the border of Denmark. The Frisians lost their independence first to the Franks, but now their country is under the rule of the Danish.
; qstr_You_are_in_the_kingdom_o|You are in the kingdom of WEST SEAXE.^^West Seaxe is the westernmost kingdom of Saxons in Britain. Some decades ago, King Egbert conquered Mierce and secured his overlordship over the king of Northhymbre. He thereby became the Brytenwalda, or high king of Britain. This position of dominance was short-lived, but the expansion of West Seaxe across south England proved permanent. Egbert's later years saw the beginning of the Viking raids on West Seaxe. The Danes were decisively crushed by Egbert's son and successor, King Aethelwulf, in the Battle of Aclea. This victory postponed Danish conquests in England for fifteen years, but raids on West Seaxe continued. Aethelwulf was succeeded by each of his four surviving sons, ruling one after another: Aethelbald, Aethelbert, Aethelred, the current king, and Aelfred, currently sub-king.
; qstr_You_are_in_the_kingdom_of|You are in the kingdom of EAST ENGLE.^^The Kingdom of East Engle is a small independent kingdom in the eastern extremity of Britain, settled by the Angles earlier than many other British regions. It was ruled by the Wuffingas dynasty but was conquered by Mierce. The Vikings ravaged East Engle, but in later years, the Saxons defeated them in two great battles. There then followed a relatively peaceful period in which the Vikings attacked only once. However, the Danes eventually stopped raiding and showed up in force.
; qstr_You_are_in_the_kingdom_of_|You are in the kingdom of MIERCE.^^Mierce is one of the most powerful kingdoms of the Anglo-Saxons, centered on the river Trent and its tributaries. It was originally composed the border areas, called Midlands, that lay between the districts of Anglo-Saxon settlement and the Celtic tribes they had driven to the west. From the kingdom's capital of Tomtun, the Mercians dominated the Anglo-Saxon realms for three centuries, having annexed or gained submissions from five of the other six Anglo-Saxon kingdoms. That period is known as the Mercian Supremacy. However, the conquest of Northhymbre by the Great Heathen Army has put Mercian dominance into question.
; qstr_You_are_in_the_kingdom_of_N|You are in the kingdom of NORTHHYMBRE.^^Northhymbre is the northernmost Anglo-Saxon kingdom. It extended from the south of Alban to the north of the river Humber. It was originally composed of the union of the kingdoms of Bernaccia and Deira, but gradually extended north and west, further encroaching on Celtic realms. The brothers Halfdan Ragnarsson and Ivar the Boneless have conquered Northhymbre and installed an Anglo-Saxon nobleman, Ecgberht, as a puppet king.
; qstr_You_are_in_the_kingdom_of_G|You are in the kingdom of GWYNEDD.^^The Kingdom of Gwynedd is one of the successor states that emerged during the fall of the Roman Empire and the arrival of the Saxons. Based in Northwest Wales, the rulers of Gwynedd were acclaimed as 'Kings of the Britons' before losing their power in civil wars and invasions. The Britons of Gwynedd remain conscious of their Romano-British heritage, and their kings continue to link their rule to the old imperial Roman order with the continued adoption of Latin and Christianity. Roman knowledge, however, is mainly lost, and the Britons of Gwynedd shift towards a militaristic tribal society. The kingdom has been expanding due to the efforts of Rhodri the Great.
; qstr_You_are_in_the_kingdom_of_B|You are in the kingdom of BRYCHEINIOG.^^Brycheiniog is a small independent kingdom in South Wales. It often acts as a buffer between England to the east and the powerful Briton realms to the west. The kingdom was probably founded by Irish raiders, very likely the Ui Liathain, whose power had grown great in Wales until they were reduced by the sons of Cunedda. Currently the kingdom is locked in a feud with its neighbor, Glywyssing.
; qstr_You_are_in_the_kingdom_of_A|You are in the kingdom of ALT CLUT.^^Alt Clut is a Briton kingdom located northwest of the Anglo-Saxon realms and south of Alban, along the banks of the river Clyde. It emerged after the fall of Roman Empire with the town of Alt Clut as its capital. With its high, fortified rock (Alt), Alt Clut resisted one attack by the Dal Riata and three by the Picts. An alliance of Picts and Northumbrians finally captured Alt Clut after a siege of several years. However, 18 years ago the men of Alt Clut were able to burn the Pictish city of Dunblane.
; qstr_You_are_in_the_kingdom_of_C|You are in the kingdom of CORNUBIA.^^The Kingdom of Cornubia occupies the southeastern peninsula of Great Britain, bordered on the north and west by the Celtic Sea and on the south by the English Channel. Cornubia was the home of the Celtic tribe known as the Cornovii, whose economy was based on tin since ancient times. Separated from the Britons of Wales after the Battle of Deorham, they have been all but eclipsed by the expanding Saxon kingdom of West Seaxe. These people span the Channel, and they take refuge on the continent.
; qstr_You_are_in_the_kingdom_of_GL|You are in the kingdom of GLYWYSSING.^^The small Celtic kingdom of Glywyssing was founded out of a western chunk of the former Silures by Eugenius, the son of High King Magnus Maximus. This was the most Romanised part of Wales, although they were descended from the Iron Age tribe of the Silures. Glywyssing is said to be named after Glywys, a legendary early monarch. Lately, it has been locked in a bitter feud with Brycheiniog.
; qstr_You_are_in_the_kingdom_of_U|You are in the kingdom of ULADH.^^Uladh is the kingdom located in the north of the island, the homeland of the Gaelic Ulaid, after whom the kingdom is named, and the Cruithne tribes, an early population linked with the Picts of northern Britannia. The Ui Neill dynasty, descendants of Niall of the Nine Hostages, are absorbing the kingdom, dominating it from their base in Tir Eoghain.
; qstr_You_are_in_the_kingdom_of_L|You are in the kingdom of LAIGIN.^^Situated in the southeast of Ireland, the tribes of Laigin were united by Ugaine Mor, its first historical king, who built the hill-fort of Dun Ailinne. When the Roman legions left Britain, the people from Laigin settled North Wales. For a long time, the rule of Laigin was disputed by two dynasties, the Ui Dunlainge and the Ui Cheinnselaig, but finally the first one got the control of the crown. Nineteen years ago, during a general Norse attack on the British Isles, a Norse army was defeated at Sciath Nechtain by Lorcan mac Cellaig of Laigin and Olchobar mac Cinaeda of Mumain. Nevertheless, the Vikings have created several colonies on the coast.
; qstr_You_are_in_the_kingdom_of_M|You are in the kingdom of MUMAIN.^^Situated in the south of Ireland, the kingdom of Mumain is ruled by the Eoganachta dynasty. Nineteen years ago, after multiple defeats by invading Norsemen, Olchobar joined forces with his eastern neighbour, Lorcan mac Cellaig, King of Laigin, to stop them at Sciath Nechtain. Among the dead was one Tomrair, jarl of the king of Laithlind.
; qstr_You_are_in_the_kingdom_of_CO|You are in the kingdom of CONNACHTA.^^Connachta is an Irish kingdom situated in the northwest of the island. Conn of the Hundred Battles, a legendary king of Ireland, was progenitor of the later ruling Connachta tribes and the namesake for the kingdom of Connacht. Some centuries later, the ancient line of Connacht kings was displaced by midland rulers, whose centre was at Tara. Two members of this Tara dynasty, Brion and Fiachra, founded clans, the Ui Briuin and the Ui Fiachrach, to which all the current rulers of Connaught belong. Conchobar mac Taidg Mor is from the Ui Briuin branch. Currently, the Norse seem intent on settling an island in the middle of the river Shannon.
; qstr_You_are_in_the_terri|You are in the territory of the Ui Neill of AILEACH.^^Aileach is an Irish kingdom in far northwestern Ireland. The kings of Ailech belong to the northern Ui Neill, said to be descended from Niall of the Nine Hostages. The kingdom takes its name from the hill fort Grianan of Ailech. This kingdom broke away from the Kingdom of Uladh, inhabited and under the sovereignty of the Cenel nEogain tribe. Now in a feud with Ui Neill to the south, the rulers engage in a 'tradition' of alternating the crown of the High King of Ireland between them.
; qstr_You_are_in_the_kingdom_of_MI|You are in the kingdom of MIDE.^^Mide means 'middle,' due this kingdom's position in the middle of Ireland. It was created by Tuathal Teachtmhar who, having subdued the rulers of the four kingdoms of Ireland, created his own realm from lands around the Hill of Tara that he annexed from them. Niall of the Nine Hostages later established himself as king of Tara. For six centuries afterward, almost without interruption, his descendants were considered the high kings of Ireland. His son Loegaire succeeded him and welcomed St. Patrick to his court. Niall's sons and grandsons have continued to annex parts of northern Laigin to carve out the sub-kingdoms of Mide and Brega for their descendants. Currently, the Ui Neill of Meath have an arrangement to alternate the crown of High King with their cousins from Ailech, even as they continue to feud.
; qstr_You_are_in_the_kingdom_of_AL|You are in the kingdom of ALBAN.^^In the North of Britain, Picts and Scots, with their separate languages, had been traditional enemies. However, both dynasties were nearly destroyed in a chance three-way battle with Vikings. Then Kenneth MacAlpin of the Dal Riata unified the land by somehow finishing off the Pict royal house. However, continued Viking pressure forced him from the coasts and lowlands. He placed the capital of his new kingdom at Forteviot, in old Pictish territory, and moved his religious center to Dunkeld. There he transferred the remains of St. Columba from Iona.
; qstr_You_are_in_territory|You are in territory of the clan of OSRAIGE.^^Osraige is one of the largest clans in Ireland. It was the easternmost region within the Kingdom of Mumain until Osraige warlord, Cerball mac Dunlainge, adeptly obtained independence. Cerball at different times fought and allied with Waterford, Dublin, and Aed Findliath, but generally remains at odds with the neighboring, larger kingdoms of Mumain and Laigin.
qstr_Plain.|Pianura.
qstr_Snow.|Neve.
qstr_Forest.|Foresta.
qstr_Snow_Forest.|Foresta Innevata.
qstr_Ocean.|Oceano.
qstr_Sea.|Mare.
qstr_Standard_Bearer:_{re|Portabandiera: {reg1}^Bonus al Comando: {reg2} (max 3)
qstr_Musician:_{reg1}^Tac|Musico: {reg1}^Bonus alla tattica: {reg2} (max 3)
qstr_Note:_You_re_close_t|Nota: Sei vicino all'insediamento nemico, occorre estrema cautela.
qstr_{s16}^^_____________|{s16}^^-------------------^^Informazioni sul Campo:^^^{s6}^^{s7}^^Terreno Circostante: {s2}^^Esploratori: {s5}^^Foraggiatori: {s3}^^Campo fortificato {s4}^^{s11}
qstr_Camp_Info:^^^^Positi|Info Campo:^^^^Posizione: {s2}^^Stai navigando sulla tua barca.^^^^Ship Management:^^Se siete accanto a una costa, è possibile cercare il punto di atterraggio più vicino con un clic destro sul tuo gruppo.
; qstr_Camp_Info:^^^^Positio|Camp Info:^^^^Position: {s2}^^You're sailing on your boat.^^^^Ship Management:^^In a sea battle, you can give a 'stand ground' or 'charge' command to your ships by giving it to class number nine, like you give commands to a troop class in a field battle. The first troops in your army list will be together with you on the flagship. The other troops will be in the following ships. You can change your flagship in a port and while camping on the sea. If you are next to a coast you can also split your fleet while camping on the sea or search for the closest landing point with a right click on your party.
qstr_Priests_in_followers|Sacerdoti nella compagnia:{reg1}^Chirurgia Bonus: {reg2} (max 3)
; qstr_Women_in_followers__|Women in followers' party: {reg1}^Wound Treatment Bonus: {reg2} (max 3)^^Note: Every 10 women (as refugees, camp women, soldiers' wives and peasants) will give +1 morale each 72 hours. Maximum +10 morale points.
qstr_^^^^Followers:^^{s2}|^^^Seguaci:^^{s2}^^--------------^^{s3}
qstr_{s5}_has_been_defeat|{s5} è stato sconfitto!
qstr_This_lord_is_a_priso|Questo signore è prigioniero di {s10}
qstr_Christian_Lord|Signore Cristiano
qstr_Pagan_Lord|Signore Pagano
qstr_{s37}__his_betrothed|{s37} (la sua fidanzata)
qstr_{s40}._His_love_inte|{s40}. Il suo interesse amoroso è verso {s37}.
qstr_His_love_interests_a|I suoi interessi amorosi sono verso {s37}.
qstr_{s40}._His_love_inter|{s40}. I suoi interessi amorosi sono verso {s37}.
qstr_His_love_interest_is|Il suo interesse amoroso è verso {s37}.
qstr_{s1}^^{s4}^Kingdom:_|{s1}^^{s4}^Regno: {s3}^Relazioni: {reg4}^Propietà: {reg5}^{s5}^{s47}
qstr_Army_size:_{reg26}|Esercito: {reg26}
qstr_{s40}._His_love_intere|{s40}. Il suo interesse amoroso è verso {s39}.
qstr_{s40}._He_is_betroth|{s40}. è fidanzata con {s39}.
